Id,Description,Title,Reward,InstanceId,Faction,Supercedes,Category,MinimumCriteria,Points,Flags,UiOrder,IconFileId,RewardItemId,CriteriaTree,SharesCriteria,CovenantId
"6","升到10级。","10级","","-1","-1","0","92","0","10","2097156","1","236562","0","2050","0","0"
"7","升到20级。","20级","","-1","-1","6","92","0","10","2097156","2","236563","0","2683","0","0"
"8","升到30级。","30级","","-1","-1","7","92","0","10","2097156","3","236564","0","1289","0","0"
"9","升到40级。","40级","","-1","-1","8","92","0","10","2097156","4","236565","0","942","0","0"
"10","在“暗影国度”内容更新之前升到50级。","50级（旧版）","","-1","-1","0","15446","0","0","2103300","1","236566","0","0","0","0"
"11","在“暗影国度”内容更新之前升到60级。","60级（旧版）","","-1","-1","10","15446","0","0","2103300","2","236567","0","0","0","0"
"12","在“暗影国度”内容更新之前升到70级。","70级（旧版）","","-1","-1","11","15446","0","0","2103300","3","236568","0","0","0","0"
"13","在“暗影国度”内容更新之前升到80级。","80级（旧版）","","-1","-1","12","15446","0","0","2103300","4","236569","0","0","0","0"
"15","收集15种独特的宠物。","宠物成群","","-1","-1","1017","15118","0","10","131072","3","132599","0","22152","0","0"
"16","徒手技能达到400。","有人想吃一拳吗？","","-1","-1","0","15446","0","0","2048","24","132356","0","6318","0","0"
"31","连续5天，每天完成一个日常任务。","简单日常任务","","-1","-1","0","96","0","10","0","25","236680","0","2807","0","0"
"32","完成2000个任务。","完成2000个任务","","-1","-1","508","96","0","10","0","8","236670","0","2810","0","0"
"33","完成下列北风苔原故事线。","这个苔原不太远","","-1","1","0","14863","0","10","0","1","236728","0","1741","0","0"
"34","完成下列嚎风峡湾故事线。","峡湾巡游","","-1","1","0","14863","0","10","0","3","236787","0","5287","0","0"
"35","完成下列龙骨荒野故事线。","龙骨荒野之力","","-1","1","0","14863","0","10","0","5","236749","0","1745","0","0"
"36","完成下列祖达克故事线。","祖达克帝国","","-1","-1","0","14863","0","10","0","9","236862","0","1881","0","0"
"37","完成下列灰熊丘陵故事线。","欢迎来到灰熊丘陵","","-1","1","0","14863","0","10","0","7","236772","0","5284","0","0"
"38","完成下列风暴峭壁故事线。","风暴峭壁之巅","","-1","-1","0","14863","0","10","0","11","236838","0","1884","0","0"
"39","完成下列索拉查盆地故事线。","进入盆地","","-1","-1","0","14863","0","10","0","10","236823","0","1887","0","0"
"40","完成下列冰冠冰川故事线。","冰冠冰川：终极目标","","-1","-1","0","14863","0","10","0","12","236799","0","3375","0","0"
"41","完成下列诺森德任务成就。","诺森德的博学者","","-1","-1","0","14863","0","10","131072","21","236812","0","5756","0","0"
"42","探索东部王国的各个区域。","东部王国探索者","","-1","-1","0","97","0","25","131072","1","236759","0","2402","0","0"
"43","探索卡利姆多的各个区域。","卡利姆多探索者","","-1","-1","0","97","0","25","131072","2","236807","0","3317","0","0"
"44","探索外域的各个区域。","外域探索者","","-1","-1","0","97","0","25","131072","3","236813","0","3340","0","0"
"45","探索诺森德的各个区域。","诺森德探索者","奖励：探索者战袍","-1","-1","0","97","0","25","131072","4","236812","0","12064","0","0"
"46","探索东部王国、卡利姆多、外域、诺森德、大灾变后出现的地区、潘达利亚、德拉诺，破碎群岛，库尔提拉斯以及赞达拉。","宇宙探索者","头衔奖励：探索者","-1","-1","0","97","0","50","131072","10","237381","0","3257","0","0"
"49","奥特兰克山谷胜利","奥特兰克山谷胜利","","30","-1","0","153","0","0","1","4","136243","0","15889","0","0"
