Id,Name,UiTextureKitId,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationId,Flags,ArtifactCategoryId,UiModelSceneId,SpellVisualKitId
"1","丹多尔之怒","207","-11776","-382936","-2816","0","0","1","0","0"
"2","灰烬使者","207","-11776","16765504","4006400","70","0","1","28","82183"
"3","欺诈者的双刃","206","-2200833","16122111","8650889","577","0","1","23","82147"
"4","艾露尼斯，护法者之杖","208","-1267719","6343151","8615067","62","0","1","26","82174"
"11","大地守护者之鳞","215","-44766","11010048","3276800","73","0","1","20","82029"
"12","堕落王子之剑","214","-3804673","9152481","1447762","251","0","1","22","82144"
"13","加尼尔，母亲之树","217","-2031755","-5579161","-16291053","105","0","1","24","82149"
"15","诅咒之喉","214","-3804673","-1494733","-12778752","250","0","1","22","82144"
"16","天启","214","-3804673","-12517523","-16761586","252","0","1","22","82144"
"17","吞噬者之牙","216","-45544","-1278118","-6935508","261","0","1","21","82029"
"34","雄鹰之爪，荒野诸神之矛","226","-2031755","-13053570","-16760525","255","0","1","46","82153"
"35","瓦拉加尔战剑","215","-44766","11010048","3276800","72","0","1","20","82029"
"36","斯多姆卡，灭战者","215","-44766","11010048","3276800","71","0","1","20","82029"
"37","堕落者之颅","229","-4163342","-11204234","-16121829","266","2","1","32","82197"
"38","萨格拉斯权杖","229","-4163342","-7319653","-13500291","267","0","1","32","82197"
"39","乌萨勒斯，逆风收割者","229","-4163342","-6665828","-11199626","265","0","1","32","82197"
"40","莱登之拳","225","-9057793","-11808266","-16711616","262","0","1","31","82193"
"41","毁灭之锤","225","-9057793","-11806981","-13022058","263","2","1","31","82193"
"42","莎拉达尔，潮汐权杖","225","-9057793","-16473972","-16753298","264","0","1","31","82193"
"43","弑君者","216","-45544","-2522525","-9889768","259","0","1","21","82029"
"44","恐惧之刃","216","-45544","-1589760","0","260","0","1","21","82029"
"45","图雷，纳鲁道标","227","-8851726","-9699335","-16766881","257","0","1","29","82184"
"46","圣光之怒","227","-8851726","-10424321","-16739937","256","0","1","29","82184"
"47","萨拉塔斯，黑暗帝国之刃","241","-4163342","-7580513","-11986828","258","2","1","30","82190"
"48","白银之手","207","-11776","16765504","4006400","65","0","1","28","82183"
"49","真理守护者","207","-11776","16765504","4006400","66","0","1","28","82183"
"50","诸天之拳","228","-9044026","-12779585","-15226471","269","0","1","27","82181"
"51","神龙，迷雾之杖","228","-9044026","-11733812","-16755897","270","0","1","27","82181"
"52","福枬，云游者之友","228","-9044026","-12452628","-16083317","268","0","1","27","82181"
"53","黑檀之寒，阿洛迪的圣杖","208","-1267719","6343151","8615067","64","0","1","26","82174"
"54","烈焰之击","208","-1267719","-1065376","-6281667","63","2","1","26","82174"
"55","萨斯多拉，风行者的遗产","226","-2031755","-526230","-12430833","254","0","1","46","82153"
"56","泰坦之击","226","-2031755","-143103","0","253","0","1","46","82153"
"57","乌索克之爪","217","-2031755","-5579161","-16291053","104","0","1","24","82149"
"58","阿莎曼之牙","217","-2031755","-5579161","-16291053","103","0","1","24","82149"
"59","月神镰刀","217","-2031755","-5579161","-16291053","102","0","1","24","82149"
"60","奥达奇战刃","206","-2200833","16122111","8650889","581","0","1","23","82147"
"73","幽光鱼竿","227","-1","-10976565","-16772353","0","0","2","0","0"
"74","橡木使者","207","-11776","16765504","4006400","70","0","1","0","0"
"80","Test Artifact 2","207","-11776","16765504","4006400","70","0","1","18","23596"
"81","Test Artifact","207","-11776","16765504","4006400","65","0","1","0","0"
"82","测试神器","207","-11776","16765504","4006400","66","0","1","0","0"
"89","欧文测试神器","0","-16777216","-1732055","0","0","0","1","0","0"
"194","正义之具","227","-4207580","-1645248","-1890009","0","0","2","0","0"
"195","战争之翼","227","-4207580","-1645248","-1890009","0","0","2","0","0"
"196","晋升堡垒之韧","227","-4207580","-1645248","-1890009","0","0","2","0","0"
"197","轻足先锋","227","-4207580","-1645248","-1890009","0","0","2","0","0"
"198","正义复仇","227","-4207580","-1645248","-1890009","0","0","2","0","0"
"199","雷文德斯信条","214","-3804673","-1494733","-12778752","0","0","2","0","0"
"200","雷文德斯信条","214","-3804673","-1494733","-12778752","0","0","2","0","0"
"201","雷文德斯信条","214","-3804673","-1494733","-12778752","0","0","2","0","0"
"202","雷文德斯信条","214","-3804673","-1494733","-12778752","0","0","2","0","0"
"203","雷文德斯信条","214","-3804673","-1494733","-12778752","0","0","2","0","0"
