Id,Name,ArtifactAppearanceSetId,DisplayIndex,UnlockPlayerConditionId,ItemAppearanceModifierId,UiSwatchColor,UiModelSaturation,UiModelOpacity,OverrideShapeshiftFormId,OverrideShapeshiftDisplayId,UiItemAppearanceId,UiAltItemAppearanceId,Flags,UiCameraId,UsablePlayerConditionId
"1","紫色水晶","1","1","0","10","0","0.5","0.5","1","66784","0","0","0","0","0"
"2","蓝色水晶","1","2","0","12","0","0.5","0.5","0","0","0","0","0","0","0"
"3","红色水晶","1","3","0","11","0","0.5","0.5","1","66785","0","0","0","0","0"
"5","黄色尖刺","2","1","12549","18","0","0.5","0.5","0","0","0","0","0","0","0"
"6","绿色尖刺","2","3","0","19","0","0.5","0.5","0","0","0","0","0","0","0"
"7","烈焰尖刺","2","2","0","20","0","0.5","0.5","0","0","0","0","0","0","0"
"8","灰烬使者","3","2","37718","9","13946667","0.5","0.5","0","0","0","0","0","62","0"
"9","灰烬使者","3","1","0","10","12207429","0.5","0.5","0","0","0","0","1","62","0"
"10","灰烬使者","3","3","37719","11","2777830","0.5","0.5","0","0","0","0","0","62","0"
"11","灰烬使者","3","4","37720","12","7194424","0.5","0.5","0","0","0","0","0","62","0"
"12","灰烬使者","4","2","37722","13","13753664","0.5","0.5","0","0","0","0","0","65","0"
"13","灰烬使者","4","1","37721","14","14170168","0.5","0.5","0","0","0","0","0","65","0"
"14","灰烬使者","4","3","37723","15","4341749","0.5","0.5","0","0","0","0","0","65","0"
"15","灰烬使者","4","4","37724","16","2400311","0.5","0.5","0","0","0","0","0","65","0"
"16","灰烬使者","5","1","37725","17","15636775","0.5","0.5","0","0","0","0","0","63","0"
"17","灰烬使者","6","1","37726","18","9769406","0.8","0.7","0","0","0","0","0","66","0"
"18","灰烬使者","6","2","37728","19","5384685","0.5","0.6","0","0","0","0","0","66","0"
"19","灰烬使者","6","3","37729","20","46171","0.7","0.5","0","0","0","0","0","66","0"
"20","灰烬使者","6","4","37730","21","2918886","0.7","0.5","0","0","0","0","0","66","0"
"21","灰烬使者","7","3","52635","22","15526961","0.5","0.5","0","0","0","0","16","64","0"
"22","灰烬使者","7","2","52557","23","16250871","0.5","0.5","0","0","0","0","16","64","0"
"23","灰烬使者","7","1","44699","24","4385004","0.5","0.5","0","0","0","0","8","64","0"
"24","灰烬使者","7","4","52668","25","5054922","0.5","0.5","0","0","0","0","16","64","0"
"25","欺诈者的双刃","8","2","37718","9","3666175","0.5","0.5","0","0","0","0","0","72","0"
"26","欺诈者的双刃","8","1","0","10","6870528","0.5","0.5","0","0","0","0","1","72","0"
"27","欺诈者的双刃","8","3","37719","11","9845974","0.5","0.5","0","0","0","0","0","72","0"
"28","欺诈者的双刃","8","4","37720","12","15477542","0.5","0.5","0","0","0","0","0","72","0"
"29","欺诈者的双刃","9","2","37722","13","4433378","0.5","0.5","0","0","0","0","0","76","0"
"30","欺诈者的双刃","9","1","37721","14","9627184","0.5","0.5","0","0","0","0","0","76","0"
"31","欺诈者的双刃","9","3","37723","15","9980106","0.5","0.5","0","0","0","0","0","76","0"
"32","欺诈者的双刃","9","4","37724","16","14958913","0.5","0.5","0","0","0","0","0","76","0"
"33","欺诈者的双刃","10","4","37733","17","8200995","0.5","0.5","0","0","0","0","0","75","0"
"34","欺诈者的双刃","10","2","37731","18","9231422","0.5","0.5","0","0","0","0","0","75","0"
"35","欺诈者的双刃","10","3","37732","19","10767320","0.5","0.5","0","0","0","0","0","75","0"
"36","欺诈者的双刃","10","1","37725","20","16064287","0.5","0.5","0","0","0","0","0","75","0"
"37","欺诈者的双刃","11","3","52618","21","13127224","0.5","0.5","0","0","0","0","16","77","0"
"38","欺诈者的双刃","11","2","52485","22","11200571","0.5","0.5","0","0","0","0","16","77","0"
"39","欺诈者的双刃","11","1","44679","23","15311409","0.5","0.5","0","0","0","0","8","77","0"
"40","欺诈者的双刃","11","4","52651","24","12598501","0.5","0.5","0","0","0","0","16","77","0"
"41","欺诈者的双刃","12","3","37729","25","4626395","0.5","0.5","0","0","0","0","0","73","0"
"42","欺诈者的双刃","12","2","37728","26","3657332","0.5","0.5","0","0","0","0","0","73","0"
"43","欺诈者的双刃","12","1","37726","27","7223739","0.5","0.5","0","0","0","0","0","73","0"
"44","欺诈者的双刃","12","4","37730","28","15857465","0.5","0.5","0","0","0","0","0","73","0"
"45","加尼尔，母亲之树","13","1","0","9","-12527023","0.5","0.5","0","0","0","0","1","61","0"
"46","加尼尔，母亲之树","13","2","37718","10","14759167","0.5","0.5","0","0","0","0","0","61","0"
"47","加尼尔，母亲之树","13","3","37719","11","-14496857","0.5","0.5","0","0","0","0","0","61","0"
"48","加尼尔，母亲之树","13","4","37720","12","-131226","0.5","0.5","0","0","0","0","0","61","0"
"49","加尼尔，母亲之树","14","1","37721","13","-12858266","0.5","0.5","0","0","0","0","0","68","0"
"50","加尼尔，母亲之树","14","2","37722","14","-8716125","0.5","0.5","0","0","0","0","0","68","0"
"51","加尼尔，母亲之树","14","3","37723","15","-9044232","0.5","0.5","0","0","0","0","0","68","0"
"52","加尼尔，母亲之树","14","4","37724","16","-1443782","0.5","0.5","0","0","0","0","0","68","0"
"53","加尼尔，母亲之树","15","2","37731","17","-5955107","0.5","0.5","0","0","0","0","0","60","0"
"54","加尼尔，母亲之树","15","1","37725","18","-2621457","0.5","0.5","0","0","0","0","0","60","0"
"55","加尼尔，母亲之树","15","3","37732","19","42719","0.5","0.5","0","0","0","0","0","60","0"
"56","加尼尔，母亲之树","15","4","37733","20","2621373","0.5","0.5","0","0","0","0","0","60","0"
"57","加尼尔，母亲之树","16","2","37728","21","1834826","0.5","0.5","0","0","0","0","0","69","0"
"58","加尼尔，母亲之树","16","1","37726","22","7995557","0.5","0.5","0","0","0","0","0","69","0"
"59","加尼尔，母亲之树","16","3","37729","23","12910592","0.5","0.5","0","0","0","0","0","69","0"
"60","加尼尔，母亲之树","16","4","37730","24","-12486401","0.5","0.5","0","0","0","0","0","69","0"
"61","加尼尔，母亲之树","17","2","39784","25","3800902","0.5","0.5","0","0","0","0","0","70","0"
"62","加尼尔，母亲之树","17","1","42275","26","-10008885","0.5","0.5","0","0","0","0","0","70","0"
"63","加尼尔，母亲之树","17","3","39785","27","13369344","0.5","0.5","0","0","0","0","0","70","0"
"64","加尼尔，母亲之树","17","4","39786","28","-13534254","0.5","0.5","0","0","0","0","0","70","0"
"66","大地守护者之鳞","20","1","0","12","13256731","0.6","0.45","0","0","0","0","1","71","0"
"67","吞噬者之牙","21","1","0","9","8187704","0.5","0.5","0","0","0","0","1","0","0"
"68","吞噬者之牙","21","2","37718","10","4099302","0.5","0.5","0","0","0","0","0","0","0"
"69","吞噬者之牙","21","3","37719","11","7359174","0.5","0.5","0","0","0","0","0","0","0"
"70","吞噬者之牙","21","4","37720","12","3857118","0.5","0.5","0","0","0","0","0","0","0"
"71","吞噬者之牙","22","1","37725","13","8708667","0.5","0.5","0","0","0","0","0","0","0"
"72","吞噬者之牙","22","2","37731","14","4647141","0.5","0.5","0","0","0","0","0","0","0"
"73","吞噬者之牙","22","3","37732","15","8009433","0.5","0.5","0","0","0","0","0","0","0"
"74","吞噬者之牙","22","4","37733","16","15199526","0.5","0.5","0","0","0","0","0","0","0"
"75","吞噬者之牙","23","3","37723","17","7266609","0.5","0.5","0","0","0","0","0","0","0"
"76","吞噬者之牙","23","2","37722","18","4287200","0.5","0.5","0","0","0","0","0","0","0"
"77","吞噬者之牙","23","1","37721","19","7749083","0.5","0.5","0","0","0","0","0","0","0"
"78","吞噬者之牙","23","4","37724","20","3989733","0.5","0.5","0","0","0","0","0","0","0"
"79","吞噬者之牙","24","3","37729","21","2152008","0.5","0.5","0","0","0","0","0","0","0"
"80","吞噬者之牙","24","2","37728","22","5577646","0.5","0.5","0","0","0","0","0","0","0"
"81","吞噬者之牙","24","1","37726","23","15277084","0.5","0.5","0","0","0","0","0","0","0"
"82","吞噬者之牙","24","4","37730","24","3117446","0.5","0.5","0","0","0","0","0","0","0"
"83","吞噬者之牙","25","2","52461","25","4780008","0.5","0.5","0","0","0","0","16","0","0"
"84","吞噬者之牙","25","1","44700","26","8037362","0.5","0.5","0","0","0","0","8","0","0"
"85","吞噬者之牙","25","3","52592","27","8207315","0.5","0.5","0","0","0","0","16","0","0"
"86","吞噬者之牙","25","4","52674","28","15332339","0.5","0.5","0","0","0","0","16","0","0"
"107","诅咒之喉","32","1","0","9","16723502","0.6","0.4","0","0","0","0","1","0","0"
"110","天启","33","1","0","9","3138349","0.5","0.5","0","0","0","0","1","62","0"
"111","堕落王子之剑","39","1","0","9","3256556","0.7","0.4","0","0","0","0","1","62","0"
"112","天启","33","2","37718","10","2941171","0.5","0.5","0","0","0","0","0","62","0"
"113","莱登之拳","40","1","0","9","5682687","0.5","0.5","0","0","0","0","1","0","0"
"114","萨斯多拉，风行者的遗产","41","1","0","9","4186327","0.5","0.5","0","0","0","0","1","0","0"
"115","弑君者","42","2","37718","9","7280536","0.5","0.5","0","0","0","0","0","0","0"
"116","莎拉达尔，潮汐权杖","43","1","0","9","-14700624","0.5","0.5","0","0","0","0","1","0","0"
"117","毁灭之锤","44","1","0","9","11190488","0.5","0.5","0","0","0","0","1","0","0"
"118","图雷，纳鲁道标","45","1","0","9","2267886","0.5","0.5","0","0","0","0","1","0","0"
"119","萨拉塔斯，黑暗帝国之刃","46","1","0","9","6004187","0.5","0.5","0","0","0","0","1","0","0"
"120","白银之手","47","1","0","9","16120349","0.5","0.5","0","0","0","0","1","0","0"
"121","乌索克之爪（紫色）","48","1","37266","9","7878111","0.5","0.5","5","66686","0","0","3","0","38250"
"123","神龙，迷雾之杖","50","1","0","9","1493233","0.5","0.5","0","0","0","0","1","0","0"
"124","烈焰之击","51","1","0","9","15950399","0.5","0.5","0","0","0","0","1","0","0"
"125","雄鹰之爪，荒野诸神之矛","52","1","0","9","15876397","0.5","0.5","0","0","0","0","1","0","0"
"126","艾露尼斯，护法者之杖","53","1","0","9","10432187","0.5","0.5","0","0","0","0","1","0","0"
"127","艾露尼斯，护法者之杖","53","3","37719","10","16645629","0.5","0.5","0","0","0","0","0","0","0"
"128","艾露尼斯，护法者之杖","53","4","37720","11","4711769","0.5","0.5","0","0","0","0","0","0","0"
"129","艾露尼斯，护法者之杖","53","2","37718","12","4439023","0.5","0.5","0","0","0","0","0","0","0"
"130","艾露尼斯，护法者之杖","54","2","37722","13","4439023","0.5","0.5","0","0","0","0","0","0","0"
"131","艾露尼斯，护法者之杖","54","4","37724","14","3207005","0.5","0.5","0","0","0","0","0","0","0"
"132","艾露尼斯，护法者之杖","54","1","37721","15","10564273","0.5","0.5","0","0","0","0","0","0","0"
"133","艾露尼斯，护法者之杖","54","3","37723","16","16777215","0.5","0.5","0","0","0","0","0","0","0"
"134","艾露尼斯，护法者之杖","55","1","37725","17","2320618","0.5","0.5","0","0","0","0","0","0","0"
"135","艾露尼斯，护法者之杖","55","4","37733","18","3666734","0.5","0.5","0","0","0","0","0","0","0"
"136","艾露尼斯，护法者之杖","55","2","37731","19","10692572","0.5","0.5","0","0","0","0","0","0","0"
"137","艾露尼斯，护法者之杖","55","3","37732","20","16777215","0.5","0.5","0","0","0","0","0","0","0"
"138","艾露尼斯，护法者之杖","56","2","37728","21","5143016","0.5","0.5","0","0","0","0","0","0","0"
"139","艾露尼斯，护法者之杖","56","4","37730","22","5630030","0.5","0.5","0","0","0","0","0","0","0"
"140","艾露尼斯，护法者之杖","56","3","37729","23","15767278","0.5","0.5","0","0","0","0","0","0","0"
"141","艾露尼斯，护法者之杖","56","1","37726","24","11680943","0.5","0.5","0","0","0","0","0","0","0"
"142","艾露尼斯，护法者之杖","57","4","52660","25","5143016","0.5","0.5","0","0","0","0","16","0","0"
"143","艾露尼斯，护法者之杖","57","2","52495","26","11948839","0.5","0.5","0","0","0","0","16","0","0"
"144","艾露尼斯，护法者之杖","57","1","44158","27","15267596","0.5","0.5","0","0","0","0","8","0","0"
"145","艾露尼斯，护法者之杖","57","3","52627","28","6382171","0.5","0.5","0","0","0","0","16","0","0"
"146","大地守护者之鳞","20","4","37720","11","9056925","0.6","0.45","0","0","0","0","0","71","0"
"147","大地守护者之鳞","20","2","37718","10","6542710","0.5","0.4","0","0","0","0","0","71","0"
"148","大地守护者之鳞","20","3","37719","9","3635402","0.6","0.4","0","0","0","0","0","71","0"
"149","大地守护者之鳞","61","3","37723","13","2588395","0.5","0.5","0","0","0","0","0","71","0"
"150","大地守护者之鳞","61","2","37722","14","13153068","0.5","0.5","0","0","0","0","0","71","0"
"151","大地守护者之鳞","61","4","37724","15","12330987","0.5","0.5","0","0","0","0","0","71","0"
"152","大地守护者之鳞","61","1","37721","16","10822946","0.5","0.5","0","0","0","0","0","71","0"
"153","大地守护者之鳞","58","2","37728","17","5011930","0.5","0.35","0","0","0","0","0","71","0"
"154","大地守护者之鳞","58","1","37726","18","4577901","0.4","0.35","0","0","0","0","0","71","0"
"155","大地守护者之鳞","58","3","37729","19","10629571","0.5","0.35","0","0","0","0","0","71","0"
"156","大地守护者之鳞","58","4","37730","20","15410986","0.5","0.35","0","0","0","0","0","71","0"
"157","大地守护者之鳞","59","2","39784","21","4626147","0.3","0.6","0","0","0","0","0","71","0"
"158","大地守护者之鳞","59","3","39785","22","8975941","0.5","0.5","0","0","0","0","0","71","0"
"159","大地守护者之鳞","59","1","42304","23","15378707","0.5","0.5","0","0","0","0","0","71","0"
"160","大地守护者之鳞","59","4","39786","24","11216875","0.5","0.5","0","0","0","0","0","71","0"
"161","大地守护者之鳞","60","3","37732","25","2588395","0.5","0.5","0","0","0","0","0","71","0"
"162","大地守护者之鳞","60","2","37731","26","2616127","0.5","0.5","0","0","0","0","0","71","0"
"163","大地守护者之鳞","60","4","37733","27","8265410","0.5","0.5","0","0","0","0","0","71","0"
"164","大地守护者之鳞","60","1","37725","28","16314894","0.5","0.5","0","0","0","0","0","71","0"
"168","黑檀之寒，阿洛迪的圣杖","64","1","0","9","2697697","0.5","0.5","0","0","0","0","1","0","0"
"169","黑檀之寒，阿洛迪的圣杖","64","2","37718","10","5099863","0.5","0.5","0","0","0","0","0","0","0"
"170","黑檀之寒，阿洛迪的圣杖","64","3","37719","11","10174674","0.5","0.5","0","0","0","0","0","0","0"
"171","黑檀之寒，阿洛迪的圣杖","64","4","37720","12","16711685","0.5","0.5","0","0","0","0","0","0","0"
"172","黑檀之寒，阿洛迪的圣杖","65","1","37721","13","3881451","0.5","0.5","0","0","0","0","0","0","0"
"173","黑檀之寒，阿洛迪的圣杖","65","2","37722","14","5099863","0.5","0.5","0","0","0","0","0","0","0"
"174","黑檀之寒，阿洛迪的圣杖","65","3","37723","15","10174674","0.5","0.5","0","0","0","0","0","0","0"
"175","黑檀之寒，阿洛迪的圣杖","65","4","37724","16","16711685","0.5","0.5","0","0","0","0","0","0","0"
"176","黑檀之寒，阿洛迪的圣杖","66","2","37728","17","2697697","0.5","0.5","0","0","0","0","0","0","0"
"177","黑檀之寒，阿洛迪的圣杖","66","1","37726","18","2487336","0.5","0.5","0","0","0","0","0","0","0"
"178","黑檀之寒，阿洛迪的圣杖","66","3","37729","19","10174674","0.5","0.5","0","0","0","0","0","0","0"
"179","黑檀之寒，阿洛迪的圣杖","66","4","37730","20","16711685","0.5","0.5","0","0","0","0","0","0","0"
"180","黑檀之寒，阿洛迪的圣杖","67","1","42283","21","14517529","0.5","0.5","0","0","0","0","0","0","0"
"181","黑檀之寒，阿洛迪的圣杖","67","2","39784","22","11999467","0.5","0.5","0","0","0","0","0","0","0"
"182","黑檀之寒，阿洛迪的圣杖","67","3","39785","23","11006016","0.5","0.5","0","0","0","0","0","0","0"
"183","黑檀之寒，阿洛迪的圣杖","67","4","39786","24","2663653","0.5","0.5","0","0","0","0","0","0","0"
"184","黑檀之寒，阿洛迪的圣杖","68","1","37725","25","2744738","0.5","0.5","0","0","0","0","0","0","0"
"185","黑檀之寒，阿洛迪的圣杖","68","2","37731","26","3187001","0.5","0.5","0","0","0","0","0","0","0"
"186","黑檀之寒，阿洛迪的圣杖","68","3","37732","27","10174674","0.5","0.5","0","0","0","0","0","0","0"
"187","黑檀之寒，阿洛迪的圣杖","68","4","37733","28","15584394","0.5","0.5","0","0","0","0","0","0","0"
"188","萨格拉斯权杖","49","1","0","9","7614128","0.5","0.5","0","0","0","0","1","0","0"
"189","萨格拉斯权杖","49","2","37718","10","4870381","0.5","0.5","0","0","0","0","0","0","0"
"190","萨格拉斯权杖","49","3","37719","11","2745662","0.5","0.5","0","0","0","0","0","0","0"
"191","萨格拉斯权杖","49","4","37720","12","16711680","0.5","0.5","0","0","0","0","0","0","0"
"192","萨格拉斯权杖","69","3","37723","13","7614128","0.5","0.5","0","0","0","0","0","0","0"
"193","萨格拉斯权杖","69","2","37722","14","4870381","0.5","0.5","0","0","0","0","0","0","0"
"194","萨格拉斯权杖","69","1","37721","15","2745662","0.5","0.5","0","0","0","0","0","0","0"
"195","萨格拉斯权杖","69","4","37724","16","16711680","0.5","0.5","0","0","0","0","0","0","0"
"196","萨格拉斯权杖","70","3","37732","17","7614128","0.5","0.5","0","0","0","0","0","0","0"
"197","萨格拉斯权杖","70","2","37731","18","1172800","0.5","0.5","0","0","0","0","0","0","0"
"198","萨格拉斯权杖","70","1","37725","19","15725596","0.5","0.5","0","0","0","0","0","0","0"
"199","萨格拉斯权杖","70","4","37733","20","16711680","0.5","0.5","0","0","0","0","0","0","0"
"200","萨格拉斯权杖","71","1","37726","21","7614128","0.5","0.5","0","0","0","0","0","0","0"
"201","萨格拉斯权杖","71","2","37728","22","4870381","0.5","0.5","0","0","0","0","0","0","0"
"202","萨格拉斯权杖","71","3","37729","23","2745662","0.5","0.5","0","0","0","0","0","0","0"
"203","萨格拉斯权杖","71","4","37730","24","16711680","0.5","0.5","0","0","0","0","0","0","0"
"204","萨格拉斯权杖","72","4","39786","25","7614128","0.5","0.5","0","0","0","0","0","0","0"
"205","萨格拉斯权杖","72","2","39784","26","4907757","0.5","0.5","0","0","0","0","0","0","0"
"206","萨格拉斯权杖","72","3","39785","27","2745662","0.5","0.5","0","0","0","0","0","0","0"
"207","萨格拉斯权杖","72","1","42301","28","16711680","0.5","0.5","0","0","0","0","0","0","0"
"209","萨斯多拉，风行者的遗产","41","2","37718","10","7140935","0.5","0.5","0","0","0","0","0","0","0"
"210","萨斯多拉，风行者的遗产","41","3","37719","11","4496584","0.5","0.5","0","0","0","0","0","0","0"
"211","萨斯多拉，风行者的遗产","41","4","37720","12","13916219","0.5","0.5","0","0","0","0","0","0","0"
"212","萨斯多拉，风行者的遗产","73","2","37728","13","4964577","0.5","0.5","0","0","0","0","0","0","0"
"213","萨斯多拉，风行者的遗产","73","4","37730","14","14282300","0.5","0.5","0","0","0","0","0","0","0"
"214","萨斯多拉，风行者的遗产","73","3","37729","15","14631490","0.5","0.5","0","0","0","0","0","0","0"
"215","萨斯多拉，风行者的遗产","73","1","37726","16","7868432","0.5","0.5","0","0","0","0","0","0","0"
"216","萨斯多拉，风行者的遗产","74","4","37733","17","4251876","0.5","0.5","0","0","0","0","0","0","0"
"217","萨斯多拉，风行者的遗产","74","2","37731","18","9103712","0.5","0.5","0","0","0","0","0","0","0"
"218","萨斯多拉，风行者的遗产","74","3","37732","19","9189825","0.5","0.5","0","0","0","0","0","0","0"
"219","萨斯多拉，风行者的遗产","74","1","37725","20","14726704","0.5","0.5","0","0","0","0","0","0","0"
"220","萨斯多拉，风行者的遗产","75","4","37724","21","11641009","0.5","0.5","0","0","0","0","0","0","0"
"221","萨斯多拉，风行者的遗产","75","2","37722","22","4957916","0.5","0.5","0","0","0","0","0","0","0"
"222","萨斯多拉，风行者的遗产","75","3","37723","23","13382965","0.5","0.5","0","0","0","0","0","0","0"
"223","萨斯多拉，风行者的遗产","75","1","37721","24","-7579995","0.5","0.5","0","0","0","0","0","0","0"
"224","萨斯多拉，风行者的遗产","76","1","42278","25","2459070","0.5","0.5","0","0","0","0","0","0","0"
"225","萨斯多拉，风行者的遗产","76","2","39784","26","10483279","0.5","0.5","0","0","0","0","0","0","0"
"226","萨斯多拉，风行者的遗产","76","3","39785","27","15539999","0.5","0.5","0","0","0","0","0","0","0"
"227","萨斯多拉，风行者的遗产","76","4","39786","28","3204308","0.5","0.5","0","0","0","0","0","0","0"
"228","弑君者","42","1","0","10","16711680","0.5","0.5","0","0","0","0","1","0","0"
"229","弑君者","42","3","37719","11","5368054","0.5","0.5","0","0","0","0","0","0","0"
"230","弑君者","42","4","37720","12","16776960","0.5","0.5","0","0","0","0","0","0","0"
"231","弑君者","77","3","37723","13","16107805","0.5","0.5","0","0","0","0","0","0","0"
"232","弑君者","77","2","37722","14","10433269","0.5","0.5","0","0","0","0","0","0","0"
"233","弑君者","78","2","37731","17","255","0.5","0.5","0","0","0","0","0","0","0"
"234","弑君者","79","2","37728","21","255","0.5","0.5","0","0","0","0","0","0","0"
"235","弑君者","77","1","37721","15","16711680","0.5","0.5","0","0","0","0","0","0","0"
"236","弑君者","77","4","37724","16","4320243","0.5","0.5","0","0","0","0","0","0","0"
"237","弑君者","78","1","37725","18","65280","0.5","0.5","0","0","0","0","0","0","0"
"238","弑君者","78","3","37732","19","16711680","0.5","0.5","0","0","0","0","0","0","0"
"239","弑君者","78","4","37733","20","4127224","0.5","0.5","0","0","0","0","0","0","0"
"240","弑君者","79","1","37726","22","16036875","0.5","0.5","0","0","0","0","0","0","0"
"241","弑君者","79","3","37729","23","4913390","0.5","0.5","0","0","0","0","0","0","0"
"242","弑君者","79","4","37730","24","16776960","0.5","0.5","0","0","0","0","0","0","0"
"244","月神镰刀","81","1","0","9","-12526923","0.5","0.5","0","0","0","0","1","61","0"
"245","萨拉塔斯，黑暗帝国之刃","46","2","37718","10","9778147","0.5","0.5","0","0","0","0","0","0","0"
"246","萨拉塔斯，黑暗帝国之刃","46","3","37719","11","4775111","0.5","0.5","0","0","0","0","0","0","0"
"247","萨拉塔斯，黑暗帝国之刃","46","4","37720","12","15463408","0.5","0.5","0","0","0","0","0","0","0"
"248","萨拉塔斯，黑暗帝国之刃","82","3","37723","13","-6183280","0.5","0.5","0","0","0","0","0","0","0"
"249","萨拉塔斯，黑暗帝国之刃","82","2","37722","14","7463221","0.5","0.5","0","0","0","0","0","0","0"
"250","萨拉塔斯，黑暗帝国之刃","82","1","37721","15","7023546","0.5","0.5","0","0","0","0","0","0","0"
"251","萨拉塔斯，黑暗帝国之刃","82","4","37724","16","3531476","0.5","0.5","0","0","0","0","0","0","0"
"252","萨拉塔斯，黑暗帝国之刃","83","4","37733","17","9518140","0.5","0.5","0","0","0","0","0","0","0"
"253","萨拉塔斯，黑暗帝国之刃","83","2","37731","18","2986533","0.5","0.5","0","0","0","0","0","0","0"
"254","萨拉塔斯，黑暗帝国之刃","83","3","37732","19","6960054","0.5","0.5","0","0","0","0","0","0","0"
"255","萨拉塔斯，黑暗帝国之刃","83","1","37725","20","15144984","0.5","0.5","0","0","0","0","0","0","0"
"256","萨拉塔斯，黑暗帝国之刃","84","2","37728","21","7262259","0.5","0.5","0","0","0","0","0","0","0"
"257","萨拉塔斯，黑暗帝国之刃","84","1","37726","22","8929508","0.5","0.5","0","0","0","0","0","0","0"
"258","萨拉塔斯，黑暗帝国之刃","84","3","37729","23","4382149","0.5","0.5","0","0","0","0","0","0","0"
"259","萨拉塔斯，黑暗帝国之刃","84","4","37730","24","16777215","0.5","0.5","0","0","0","0","0","0","0"
"260","萨拉塔斯，黑暗帝国之刃","85","2","52509","25","-5505025","0.5","0.5","0","0","0","0","16","0","0"
"261","萨拉塔斯，黑暗帝国之刃","85","1","44703","26","-12714089","0.5","0.5","0","0","0","0","8","0","0"
"262","萨拉塔斯，黑暗帝国之刃","85","3","52638","27","9450975","0.5","0.5","0","0","0","0","16","0","0"
"263","萨拉塔斯，黑暗帝国之刃","85","4","52671","28","14804548","0.5","0.5","0","0","0","0","16","0","0"
"264","乌索克之爪（棕色）","48","2","37268","9","6233864","0.5","0.5","5","66693","0","0","3","0","34467"
"265","乌索克之爪（蓝绿色）","48","3","37269","9","4840150","0.5","0.5","5","66683","0","0","3","0","76831"
"266","乌索克之爪（酒红色）","48","4","37270","9","12137809","0.5","0.5","5","66685","0","0","3","0","76832"
"267","乌索克之爪（金色）","48","5","37719","10","13541153","0.5","0.5","5","66687","0","0","0","0","0"
"268","乌索克之爪（白色）","48","6","37718","11","14079702","0.5","0.5","5","66688","0","0","0","0","0"
"269","乌索克之爪（黑色）","48","7","37720","12","1525299","0.5","0.5","5","66682","0","0","0","0","0"
"270","顽石之爪（灰色）","86","2","37722","14","5675392","0.5","0.5","5","66696","0","0","0","0","0"
