Id,Name,GameType,ShortDescription,LongDescription,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataId,RequiredPlayerConditionId,MapId0,MapId1,MapId2,MapId3,MapId4,MapId5,MapId6,MapId7,MapId8,MapId9,MapId10,MapId11,MapId12,MapId13,MapId14,MapId15
"1","奥特兰克山谷","史诗战场","","","3","20","60","25","10","40","1","5","1941","24","136324","0","30","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"2","战歌峡谷（经典版）","夺旗战","","","3","0","0","10","5","10","1","5","1942","0","136365","0","489","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"3","阿拉希盆地（经典版）","占领模式","","","3","0","0","10","8","15","1","5","1943","0","136322","0","529","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"4","Nagrand Arena (old)","","","","4","0","0","5","0","5","1","5","0","5","460867","5793","559","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"5","zzOldBlade's Edge Arena","","","","4","0","0","5","0","5","1","5","0","5","460861","0","562","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"6","所有竞技场","","","","4","20","60","5","0","5","1","3","0","8","525915","0","1672","1911","1504","1505","572","617","980","1134","1552","1170","1825","2167","2373","65535","65535","65535"
"7","风暴之眼","占领模式","","","3","20","60","15","8","15","1","5","2851","24","525912","0","566","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"8","洛丹伦废墟","","","","4","10","60","5","0","5","1","5","0","8","460869","0","572","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"9","远古海滩","攻城战","","","3","10","60","15","8","15","1","5","3695","1","460870","0","607","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"10","达拉然下水道","","","","4","10","60","5","0","5","1","5","0","8","460862","0","617","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"11","勇气竞技场","","","","4","0","0","5","0","5","1","5","0","0","460868","0","618","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"30","征服之岛","史诗战场","","","3","20","60","25","10","40","1","5","4273","24","311222","0","628","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"32","随机战场","","","","3","10","60","25","5","40","1","5","0","0","525915","0","2107","2106","566","1803","761","726","727","998","2245","65535","65535","65535","65535","65535","65535","65535"
"100","评级战场","","","","3","50","60","10","5","10","1","10","0","2","0","0","2107","1803","968","727","998","761","726","2106","2245","65535","65535","65535","65535","65535","65535","65535"
"101","评级战场","","","","3","50","60","15","8","15","1","15","0","2","0","0","2107","566","607","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"102","评级战场","","","","3","50","60","6","4","6","1","6","0","2","0","0","727","998","726","2106","1803","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"108","双子峰","夺旗战","","","3","30","60","10","5","10","1","5","5361","24","525913","0","726","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"120","吉尔尼斯之战","占领模式","","","3","20","60","10","3","10","1","5","5360","24","460871","0","761","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"656","评级风暴之眼","","","","3","50","60","10","5","10","1","5","2851","10","0","0","968","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"699","寇魔古寺","能量宝珠","","","3","40","60","10","2","10","1","5","6306","24","791651","0","998","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"706","CTF3","","","","3","0","0","10","5","10","1","5","6408","1","0","0","1010","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"708","碎银矿脉","资源竞赛","","","3","30","60","10","5","10","1","5","6436","24","791650","0","727","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"719","托维尔隆竞技场","","","","4","10","60","5","0","5","1","5","0","8","791652","0","980","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"754","深风峡谷（经典）","占领模式","","","3","40","60","10","8","15","1","5","7671","8","875925","0","1105","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"757","虎踞峰","","","","4","10","60","5","0","5","1","5","0","8","875926","0","1134","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"789","南海镇VS塔伦米尔","乱斗","","","3","50","60","0","10","40","1","5","0","36","0","0","1280","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"803","Small Battleground D","各地","","","3","0","0","5","0","5","1","5","0","5","0","0","1171","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"808","黑鸦堡垒竞技场","","","","4","10","60","5","0","5","1","5","0","8","1389174","0","1504","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"809","纳格兰竞技场","","","","4","10","60","5","0","5","1","5","0","8","460867","0","1505","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"816","阿莎曼之墓","","","","4","10","60","5","0","5","1","5","0","8","1389175","0","1552","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"844","刀锋山竞技场","","","","4","10","60","5","0","5","1","5","0","8","460861","0","1672","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"846","吉尔尼斯之战（旧城市地图）","乱斗","","","3","0","0","10","5","10","1","5","0","37","460871","0","728","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"847","阿拉希盆地之冬","乱斗","","","3","50","60","10","8","15","1","5","0","36","136322","0","1681","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"848","AI Test - Arathi Basin","","","","3","0","0","10","8","15","1","15","12812","1","0","0","1686","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"849","深风大灌篮","乱斗","","","3","50","60","10","8","15","1","5","0","36","875925","0","1105","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"853","决战影踪派","乱斗","","","4","50","60","5","0","5","1","5","0","100","0","0","1170","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"856","[TEMP] RaceTrackBG","占领模式","","","3","0","0","10","5","10","1","5","0","1","875925","0","1726","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"857","熙攘黑石","","","","4","0","0","0","2","2","1","2","0","37","136326","0","1715","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"858","魔古接力","乱斗","","","3","50","60","10","1","10","1","5","0","36","791651","0","998","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"859","引力失效","乱斗","","","3","50","60","15","8","15","1","5","0","36","525912","0","566","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"861","战歌总动员","乱斗","","","3","50","60","10","5","10","1","5","0","36","136365","0","2106","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"862","羊角之眼","乱斗","","","3","50","60","15","8","15","1","5","0","36","525912","0","566","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"866","所有竞技场","乱斗","","","3","50","60","5","8","15","1","5","0","100","525915","0","1672","617","1505","572","1134","980","1552","1504","1911","1825","2167","65535","65535","65535","65535","65535"
"868","洛丹伦废墟","","","","3","50","60","5","0","15","1","5","0","100","460869","0","572","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"869","达拉然下水道","","","","3","50","60","5","0","15","1","5","0","100","460862","0","617","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"870","托维尔隆竞技场","","","","3","50","60","5","0","15","1","5","0","100","791652","0","980","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"871","虎踞峰","","","","3","50","60","5","0","15","1","5","0","100","875926","0","1134","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"872","黑鸦堡垒竞技场","","","","3","50","60","5","0","15","1","5","0","100","1389174","0","1504","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"873","纳格兰竞技场","","","","3","50","60","5","0","15","1","5","0","100","460867","0","1505","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"874","阿莎曼之墓","","","","3","50","60","5","0","15","1","5","0","100","1389175","0","1552","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"875","刀锋山竞技场","","","","3","50","60","5","0","15","1","5","0","100","460861","0","1672","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"878","AI Test - Warsong Gulch","","","","3","0","0","10","5","10","1","10","0","1","0","0","1740","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"879","六人战","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","2106","998","727","1803","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"880","阿拉希盆地","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","529","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"881","深风峡谷","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","1105","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"882","风暴之眼","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","968","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"883","碎银矿脉","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","727","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"884","寇魔古寺","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","998","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"885","吉尔尼斯之战","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","1803","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"886","战歌峡谷","乱斗","","","3","50","60","6","6","6","1","6","0","32","0","0","2106","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"887","碟中碟","","","","3","50","60","10","5","10","1","5","0","32","875925","0","1691","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"890","涌泉海滨","支配","","","3","0","0","10","8","15","1","5","0","1","875925","0","1782","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"893","8.0 BG Temp","占领模式","","","3","0","0","10","8","15","1","5","0","1","875925","0","1802","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"894","涌泉海滩","抢夺资源竞赛","","","3","40","60","10","5","10","1","5","0","24","1864730","0","1803","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"897","锚角港","","","","4","10","60","5","0","5","1","5","0","8","0","0","1825","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"901","随机史诗战场","","","","3","20","60","0","5","40","1","5","0","0","0","0","30","1191","2118","628","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"902","虎踞峰","","","","3","50","60","3","1","3","1","3","0","96","875926","0","1134","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"903","穆贾巴拉","","","","4","10","60","5","0","5","1","5","0","8","0","0","1911","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"904","乱斗 - 所有竞技场","","","","4","50","60","3","3","3","1","3","0","32","525915","0","1672","617","1505","572","1134","980","1552","1504","65535","65535","65535","65535","65535","65535","65535","65535"
"905","所有竞技场：熙攘乱战","乱斗","","","3","50","60","3","1","3","1","3","0","100","525915","0","1672","617","1505","572","1134","980","1552","1504","65535","65535","65535","65535","65535","65535","65535","65535"
"906","阿莎曼之墓","","","","3","50","60","3","1","3","1","3","0","100","1389175","0","1552","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"907","刀锋山竞技场","","","","3","50","60","3","1","3","1","3","0","100","460861","0","1672","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"908","刀锋山","","","","3","50","60","3","1","3","1","3","0","96","875926","0","1672","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"909","达拉然下水道","","","","3","50","60","3","1","3","1","3","0","96","875926","0","617","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"910","纳格兰竞技场","","","","3","50","60","3","1","3","1","3","0","96","875926","0","1505","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"911","洛丹伦废墟","","","","3","50","60","3","1","3","1","3","0","96","875926","0","572","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"912","托维尔隆竞技场","","","","3","50","60","3","1","3","1","3","0","96","875926","0","980","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"913","黑鸦堡垒竞技场","","","","3","50","60","3","1","3","1","3","0","96","875926","0","1504","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1014","战歌峡谷","夺旗战","","","3","10","60","10","5","10","1","5","1942","24","136365","0","2106","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1017","冬拥湖之战","史诗战场","","","3","40","60","25","10","40","1","5","0","24","136324","0","2118","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1018","阿拉希盆地","占领模式","","","3","10","60","10","8","15","1","5","1943","24","136322","0","2107","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1019","阿拉希盆地人机对决","","","","3","0","0","15","1","15","1","15","0","0","0","0","2177","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1020","阿什兰","史诗战场","","","3","20","60","25","10","25","1","5","0","24","1398842","0","1191","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1021","经典阿什兰","无尽史诗战场","","","3","20","60","25","10","25","1","5","1941","40","1398842","0","1191","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1022","阿拉希盆地","乱斗","","","3","50","60","10","8","15","1","5","0","36","136322","0","2177","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1025","机械天穹","","","","4","10","60","5","0","5","1","5","0","8","0","0","2167","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1029","随机战场","","","","3","10","60","25","5","40","1","5","0","1","525915","0","2107","2106","566","1803","761","726","727","998","2245","65535","65535","65535","65535","65535","65535","65535"
"1030","冬拥湖之战","史诗战场","","","3","50","60","25","10","40","1","5","0","32","136324","0","2118","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1031","Programmer Map - Battlefield","","","","3","0","0","0","1","20","0","0","0","0","0","0","2226","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
"1033","科尔拉克的复仇","限时活动","","","3","0","0","25","10","40","1","40","1941","0","136324","0","2197","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535","65535"
