Id,Text,Text1,LanguageId,ConditionId,EmotesId,Flags,ChatBubbleDurationMs,SoundEntriesId0,SoundEntriesId1,EmoteId0,EmoteId1,EmoteId2,EmoteDelay0,EmoteDelay1,EmoteDelay2
"1","救命啊！我动不了了！","","0","0","0","70","0","0","0","0","0","0","0","0","0"
"3927","自毁系统程序启动。","","0","0","0","69","0","0","0","0","0","0","0","0","0"
"9426","让火焰净化一切吧！","","0","0","0","71","0","8046","0","0","0","0","0","0","0"
"15708","","来，这边走。","7","0","0","68","0","0","44118","0","0","0","0","0","0"
"33630","这远远不够，兽人！下马投降，否则就是死路一条！","这远远不够，兽人！下马投降，否则就是死路一条！","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33631","","别挡道，蠢货！","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33996","生命的凋零，不可避免。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"33997","我必须这么做。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34001","你们没有时间了！","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34012","也许正是这种不完美，才使你们获得了自由的意志，并因此有能力改变那些看起来不可避免的必然命运。泰坦所创造的许多完美生命体都遭遇了失败，而你们仍能继续前行。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"42407","","去吧，我的纳迦！迎接强大的猎潮者来到艾泽拉斯。","0","0","1","118","0","0","18874","0","0","0","0","0","0"
"42434","你和你那些长鳞的虫子根本不是我的对手……","","0","0","0","118","0","19457","0","0","0","0","0","0","0"
"42435","","蠢货！今天就是你的死期！","0","0","15","118","0","0","18875","0","0","0","0","0","0"
"42518","你们太过火了，毒蛇。你们会为这次入侵付出惨重的代价！","","0","0","0","118","0","19463","0","0","0","0","0","0","0"
"42545","","过来，奴仆们！开始攻击！","0","0","15","118","0","0","18876","0","0","0","0","0","0"
"44211","","现在！放出海怪！","0","0","15","118","0","0","18877","0","0","0","0","0","0"
"44212","啊……","","0","0","0","118","0","19464","0","0","0","0","0","0","0"
"44213","","跟着我，宠物们！耐普图隆的国度终于成了我们的掌中之物！","0","0","15","118","0","0","18878","0","0","0","0","0","0"
"44214","现在怎么办，老朋友？","","0","0","1","118","0","21217","0","0","0","0","0","0","0"
"44215","我们遭受了惨重的失败。","","0","0","396","118","0","19526","0","0","0","0","0","0","0"
"44216","我们世界未来的希望，变得渺茫了。","","0","0","396","118","0","19527","0","0","0","0","0","0","0"
"44217","必须让萨尔知道这一切。","","0","0","396","118","0","19528","0","0","0","0","0","0","0"
"44218","他会指引我们……","","0","0","396","118","0","19529","0","0","0","0","0","0","0"
"44219","埃鲁纳克！不——！","","0","0","1","118","0","21218","0","0","0","0","0","0","0"
"44220","啊！！！","","0","0","396","118","0","19530","0","0","0","0","0","0","0"
"44223","","你是人民真正的英雄，利亚姆。不像其他的贵族，我们将让他们付出代价。","0","0","0","71","0","0","19686","66","0","0","0","0","0"
"44225","好吧，萨满，现在呢？","","0","0","1","118","0","21319","0","0","0","0","0","0","0"
"44226","埃鲁纳克，在你身后！","","0","0","1","118","0","21320","0","0","0","0","0","0","0"
"50471","愿圣光祝福我们先祖的灵魂，他们挑选了我的儿子安息在这片应允的神圣土地上。","","0","0","1","71","0","19713","0","0","0","0","0","0","0"
"50472","他属于这里，这片被吉尔尼斯的英雄和爱国者所环绕的土地。","","0","0","1","71","0","19714","0","0","0","0","0","0","0"
"50473","我们一定会回来的，利亚姆，我向你发誓。","","0","0","66","71","0","19715","0","0","0","0","0","0","0"
"50477","吉尔尼斯会铭记你的勇气，利亚姆。","","0","0","66","71","0","19497","0","0","0","0","0","0","0"
"56129","$n，很抱歉欺骗了你，但这实属无奈之举。","","0","0","0","71","0","28571","0","0","0","0","0","0","0"
"56130","数千年来，我们从未遇见过你这样的人。","","0","13211","0","71","0","28572","0","0","0","0","0","0","0"
"56131","所以我得先探明你的心意，这非常重要。","","0","0","0","71","0","28573","0","0","0","0","0","0","0"
"56154","跟我来，小家伙。我想给你看一样东西。","","0","0","0","71","0","28574","0","0","0","0","0","0","0"
"57715","我们要把这地方炸成个大坑，呵呵。","","0","0","0","71","0","30625","0","5","0","0","0","0","0"
"57899","[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.]","","0","0","0","71","0","0","0","0","0","0","0","0","0"
"58170","跑吧跑吧，光板儿！要是被我抓住，我就把你吞进肚子里去！","","0","0","0","71","0","0","0","0","0","0","0","0","0"
