Id,PlayerConditionId,OrderIndex,CampaignId
"15","450","62173","1"
"16","555","62174","1"
"17","630","62175","1"
"23","735","62184","2"
"24","846","62185","2"
"25","920","62186","2"
"29","1031","62523","1"
"30","1118","62524","2"
"147","1199","69018","2"
"152","1252","72028","1"
"153","1323","72029","2"
"156","1400","77905","114"
"157","352","78570","118"
"161","344","85644","126"
"167","1413","87109","111"
"168","1441","88564","113"
"170","1471","88568","113"
"171","1501","86974","113"
"172","1532","86977","113"
"174","1563","86981","113"
"175","1594","86984","113"
"176","1625","86990","113"
"177","1656","87254","114"
"178","1648","87384","124"
"184","1673","88026","113"
"186","1714","88058","119"
"187","1776","88059","115"
"188","1841","88060","117"
"189","1903","88061","113"
"190","1329","88561","119"
"191","1359","88565","119"
"192","1389","86212","119"
"193","1420","86213","119"
"194","1451","86214","119"
"195","1482","86215","119"
"196","1513","86216","119"
"197","1273","88563","117"
"198","1303","88567","117"
"199","1333","86972","117"
"200","1364","86975","117"
"201","1395","86979","117"
"202","1426","86982","117"
"203","1457","86988","117"
"204","1217","88562","115"
"205","1247","88566","115"
"206","1277","86973","115"
"207","1308","86976","115"
"208","1339","86980","115"
"209","1370","86983","115"
"210","1401","86989","115"
"211","1788","88895","117"
"212","1780","88895","113"
"213","1772","88895","115"
"214","1764","88895","119"
"215","16","88932","111"
"216","8","88933","124"
