Id,Name,ChrCustomizationOptionId,ChrCustomizationReqId,OrderIndex,UiOrderIndex,Flags,SwatchColor0,SwatchColor1
"1","","9","291","0","40","0","-1654626","0"
"2","","9","291","1","41","0","-2312813","0"
"3","","9","291","2","42","0","-3036537","0"
"4","","9","291","3","43","0","-3694724","0"
"5","","9","291","4","44","0","-4352911","0"
"6","","9","291","5","45","0","-5076891","0"
"7","","9","291","6","46","0","-5735078","0"
"8","","9","291","7","47","0","-6458802","0"
"9","","9","291","8","48","0","-7116989","0"
"10","","9","291","9","49","0","-10142692","0"
"11","","9","12","10","100","0","11961695","0"
"12","","9","12","11","101","0","0","0"
"13","","9","53","12","70","0","11640187","0"
"14","","9","53","13","71","0","11377493","0"
"15","","9","53","14","72","0","-6717857","0"
"16","","9","12","15","102","0","11968895","0"
"17","","9","10","16","103","0","0","0"
"18","","9","12","17","104","0","0","0"
"20","","10","141","0","0","0","0","0"
"21","","10","141","1","1","0","0","0"
"22","","10","141","2","2","0","0","0"
"23","","10","141","3","3","0","0","0"
"24","","10","141","4","4","0","0","0"
"25","","10","141","5","5","0","0","0"
"26","","10","141","6","6","0","0","0"
"27","","10","141","7","7","0","0","0"
"28","","10","141","8","8","0","0","0"
"29","","10","141","9","9","0","0","0"
"30","","10","141","10","10","0","0","0"
"31","","10","141","11","11","0","0","0"
"44","光头","11","141","0","0","0","0","0"
"45","农夫","11","141","1","1","0","0","0"
"46","士兵","11","141","2","2","0","0","0"
"47","僧侣","11","141","3","3","0","0","0"
"48","野蛮人","11","141","4","4","0","0","0"
"49","时髦","11","141","5","5","0","0","0"
"50","蓬松","11","141","6","6","0","0","0"
"51","大臣","11","141","7","7","0","0","0"
"52","学者","11","141","8","8","0","0","0"
"53","游荡者","11","141","9","9","0","0","0"
"54","美男","11","141","10","10","0","0","0"
"55","大力士","11","141","11","11","0","0","0"
"56","拳手","11","141","12","12","0","0","0"
"57","尖刺","11","141","13","13","0","0","0"
"58","后刺","11","141","14","14","0","0","0"
"59","狐尾","11","141","15","15","0","0","0"
"60","长发","11","141","16","16","0","0","0"
"61","","12","35","0","1","0","3815996","0"
"62","","12","35","1","7","0","8935702","0"
"63","","12","35","2","3","0","11559219","0"
"64","","12","35","3","4","0","11356928","0"
"65","","12","35","4","6","0","13726464","0"
"66","","12","35","5","8","0","12287002","0"
"67","","12","35","6","9","0","-3563710","0"
"68","","12","35","7","5","0","10319959","0"
"69","","12","35","8","10","0","7630177","0"
"70","","12","35","9","11","0","13092807","0"
"71","","12","35","10","12","0","-13090448","0"
"72","","12","35","11","13","0","-6581634","-10269341"
"73","","12","35","12","14","0","-6247249","-11316614"
"74","","12","10","13","100","0","0","0"
"76","无","13","141","0","0","0","0","0"
"77","山羊胡","13","141","1","1","0","0","0"
"78","大胡子","13","141","2","2","0","0","0"
"79","边须","13","141","3","3","0","0","0"
"80","浓密","13","141","4","4","0","0","0"
"81","短须","13","141","5","5","0","0","0"
"82","下巴短须","13","141","6","6","0","0","0"
"83","唇须","13","141","7","7","0","0","0"
"85","","14","318","0","40","0","-1654626","0"
"86","","14","318","1","41","0","-2312813","0"
"87","","14","318","2","42","0","-3036537","0"
"88","","14","318","3","43","0","-3694724","0"
"89","","14","318","4","44","0","-4352911","0"
"90","","14","318","5","45","0","-5076891","0"
"91","","14","318","6","46","0","-5735078","0"
"92","","14","318","7","47","0","-6458802","0"
"93","","14","318","8","48","0","-7116989","0"
"94","","14","318","9","49","0","-10142692","0"
"95","","14","12","10","100","0","0","0"
"96","","14","12","11","101","0","0","0"
"97","","14","319","12","70","0","12563876","0"
"98","","14","319","13","71","0","-4544423","0"
"99","","14","319","14","72","0","-6059911","0"
"100","","14","10","15","102","0","0","0"
"101","","14","12","16","103","0","0","0"
"102","","15","141","0","0","0","0","0"
"103","","15","141","1","1","0","0","0"
"104","","15","141","2","2","0","0","0"
"105","","15","141","3","3","0","0","0"
"106","","15","141","4","4","0","0","0"
"107","","15","141","5","5","0","0","0"
"108","","15","141","6","6","0","0","0"
"109","","15","141","7","7","0","0","0"
"110","","15","141","8","8","0","0","0"
"111","","15","141","9","9","0","0","0"
"112","","15","141","10","10","0","0","0"
"113","","15","141","11","11","0","0","0"
"114","","15","141","12","12","0","0","0"
"115","","15","141","13","13","0","0","0"
"116","","15","141","14","14","0","0","0"
"132","直发","16","141","0","0","0","0","0"
"133","蓬松","16","141","1","1","0","0","0"
"134","刘海","16","141","2","2","0","0","0"
"135","浓发","16","141","3","3","0","0","0"
"136","偏分长发","16","141","4","4","0","0","0"
"137","侧边拢发","16","141","5","5","0","0","0"
"138","假小子","16","141","6","6","0","0","0"
"139","右偏分马尾","16","141","7","7","0","0","0"
"140","左偏分马尾","16","141","8","8","0","0","0"
"141","顺直鲍勃头","16","141","9","9","0","0","0"
"142","多层长发","16","141","10","10","0","0","0"
"143","短直发","16","141","11","11","0","0","0"
"144","多层短发","16","141","12","12","0","0","0"
"145","披肩卷发","16","141","13","13","0","0","0"
"146","凌乱圆髻","16","141","14","14","0","0","0"
"147","偏分短发","16","141","15","15","0","0","0"
"148","短卷发","16","141","16","16","0","0","0"
"149","凌乱","16","141","17","17","0","0","0"
"150","薄发","16","141","18","18","0","0","0"
"151","复古","16","141","19","19","0","0","0"
"152","时尚","16","141","20","20","0","0","0"
"153","大波浪","16","141","21","21","0","0","0"
"154","缕发","16","141","22","22","0","0","0"
"155","清凉短发","16","141","23","23","0","0","0"
