Id,Name,OField_9_0_1_34081_002,Flags,ChrModelId,OrderIndex,ChrCustomizationCategoryId,OptionType,CameraZoom,ChrCustomizationId,Field_9_0_1_34615_010
"1","肤色","1","16","0","0","2","0","1","0","0"
"2","面部","2","0","0","1","2","0","1","0","0"
"3","发型","3","0","0","2","4","0","1","0","0"
"4","发色","4","0","0","3","4","0","1","0","0"
"5","胡须","5","0","0","4","4","0","1","0","0"
"6","纹身样式","6","8","0","5","5","0","1","0","0"
"7","犄角形状","7","0","0","6","2","0","1","0","0"
"8","眼罩","8","8","0","7","2","0","1","0","0"
"9","肤色","9","80","1","2","2","0","10","1","0"
"10","面部","10","128","1","1","2","0","2","2","0"
"11","发型","11","0","1","3","2","0","1","3","0"
"12","发色","12","2","1","4","2","0","1","4","0"
"13","胡须","13","0","1","6","2","0","0.75","5","0"
"14","肤色","14","80","2","2","2","0","10","1","0"
"15","面部","15","128","2","1","2","0","2","2","0"
"16","发型","16","0","2","3","2","0","1","3","0"
"17","发色","17","2","2","4","2","0","1","4","0"
"19","肤色","19","80","3","2","2","0","10","1","0"
"20","面部","20","128","3","1","2","0","2","2","0"
"21","发型","21","0","3","3","2","0","1","3","0"
"22","发色","22","2","3","4","2","0","1","4","0"
"23","胡须","23","0","3","5","2","0","0.75","5","0"
"24","直立","24","40","3","24","5","1","10","46","0"
"25","肤色","25","80","4","2","2","0","10","1","0"
"26","面部","26","128","4","1","2","0","2","2","0"
"27","发型","27","0","4","3","2","0","1","3","0"
"28","发色","28","2","4","4","2","0","1","4","0"
"29","耳环","29","8","4","10","3","0","0.75","11","0"
"30","肤色","30","80","5","2","16","0","10","1","0"
"31","面部","31","128","5","1","16","0","2","2","0"
"32","发型","32","0","5","3","16","0","1","3","0"
"33","发色","33","2","5","4","16","0","1","4","0"
"34","胡须","34","0","5","6","16","0","0.75","5","0"
"35","肤色","35","80","6","2","2","0","10","1","0"
"36","面部","36","128","6","1","2","0","2","2","0"
"37","发型","37","0","6","3","2","0","1","3","0"
"38","发色","38","2","6","4","2","0","1","4","0"
"40","肤色","40","80","7","2","2","0","10","1","0"
"41","面部","41","128","7","1","2","0","2","2","0"
"42","发型","42","0","7","3","2","0","1","3","0"
"43","发色","43","2","7","4","2","0","1","4","0"
"44","胡须","44","0","7","7","2","0","0.75","5","0"
"46","纹身颜色","46","11","7","32","5","0","1","9","0"
"47","犄角","47","0","7","19","3","0","1","7","0"
"48","眼罩","48","0","7","20","3","0","1","8","0"
"49","肤色","49","80","8","2","2","0","10","1","0"
"50","面部","50","128","8","1","2","0","2","2","0"
"51","发型","51","0","8","3","2","0","1","3","0"
"52","发色","52","2","8","4","2","0","1","4","0"
"53","面纹","53","40","8","13","3","0","0.75","13","0"
"55","纹身颜色","55","11","8","24","5","0","1","9","0"
"56","犄角","56","0","8","20","5","0","1","7","0"
"57","眼罩","57","0","8","10","3","0","1","8","0"
"58","肤色","58","16","9","3","13","0","10","1","0"
"59","面部","59","0","9","1","13","0","2","2","0"
"60","发型","60","0","9","4","13","0","1","3","0"
"61","发色","61","2","9","5","13","0","1","4","0"
"62","下颌特征","62","40","9","6","13","0","0.75","14","0"
"63","肤色","63","16","10","3","13","0","10","1","0"
"64","面部","64","0","10","1","13","0","2","2","0"
"65","发型","65","0","10","4","13","0","1","3","0"
"66","发色","66","2","10","5","13","0","1","4","0"
"67","下颌特征","67","40","10","7","13","0","0.75","14","0"
"68","肤色","68","80","11","2","18","0","10","165","0"
"71","犄角形状","70","0","11","3","18","0","1","16","0"
"72","犄角颜色","71","2","11","4","18","0","1","17","0"
"73","胡须","72","0","11","7","18","0","0.75","164","0"
"74","肤色","73","80","12","2","18","0","10","165","0"
"77","犄角形状","75","0","12","3","18","0","1","16","0"
"78","犄角颜色","76","2","12","4","18","0","1","17","0"
"79","头发","77","0","12","6","18","0","0.75","15","0"
"80","肤色","78","80","13","2","2","0","10","1","0"
"81","面部","79","128","13","1","2","0","2","2","0"
"82","发型","80","0","13","3","2","0","1","3","0"
"83","发色","81","2","13","4","2","0","1","4","0"
"84","胡须","82","0","13","6","2","0","0.75","5","0"
"85","肤色","83","80","14","2","2","0","10","1","0"
"86","面部","84","128","14","1","2","0","2","2","0"
"87","发型","85","0","14","3","2","0","1","3","0"
"88","发色","86","2","14","4","2","0","1","4","0"
"89","耳环","87","8","14","6","2","0","0.75","18","0"
"90","肤色","88","80","15","2","2","0","10","1","0"
"91","面部","89","128","15","1","2","0","2","2","0"
"92","发型","90","0","15","3","2","0","1","3","0"
"93","发色","91","2","15","4","2","0","1","4","0"
"94","獠牙","92","0","15","5","2","0","0.75","19","0"
"95","肤色","93","80","16","2","2","0","10","1","0"
"96","面部","94","128","16","1","2","0","2","2","0"
"97","发型","95","0","16","3","2","0","1","3","0"
"98","发色","96","2","16","4","2","0","1","4","0"
"99","獠牙","97","0","16","5","2","0","0.75","19","0"
"100","肤色","98","80","17","2","2","0","10","1","0"
"101","面部","99","128","17","1","2","0","2","2","0"
"102","发型","100","0","17","3","2","0","1","3","0"
"103","发色","101","2","17","4","2","0","1","4","0"
"104","耳朵","102","0","17","10","3","0","0.75","20","0"
"105","肤色","103","80","18","2","2","0","10","1","0"
"106","面部","104","128","18","1","2","0","2","2","0"
"107","发型","105","0","18","3","2","0","1","3","0"
"108","发色","106","2","18","4","2","0","1","4","0"
"109","耳朵","107","0","18","10","3","0","0.75","20","0"
"110","肤色","108","80","19","2","2","0","10","1","0"
"111","面部","109","128","19","1","2","0","2","2","0"
"112","发型","110","0","19","3","2","0","1","3","0"
"113","发色","111","2","19","4","2","0","1","4","0"
"114","胡须","112","0","19","5","2","0","0.75","5","0"
"116","纹身颜色","114","11","19","12","5","0","1","35","0"
"117","犄角","115","0","19","8","2","0","1","7","0"
"118","眼罩","116","0","19","9","2","0","1","8","0"
"119","肤色","117","80","20","2","2","0","10","1","0"
"120","面部","118","128","20","1","2","0","2","2","0"
"121","发型","119","0","20","3","2","0","1","3","0"
"122","发色","120","2","20","4","2","0","1","4","0"
"123","耳环","121","72","20","12","3","0","0.75","21","0"
"125","纹身颜色","123","11","20","24","5","0","1","35","0"
"126","犄角","124","0","20","5","2","0","1","7","0"
"127","眼罩","125","0","20","7","2","0","1","8","0"
"128","肤色","126","80","21","2","2","0","10","1","0"
"129","面部","127","128","21","1","2","0","2","2","0"
"130","发型","128","0","21","3","2","0","1","3","0"
"131","发色","129","2","21","4","2","0","1","4","0"
"132","胡须","130","0","21","5","2","0","0.75","5","0"
"133","肤色","131","80","22","2","2","0","10","1","0"
"134","面部","132","128","22","1","2","0","2","2","0"
"135","发型","133","0","22","3","2","0","1","3","0"
"136","发色","134","2","22","4","2","0","1","4","0"
"137","犄角形状","135","0","22","5","2","0","0.75","23","0"
"138","肤色","136","16","23","1","2","0","1","1","0"
"139","面部","137","0","23","2","2","0","1","2","0"
"140","发型","138","0","23","3","4","0","1","3","0"
"141","发色","139","2","23","4","4","0","1","4","0"
"142","发型","140","0","24","1","4","0","1","3","0"
"143","发色","141","2","24","2","4","0","1","4","0"
"144","肤色","142","16","25","1","2","0","1","1","0"
"145","发型","143","0","25","2","4","0","1","3","0"
"146","发色","144","2","25","3","4","0","1","4","0"
"147","肤色","145","16","26","1","2","0","1","1","0"
"148","发型","146","0","26","2","4","0","1","3","0"
"149","发色","147","2","26","3","4","0","1","4","0"
"150","肤色","148","16","27","1","2","0","1","1","0"
"151","面部","149","0","27","2","2","0","1","2","0"
"152","发型","150","0","27","3","4","0","1","3","0"
"153","发色","151","2","27","4","4","0","1","4","0"
"154","发型","152","0","28","1","4","0","1","3","0"
"155","发色","153","2","28","2","4","0","1","4","0"
"156","肤色","154","16","29","1","2","0","1","1","0"
"157","面部","155","0","29","2","2","0","1","2","0"
"158","发型","156","0","29","3","4","0","1","3","0"
"159","发色","157","2","29","4","4","0","1","4","0"
"160","发型","158","0","30","1","4","0","1","3","0"
"161","发色","159","2","30","2","4","0","1","4","0"
"162","肤色","160","16","31","1","2","0","1","1","0"
"163","面部","161","0","31","2","2","0","1","2","0"
"164","发型","162","0","31","3","4","0","1","3","0"
"165","发色","163","2","31","4","4","0","1","4","0"
"166","胡须","164","0","31","5","4","0","1","5","0"
"167","发型","165","0","32","1","4","0","1","3","0"
"168","发色","166","2","32","2","4","0","1","4","0"
"169","肤色","167","16","33","1","2","0","1","1","0"
"170","面部","168","0","33","2","2","0","1","2","0"
"171","发型","169","0","33","3","4","0","1","3","0"
"172","发色","170","2","33","4","4","0","1","4","0"
"173","胡须","171","0","33","5","4","0","1","5","0"
"174","发型","172","0","34","1","4","0","1","3","0"
"175","发色","173","2","34","2","4","0","1","4","0"
"176","肤色","174","16","35","1","2","0","1","1","0"
"177","面部","175","0","35","2","2","0","1","2","0"
"178","发型","176","0","35","3","4","0","1","3","0"
"179","发色","177","2","35","4","4","0","1","4","0"
"180","胡须","178","0","35","5","4","0","1","5","0"
"181","发型","179","0","36","1","4","0","1","3","0"
"182","发色","180","2","36","2","4","0","1","4","0"
"183","肤色","181","16","37","1","2","0","1","1","0"
"184","面部","182","0","37","2","2","0","1","2","0"
"185","发型","183","0","37","3","4","0","1","3","0"
"186","发色","184","2","37","4","4","0","1","4","0"
"187","胡须","185","0","37","5","4","0","1","5","0"
"188","发型","186","0","38","1","4","0","1","3","0"
"189","发色","187","2","38","2","4","0","1","4","0"
"190","肤色","188","16","39","1","2","0","1","1","0"
"191","发型","189","0","39","2","4","0","1","3","0"
"192","发色","190","2","39","3","4","0","1","4","0"
"193","胡须","191","0","39","4","4","0","1","5","0"
"194","发型","192","0","40","2","4","0","1","3","0"
"195","发色","193","2","40","3","4","0","1","4","0"
"196","肤色","194","16","41","1","2","0","1","1","0"
"197","面部","195","0","41","2","2","0","1","2","0"
"198","发型","196","0","41","3","4","0","1","3","0"
"199","发色","197","2","41","4","4","0","1","4","0"
"200","胡须","198","0","41","5","4","0","1","5","0"
"201","发型","199","0","42","1","4","0","1","3","0"
"202","发色","200","2","42","2","4","0","1","4","0"
"203","毛皮颜色","201","74","43","2","20","0","10","1","0"
"204","面部","202","128","43","1","20","0","2","2","0"
"205","发型","203","0","43","3","20","0","1","3","0"
"207","胡须","205","0","43","4","20","0","0.75","5","0"
"208","毛皮颜色","206","74","44","2","20","0","10","1","0"
"209","面部","207","128","44","1","20","0","2","2","0"
"210","发型","208","0","44","3","20","0","1","3","0"
"212","耳朵","210","8","44","5","20","0","0.75","22","0"
"213","肤色","211","16","45","2","2","0","1","1","0"
"214","面部","212","0","45","1","2","0","1","2","0"
"215","发型","213","0","45","3","2","0","1","3","0"
"216","发色","214","2","45","4","2","0","1","4","0"
"217","胡须","215","0","45","5","2","0","1","5","0"
"218","肤色","216","16","46","2","2","0","1","1","0"
"219","面部","217","0","46","1","2","0","1","2","0"
"220","发型","218","0","46","3","2","0","1","3","0"
"221","发色","219","2","46","4","2","0","1","4","0"
"230","发型","227","0","48","3","14","0","1","3","0"
"231","发色","228","2","48","4","14","0","1","4","0"
"232","耳环","229","8","48","6","14","0","0.75","26","0"
"233","肤色","230","16","53","2","2","0","10","1","0"
"234","面部","231","0","53","1","2","0","2","2","0"
"235","发型","232","0","53","3","2","0","1","3","0"
"236","发色","233","2","53","4","2","0","1","4","0"
"237","耳环","234","8","53","5","2","0","0.75","44","0"
"239","肤色","236","16","54","2","2","0","10","1","0"
"240","面部","237","0","54","1","2","0","2","2","0"
"241","发型","238","0","54","3","2","0","1","3","0"
"242","发色","239","2","54","4","2","0","1","4","0"
"243","耳环","240","8","54","5","2","0","0.75","43","0"
"247","犄角形状","244","0","55","3","2","0","1","39","0"
"248","犄角纹路","245","2","55","4","2","1","1","40","0"
"254","犄角形状","250","0","56","5","2","0","1","39","0"
"255","犄角纹路","251","2","56","6","2","1","1","40","0"
"256","头发","252","0","56","3","2","0","0.75","38","0"
"259","肤色","254","80","57","2","2","0","10","1","0"
"260","面部","255","128","57","1","2","0","2","2","0"
"261","发型","256","0","57","3","2","0","1","3","0"
"262","发色","257","2","57","4","2","0","1","4","0"
"263","胡须","258","0","57","5","2","0","0.75","5","0"
"264","肤色","259","80","58","2","2","0","10","1","0"
"265","面部","260","128","58","1","2","0","2","2","0"
"266","发型","261","0","58","3","2","0","1","3","0"
"267","发色","262","2","58","4","2","0","1","4","0"
"268","耳环","263","8","58","6","2","0","0.75","41","0"
"269","肤色","264","16","59","2","2","0","10","1","0"
"270","面部","265","0","59","1","2","0","2","2","0"
"271","发型","266","0","59","3","2","0","1","3","0"
"272","发色","267","2","59","4","2","0","1","4","0"
"273","胡须","268","0","59","5","2","0","0.75","5","0"
"275","符文","270","8","59","8","2","0","1","25","0"
"276","肤色","271","16","60","2","2","0","10","1","0"
"277","面部","272","0","60","1","2","0","2","2","0"
"278","发型","273","0","60","3","2","0","1","3","0"
"279","发色","274","2","60","4","2","0","1","4","0"
"280","犄角形状","275","0","60","5","2","0","0.75","24","0"
"282","符文","277","8","60","7","2","0","1","25","0"
"283","肤色","278","16","61","2","2","0","10","1","0"
"284","面部","279","0","61","1","2","0","2","2","0"
"285","发型","280","0","61","3","2","0","1","3","0"
"286","发色","281","2","61","4","2","0","1","4","0"
"288","獠牙","283","0","61","6","2","0","1","29","0"
"289","刺环","284","8","61","7","3","0","1","30","0"
"290","肤色","285","16","62","2","2","0","10","1","0"
"291","面部","286","0","62","1","2","0","2","2","0"
"292","发型","287","0","62","3","2","0","1","3","0"
"293","发色","288","2","62","4","2","0","1","4","0"
"294","耳洞","289","8","62","11","3","0","0.75","30","0"
"296","獠牙","291","0","62","5","2","0","1","29","0"
"297","耳环","292","8","62","10","3","1","1","31","0"
"298","肤色","293","16","63","2","2","0","10","1","0"
"299","面部","294","0","63","1","2","0","2","2","0"
"300","发型","295","0","63","3","2","0","1","3","0"
"301","发色","296","2","63","4","2","0","1","4","0"
"302","胡须","297","8","63","6","2","0","0.75","5","0"
"303","肤色","298","16","64","2","2","0","10","1","0"
"304","面部","299","0","64","1","2","0","2","2","0"
"305","发型","300","0","64","3","2","0","1","3","0"
"306","发色","301","2","64","4","2","0","1","4","0"
"308","耳环","303","8","64","6","2","0","1","155","0"
"309","项链","304","8","64","7","2","0","1","156","0"
"310","肤色","305","16","65","1","2","0","1","1","0"
"311","面部","306","0","65","2","2","0","1","2","0"
"312","发型","307","0","65","3","4","0","0","3","0"
"313","发色","308","2","65","4","4","0","1","4","0"
"314","胡须","309","0","65","5","4","0","1","5","0"
"315","肤色","310","16","66","1","2","0","1","1","0"
"316","发色","311","2","66","2","4","0","1","4","0"
"317","胡须","312","0","66","3","4","0","1","5","0"
"318","肤色","313","16","67","2","16","0","10","1","0"
