Id,Name,MapId,DifficultyId,OrderIndex,IsEncounterComplete,Bit,CreatureDisplayId,Flags,SpellIconFileId,Faction
"227","审讯官格斯塔恩","230","1","0","4625","0","0","4","0","-1"
"228","洛考尔","230","1","1000","4626","1","0","4","0","-1"
"229","驯犬者格雷布玛尔","230","1","2000","4627","2","0","4","0","-1"
"230","秩序竞技场","230","1","3000","4628","3","0","4","0","-1"
"231","控火师罗格雷恩","230","1","4000","4629","4","0","4","0","-1"
"232","伊森迪奥斯","230","1","5000","4630","5","0","4","0","-1"
"233","典狱官斯迪尔基斯","230","1","6000","4633","6","0","4","0","-1"
"234","弗诺斯·达克维尔","230","1","7000","4634","7","0","4","0","-1"
"235","贝尔加","230","1","8000","4635","8","0","4","0","-1"
"236","安格弗将军","230","1","9000","4636","9","0","4","0","-1"
"237","傀儡统帅阿格曼奇","230","1","10000","4637","10","0","4","0","-1"
"238","霍尔雷·黑须","230","1","11000","4638","11","0","4","0","-1"
"239","法拉克斯","230","1","12000","4639","12","0","4","0","-1"
"240","雷布里·斯库比格特","230","1","13000","4640","13","0","4","0","-1"
"241","普拉格","230","1","14000","4641","14","0","4","0","-1"
"242","弗莱拉斯大使","230","1","15000","4642","15","0","4","0","-1"
"243","黑铁七贤","230","1","16000","4643","16","0","4","0","-1"
"244","玛格姆斯","230","1","17000","4644","17","0","4","0","-1"
"245","达格兰·索瑞森大帝","230","1","18000","4645","18","0","4","0","-1"
"250","尤尔","557","2","1500","4607","3","0","4","0","-1"
"267","欧莫克大王","229","1","0","4646","0","0","4","0","-1"
"268","暗影猎手沃什加斯","229","1","1000","4647","1","0","4","0","-1"
"269","指挥官沃恩","229","1","2000","4648","2","0","4","0","-1"
"270","烟网蛛后","229","1","3000","4649","3","0","4","0","-1"
"271","尤洛克·暗嚎","229","1","4000","4650","4","0","4","0","-1"
"272","军需官兹格雷斯","229","1","5000","4651","5","0","4","0","-1"
"273","奴役者基兹鲁尔","229","1","6000","4652","6","0","4","0","-1"
"274","哈雷肯","229","1","5500","4653","7","0","4","0","-1"
"275","维姆萨拉克","229","1","8000","4654","8","0","4","0","-1"
"343","瑟雷姆·刺蹄","429","1","0","4669","0","0","4","0","-1"
"344","海多斯博恩","429","1","1000","4670","1","0","4","0","-1"
"345","蕾瑟塔蒂丝","429","1","2000","4671","2","0","4","0","-1"
"346","荒野变形者奥兹恩","429","1","3000","4672","3","0","4","0","-1"
"347","伊琳娜·暗木","429","1","4000","4676","4","0","4","0","-1"
"348","卡雷迪斯镇长","429","1","5000","4675","5","0","4","0","-1"
"349","伊莫塔尔","429","1","6000","4676","6","0","4","0","-1"
"350","特迪斯·扭木","429","1","3500","4673","7","0","4","0","-1"
"361","托塞德林王子","429","1","7000","4677","8","0","4","0","-1"
"362","卫兵摩尔达","429","1","8000","4678","9","0","4","0","-1"
"363","践踏者克雷格","429","1","9000","4679","10","0","4","0","-1"
"364","卫兵芬古斯","429","1","10000","4680","11","0","4","0","-1"
"365","卫兵斯里基克","429","1","11000","4681","12","0","4","0","-1"
"366","克罗卡斯","429","1","12000","4682","13","0","4","0","-1"
"367","观察者克鲁什","429","1","13000","4683","14","0","4","0","-1"
"368","戈多克大王","429","1","14000","1544","15","0","4","0","-1"
"378","粘性辐射尘","90","1","2500","4693","1","0","4","0","-1"
"379","格鲁比斯","90","1","2000","4694","2","0","4","0","-1"
"380","电刑器6000型","90","1","3000","4695","3","0","4","0","-1"
"381","群体打击者9-60","90","1","4000","4696","4","0","4","0","-1"
"382","机械师瑟玛普拉格","90","1","5000","4697","5","0","4","0","-1"
"422","诺克赛恩","349","1","0","4703","0","0","4","0","-1"
"423","锐刺鞭笞者","349","1","1000","4704","1","0","4","0","-1"
"424","维利塔恩","349","1","2000","4705","2","0","4","0","-1"
"425","被诅咒的塞雷布拉斯","349","1","3000","4706","3","0","4","0","-1"
"426","兰斯利德","349","1","4000","4707","4","0","4","0","-1"
"427","工匠吉兹洛克","349","1","1500","4708","5","0","4","0","-1"
"428","洛特格里普","349","1","6000","4709","6","0","4","0","-1"
"429","瑟莱德丝公主","349","1","7000","4710","7","0","4","0","-1"
"438","鲁古格","47","1","375","8591","0","0","0","0","-1"
"444","审讯员韦沙斯","189","1","0","4567","0","0","0","0","-1"
"446","驯犬者洛克希","189","1","2000","4569","2","0","0","0","-1"
"447","奥法师杜安","189","1","3000","4570","3","0","0","0","-1"
"448","赫洛德","189","1","4000","4571","4","0","0","0","-1"
"449","大检察官法尔班克斯","189","1","5000","4572","5","0","0","0","-1"
"450","大检察官怀特迈恩","189","1","6000","1201","6","0","0","0","-1"
"451","传令官基尔图诺斯","289","1","0","4573","0","0","0","0","-1"
"452","詹迪斯·巴罗夫","289","1","1000","4574","1","0","0","0","-1"
"453","血骨傀儡","289","1","2000","4575","2","0","0","0","-1"
"454","马杜克·布莱克波尔","289","1","3000","4576","3","0","0","0","-1"
"455","维克图斯","289","1","4000","4577","4","0","0","0","-1"
"456","莱斯·霜语","289","1","5000","4578","5","0","0","0","-1"
"457","讲师玛丽希亚","289","1","6000","4588","6","0","0","0","-1"
"458","瑟尔林·卡斯迪诺夫教授","289","1","7000","4589","7","0","0","0","-1"
"459","博学者普克尔特","289","1","8000","4590","8","0","0","0","-1"
"460","拉文尼亚","289","1","9000","4591","9","0","0","0","-1"
"461","阿雷克斯·巴罗夫","289","1","10000","4592","10","0","0","0","-1"
"462","伊露希亚·巴罗夫","289","1","11000","4593","11","0","0","0","-1"
"463","黑暗院长加丁","289","1","12000","4594","12","0","0","0","-1"
"472","不可宽恕者","329","1","6500","4719","0","0","4","0","-1"
"473","弗雷斯特恩","329","1","1000","4720","1","0","4","0","-1"
"474","悲惨的提米","329","1","2000","4721","2","0","4","0","-1"
"475","希望破坏者威利","329","1","3000","4723","3","0","4","0","-1"
"476","指挥官玛洛尔","329","1","2500","4722","4","0","4","0","-1"
"477","档案管理员加尔福特","329","1","5000","4724","5","0","4","0","-1"
"478","巴纳扎尔","329","1","6000","4725","6","0","4","0","-1"
"479","安娜丝塔丽男爵夫人","329","1","7000","4726","7","0","4","0","-1"
"480","奈鲁布恩坎","329","1","8000","4727","8","0","4","0","-1"
"481","苍白的玛勒基","329","1","9000","4728","9","0","4","0","-1"
"482","巴瑟拉斯镇长","329","1","10000","4729","10","0","4","0","-1"
"483","吞咽者拉姆斯登","329","1","11000","4730","11","0","4","0","-1"
"484","奥里克斯·瑞文戴尔领主","329","1","12000","4731","12","0","4","0","-1"
"486","德姆塞卡尔","109","1","1000","4734","1","0","4","0","-1"
"487","德拉维沃尔","109","1","2000","4735","2","0","4","0","-1"
"488","预言者迦玛兰","109","1","500","121","3","0","4","0","-1"
"490","摩弗拉斯","109","1","5000","4737","5","0","4","0","-1"
"491","哈扎斯","109","1","6000","4738","6","0","4","0","-1"
"492","哈卡的化身","109","1","-500","4739","7","0","4","0","-1"
"493","伊兰尼库斯的阴影","109","1","8000","4740","8","0","4","0","-1"
"519","冰封指挥官","576","2","0","3685","0","0","0","0","-1"
"520","大魔导师泰蕾丝塔","576","1","0","3691","1","0","4","0","-1"
"521","大魔导师泰蕾丝塔","576","2","1000","3691","1","0","0","0","-1"
"522","阿诺玛鲁斯","576","1","1000","3692","2","0","0","0","-1"
"523","阿诺玛鲁斯","576","2","2000","3692","2","0","0","0","-1"
"524","塑树者奥莫洛克","576","1","2000","3693","3","0","0","0","-1"
"525","塑树者奥莫洛克","576","2","3000","3693","3","0","0","0","-1"
"526","克莉斯塔萨","576","1","3000","3694","4","0","0","0","-1"
"527","克莉斯塔萨","576","2","4000","3694","4","0","0","0","-1"
"528","审讯者达库斯","578","1","0","3869","0","0","0","0","-1"
"529","审讯者达库斯","578","2","1000","3869","0","0","0","0","-1"
"530","瓦尔洛斯·云击","578","1","1000","3871","1","0","0","0","-1"
"531","瓦尔洛斯·云击","578","2","2000","3871","1","0","0","0","-1"
"532","法师领主伊洛姆","578","1","2000","3872","2","0","0","0","-1"
"533","法师领主伊洛姆","578","2","3000","3872","2","0","0","0","-1"
"534","魔网守护者埃雷苟斯","578","1","3000","3873","3","0","0","0","-1"
"535","魔网守护者埃雷苟斯","578","2","4000","3873","3","0","0","0","-1"
"547","鲁维罗什","70","1","0","4758","0","0","4","0","-1"
"548","失踪的矮人","70","1","1000","4761","1","0","4","0","-1"
"549","艾隆纳亚","70","1","2000","4762","2","0","4","0","-1"
"551","远古巨石卫士","70","1","4000","4764","4","0","4","0","-1"
"552","加加恩·火锤","70","1","5000","4765","5","0","4","0","-1"
"553","格瑞姆洛克","70","1","6000","4766","6","0","4","0","-1"
"554","阿扎达斯","70","1","7000","4767","7","0","4","0","-1"
"585","安娜科德拉","43","1","0","4776","0","0","4","0","-1"
"586","考布莱恩","43","1","1000","4777","1","0","4","0","-1"
"587","克雷什","43","1","2000","4778","2","0","4","0","-1"
"588","皮萨斯","43","1","3000","4779","3","0","4","0","-1"
"589","斯卡姆","43","1","4000","4780","4","0","4","0","-1"
"590","瑟芬迪斯","43","1","5000","4781","5","0","4","0","-1"
"591","永生者沃尔丹","43","1","6000","4782","6","0","4","0","-1"
"592","吞噬者穆坦努斯","43","1","7000","4783","7","0","4","0","-1"
"593","水占师维蕾萨","209","1","0","4784","0","0","4","0","-1"
"594","加兹瑞拉","209","1","1000","4785","1","0","4","0","-1"
"595","安图苏尔","209","1","2000","4786","2","0","4","0","-1"
"596","殉教者塞卡","209","1","3000","4787","3","0","4","0","-1"
"597","巫医祖穆拉恩","209","1","4000","4788","4","0","4","0","-1"
"598","耐克鲁姆","209","1","5000","4789","5","0","4","0","-1"
"599","暗影祭司塞瑟斯","209","1","6000","4790","6","0","4","0","-1"
"600","乌克兹·沙顶","209","1","7000","4791","7","0","4","0","-1"
"601","高阶督军纳因图斯","564","0","0","3013","0","21174","6","0","-1"
"602","苏普雷姆斯","564","0","1000","3012","1","21145","6","0","-1"
"603","阿卡玛之影","564","0","2000","3058","2","21357","6","0","-1"
"604","塔隆·血魔","564","0","3000","4792","3","21254","6","0","-1"
"605","古尔图格·血沸","564","0","4000","3014","4","21443","6","0","-1"
"606","灵魂之匣","564","0","5000","4793","5","21483","6","0","-1"
"607","莎赫拉丝主母","564","0","6000","12150","6","21252","6","0","-1"
"608","伊利达雷议会","564","0","7000","3030","7","21416","6","0","-1"
"609","伊利丹·怒风","564","0","8000","4794","8","21135","7","0","-1"
"610","狂野的拉佐格尔","469","0","0","4795","0","10115","6","0","-1"
"611","堕落的瓦拉斯塔兹","469","0","1000","4796","1","13992","6","0","-1"
"612","勒什雷尔","469","0","2000","4797","2","14308","6","0","-1"
"613","费尔默","469","0","3000","4798","3","6377","6","0","-1"
"614","埃博诺克","469","0","4000","4799","4","6377","6","0","-1"
"615","弗莱格尔","469","0","5000","4800","5","6377","6","0","-1"
"616","克洛玛古斯","469","0","6000","4801","6","14367","6","0","-1"
"617","奈法利安","469","0","7000","1641","7","11380","7","0","-1"
"618","雷基·冬寒","534","0","0","2519","0","17444","6","0","-1"
"619","安纳塞隆","534","0","1000","2464","1","21069","6","0","-1"
"620","卡兹洛加","534","0","2000","2523","2","17886","6","0","-1"
"621","阿兹加洛","534","0","3000","2487","3","18526","6","0","-1"
"622","阿克蒙德","534","0","4000","2530","4","20939","7","0","-1"
"623","不稳定的海度斯","548","0","0","2853","0","20162","6","0","-1"
"624","鱼斯拉","548","0","1000","2855","1","20216","6","0","-1"
"625","盲眼者莱欧瑟拉斯","548","0","2000","2857","2","20514","6","0","-1"
"626","深水领主卡拉瑟雷斯","548","0","3000","2856","3","20662","6","0","-1"
"627","莫洛格里·踏潮者","548","0","4000","2854","4","20739","6","0","-1"
"628","瓦丝琪","548","0","5000","4802","5","20748","7","0","-1"
"649","莫加尔大王","565","0","0","2778","0","18649","2","0","-1"
"650","屠龙者格鲁尔","565","0","1000","4804","1","18698","3","0","-1"
"651","玛瑟里顿","544","0","0","4805","0","18527","7","0","-1"
"652","猎手阿图门","532","0","0","2315","0","16416","4","0","-1"
"653","莫罗斯","532","0","1000","2309","1","16540","4","0","-1"
"654","贞节圣女","532","0","2000","4806","2","16198","4","0","-1"
"655","歌剧院","532","0","3000","2381","3","17053","4","0","-1"
"656","馆长","532","0","4000","2501","4","16958","4","0","-1"
"657","特雷斯坦·邪蹄","532","0","5000","2336","5","11343","4","0","-1"
"658","埃兰之影","532","0","6000","2910","6","16621","4","0","-1"
"659","虚空幽龙","532","0","7000","2865","7","15363","4","0","-1"
"660","国际象棋","532","0","8000","2517","8","16293","4","0","-1"
"661","玛克扎尔王子","532","0","9000","4807","9","19274","4","0","-1"
"662","夜之魇","532","0","10000","4808","10","18062","4","0","-1"
"663","鲁西弗隆","409","0","0","4809","0","13031","6","0","-1"
"664","玛格曼达","409","0","1000","847","1","10193","6","0","-1"
"665","基赫纳斯","409","0","2000","848","2","13030","6","0","-1"
"666","加尔","409","0","3000","846","3","12110","6","0","-1"
"667","沙斯拉尔","409","0","4000","850","4","13032","6","0","-1"
"668","迦顿男爵","409","0","5000","845","5","12129","6","0","-1"
"669","萨弗隆先驱者","409","0","6000","761","6","13030","6","0","-1"
"670","焚化者古雷曼格","409","0","7000","741","7","11986","6","0","-1"
"671","管理者埃克索图斯","409","0","8000","1502","8","12029","6","0","-1"
"672","拉格纳罗斯","409","0","9000","1666","9","11121","7","0","-1"
"709","预言者斯克拉姆","531","0","0","4821","0","15345","6","0","-1"
"710","安其拉三宝","531","0","1000","4822","1","15656","6","0","-1"
"711","沙尔图拉","531","0","2000","4823","2","15583","6","0","-1"
"712","顽强的范克瑞斯","531","0","3000","4824","3","15743","6","0","-1"
