Id,TutorialText,SpellId,ActionBarOverrideSpellId,SpellLabel,UiTextureKitId,UiPriority
"1","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","170108","0","5289","0"
"2","格里恩区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","313335","0","5290","100"
"3","格里恩区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","326532","0","5290","200"
"4","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","170097","0","5289","0"
"5","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","170109","0","5289","0"
"6","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","166499","0","5291","0"
"7","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","166498","0","5291","0"
"8","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","161693","0","5292","0"
"9","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","161694","0","5293","0"
"10","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","168474","0","5294","0"
"11","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","166502","0","5295","0"
"12","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","162131","0","5296","0"
"13","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","168478","0","5297","0"
"14","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","171333","0","5298","0"
"15","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","171334","0","5298","0"
"16","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","166500","0","5295","0"
"17","要塞区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","161691","162130","0","5299","0"
"18","","211390","0","193","5300","0"
"19","","251463","0","321","0","0"
"20","","264739","0","391","0","0"
"21","","314955","0","851","0","0"
"22","温西尔区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","315593","0","5303","100"
"23","温西尔区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","329350","0","5303","200"
"24","温西尔区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","329887","0","5303","100"
"26","法夜区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","331114","0","5310","100"
"27","法夜区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","331119","0","5310","100"
"28","法夜区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","331120","0","5310","200"
"29","通灵领主区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","334387","0","5311","100"
"30","通灵领主区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","334388","0","5311","200"
"31","温西尔区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","340716","0","5303","200"
"32","格里恩区域技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","340757","0","5290","200"
"33","格里恩技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","340835","0","5290","100"
"34","格里恩标志技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","341085","0","5290","200"
"35","通灵领主技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","341090","0","5311","100"
"36","通灵领主标志技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","341091","0","5311","200"
"37","温西尔技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","341093","0","5303","100"
"38","温西尔标志技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","341092","0","5303","200"
"39","炽蓝仙野技能解锁！|n|n你可以将该技能拖曳到动作条上。","313347","341086","0","5310","100"
"40","炽蓝仙野标志技能解锁！|n|n你可以将该技能拖曳到动作条上。","326526","341089","0","5310","200"
"41","有可用的构造体技能！|n|n你可以将该技能拖曳到动作条上。","347013","0","1156","5311","100"
