Id,Reaction,FriendshipRepId,ReactionThreshold
"1","陌生人","2","0"
"2","熟人","2","8400"
"3","哥们","2","16800"
"4","朋友","2","25200"
"5","好友","2","33600"
"6","挚友","2","42000"
"59","陌生人","16","0"
"60","熟人","16","8400"
"61","哥们","16","16800"
"62","朋友","16","25200"
"63","好友","16","33600"
"64","挚友","16","42000"
"65","陌生人","17","0"
"66","熟人","17","8400"
"67","哥们","17","16800"
"68","朋友","17","25200"
"69","好友","17","33600"
"70","挚友","17","42000"
"71","陌生人","18","0"
"72","熟人","18","8400"
"73","哥们","18","16800"
"74","朋友","18","25200"
"75","好友","18","33600"
"76","挚友","18","42000"
"77","陌生人","19","0"
"78","熟人","19","8400"
"79","哥们","19","16800"
"80","朋友","19","25200"
"81","好友","19","33600"
"82","挚友","19","42000"
"83","陌生人","20","0"
"84","熟人","20","8400"
"85","哥们","20","16800"
"86","朋友","20","25200"
"87","好友","20","33600"
"88","挚友","20","42000"
"89","陌生人","21","0"
"90","熟人","21","8400"
"91","哥们","21","16800"
"92","朋友","21","25200"
"93","好友","21","33600"
"94","挚友","21","42000"
"95","陌生人","22","0"
"96","熟人","22","8400"
"97","哥们","22","16800"
"98","朋友","22","25200"
"99","好友","22","33600"
"100","挚友","22","42000"
"101","陌生人","23","0"
"102","熟人","23","8400"
"103","哥们","23","16800"
"104","朋友","23","25200"
"105","好友","23","33600"
"106","挚友","23","42000"
"107","陌生人","24","0"
"108","熟人","24","8400"
"109","哥们","24","16800"
"110","朋友","24","25200"
"111","好友","24","33600"
"112","挚友","24","42000"
"113","初级","25","0"
"114","初级","25","8400"
"115","中级","25","16800"
"116","中级","25","25200"
"117","中级","25","33600"
"118","高级","25","42000"
"119","陌生人","26","0"
"120","同伴","26","8400"
"121","哥们","26","16800"
"122","朋友","26","25200"
"123","挚友","26","42000"
"124","好友","26","33600"
"127","1级","28","0"
"128","2级","28","1000"
"129","3级","28","2000"
"130","4级","28","3000"
"131","5级","28","4000"
"132","6级","28","5000"
"133","7级","28","6000"
