Id,Name,Pos0,Pos1,Pos2,Rot0,Rot1,Rot2,Rot3,OwnerId,DisplayId,Scale,TypeId,PhaseUseFlags,PhaseId,PhaseGroupId,PropValue0,PropValue1,PropValue2,PropValue3,PropValue4,PropValue5,PropValue6,PropValue7
"89","北郡修道院","-9430.911","62.53646","56.77877","0","0","1","0","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"90","暴风城","-9430.866","64.51041","56.78524","0","0","0","1","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"91","北郡修道院","-9499.404","66.82118","56.01195","0","0","-0.793353","0.6087619","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"92","暴风城","-9499.422","66.82986","56.56776","0","0","-0.793353","0.6087619","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"93","西泉要塞","-9500.087","68.00347","56.54922","0","0","-0.1305263","0.9914449","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"94","西部荒野","-9500.08","67.98264","55.99302","0","0","-0.1305263","0.9914449","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"95","东谷伐木场","-9500.56","66.07813","56.56288","0","0","0.9914449","0.1305262","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"96","赤脊山","-9500.545","66.06944","56.00724","0","0","0.9914449","0.1305262","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"97","闪金镇","-9647.844","-1335.74","49.68391","0","0","-0.1305261","0.9914449","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"98","暴风城","-9647.837","-1335.76","49.13138","0","0","-0.1305261","0.9914449","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"99","赤脊山","-9648.317","-1337.665","49.67809","0","0","0.9914449","0.1305259","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"100","东谷伐木场","-9647.179","-1336.913","49.67783","0","0","-0.7933531","0.6087617","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"101","荆棘谷","-10542.55","-1180.264","27.82653","0","0","0.601815","0.7986355","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"102","乌鸦岭","-10542.64","-1180.243","26.49306","0","0","0.601815","0.7986355","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"103","逆风小径","-10541.72","-1181.686","27.83502","0","0","0.9902681","0.1391731","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"104","赤脊山","-10540.25","-1180.842","27.84214","0","0","-0.7986352","0.6018155","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"105","荆棘谷","-10812.54","304.4301","31.43998","0","0","0.990268","-0.139173","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"106","西部荒野","-10813.27","306.6799","31.47379","0","0","0.139173","0.990268","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"107","夜色镇","-10812.51","304.3433","30.05175","0","0","0.990268","-0.139173","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"108","乌鸦岭","-10811.8","305.8959","31.43815","0","0","-0.601815","0.798636","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"109","西部荒野","-10891.93","-366.6198","37.33691","0","0","-0.143492","0.989652","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"110","荆棘谷","-10893.37","-367.5451","38.74495","0","0","0.598325","0.801254","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"111","乌鸦岭","-10891.96","-366.7083","38.72852","0","0","-0.143492","0.989652","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"112","夜色镇","-10892.55","-368.9965","38.73027","0","0","0.989651","0.143493","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"113","暮色森林","-9590.624","-1929.101","63.48758","0","0","0.811574","0.58425","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"114","湖畔镇","-9589.399","-1929.751","63.44013","0","0","0.986996","-0.160743","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"115","艾尔文森林","-9588.763","-1928.543","63.44436","0","0","-0.58425","0.811574","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"116","石堡要塞","-9589.389","-1929.774","62.88715","0","0","0.986996","-0.160743","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"117","湖畔镇","-9635.474","-2087.186","61.25315","0","0","-0.8362861","0.5482932","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"118","石堡要塞","-9637.232","-2086.354","61.29399","0","0","0.5482929","0.8362864","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"298","塞尔萨玛","-5409.051","-2879.462","342.5889","0","0","1","0","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"299","灼热峡谷","-5409.981","-2878.566","342.565","0","0","0.707107","0.707107","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"301","湿地","-5408.024","-2878.55","342.5521","0","0","-0.707107","0.707107","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"302","丹莫罗","-5409.982","-2878.561","342.0652","0","0","0.707107","0.707107","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"303","丹莫罗","-4899.101","-2720.519","329.9169","0","0","0.284015","0.95882","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"304","湿地","-4898.03","-2722.107","329.8915","0","0","0.95882","-0.284015","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"305","塞尔萨玛","-4899.369","-2721.826","329.8641","0","0","0.878817","0.477159","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"306","塞尔萨玛","-5795.8","-2629.066","319.9445","0","0","0.942641","-0.333807","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"307","灼热峡谷","-5797.04","-2627.592","319.9208","0","0","0.333807","0.942641","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"308","丹莫罗","-5795.625","-2627.747","319.9333","0","0","-0.430511","0.902585","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"309","安威玛尔","-5594.031","-489.7865","397.6931","0","0","0.707107","0.7071065","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"310","铁炉堡","-5592.128","-489.7656","397.6825","0","0","-0.7071069","0.7071066","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"311","洛克莫丹","-5356.587","-529.6354","391.7129","0","0","0.9351352","-0.3542911","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"312","卡拉诺斯","-5357.908","-528.1927","391.7129","0","0","0.3542909","0.9351352","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"313","安威玛尔","-5357.878","-528.1893","391.2112","0","0","0.3542909","0.9351352","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"314","铁炉堡","-5356.556","-528.3125","391.688","0","0","-0.410719","0.911762","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"315","铁炉堡","-5263.358","-484.3056","387.127","0","0","0.9862856","-0.1650475","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"316","卡拉诺斯","-5264.514","-483.6823","387.1437","0","0","0.8141159","0.5807024","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"317","安威玛尔","-5264.556","-483.691","386.5915","0","0","0.8141159","0.5807024","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"318","洛克莫丹","-5264.582","-483.6962","386.039","0","0","0.8141159","0.5807024","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"376","丹莫德","-3231.315","-2453.917","15.50547","0","0","-0.768842","0.639439","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"377","米奈希尔","-3231.987","-2454.197","13.49415","0","0","-0.091501","0.995805","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"378","洛克莫丹","-3231.021","-2454.868","14.9369","0.001724","0.113517","0.989276","0.091894","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"379","洛克莫丹","-3597.21","-2714.68","19.6138","0.029386","0.07754","0.949226","0.30347","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"380","米奈希尔","-3597.88","-2713.78","18.8364","0","0","-0.329691","0.944089","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"381","格瑞姆巴托","-3600.88","-2714.84","18.5583","0.694403","0.11722","0.700398","-0.116217","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"382","丹莫德","-3597.65","-2713.63","18.2805","0.038501","-0.022276","-0.320761","0.946115","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"387","洛克莫丹","-2620.738","-2491.646","79.44158","0","0","0.740218","0.672367","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"388","阿拉希高地","-2620.205","-2490.746","78.77492","0.04784","-0.096226","-0.665556","0.738571","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"389","丹莫德","-2621.404","-2491.452","80.21915","0","0","0.047978","0.998848","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1162","米奈希尔港","-2621.209","-2491.463","77.99693","0.089823","0.053697","0.738207","0.666407","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1564","铁炉堡","-5507.557","-2050.342","399.5974","0","0","0","1","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1565","洛克莫丹","-5508.53","-2051.253","399.6099","0","0","0.707107","0.7071065","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1566","卡拉诺斯","-5507.545","-2050.295","399.0419","0","0","0","1","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1567","洛克莫丹","-5592.128","-489.7708","397.0723","0","0","-0.7071069","0.7071066","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1568","洛克莫丹","-5608.288","-1503.12","399.5185","0","0","1","0","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1569","铁炉堡","-5608.278","-1501.337","399.4926","0","0","0","1","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1570","卡拉诺斯","-5608.292","-1501.342","398.9905","0","0","0","1","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1572","卡拉诺斯","-6239.469","315.5695","382.7107","0","0","0.707107","0.7071065","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1573","卡拉诺斯","-5910.552","57.5191","372.9867","0","0","1","0","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1630","布瑞尔","1938.399","1584.38","81.9161","0","0","-0.8012542","0.5983242","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1633","布瑞尔","2222.061","1060.021","29.0264","0","0","0.707107","0.7071065","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1634","阿加曼德磨坊","2224.47","1060.061","29.0776","0","0","-0.7071069","0.7071066","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1639","丧钟镇","2223.22","1061.229","29.0484","0","0","0.008726003","0.9999619","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1643","布瑞尔","2188.939","660.6458","33.1658","0","0","0.952396","-0.3048638","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1644","阿加曼德磨坊","2187.561","662.6042","31.8218","0","0","0.3048641","0.9523959","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1645","丧钟镇","2187.59","662.5746","33.1829","0","0","0.3048641","0.9523959","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1646","银松森林","2216.45","269.5243","33.5868","0","0","0.9099616","0.4146924","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1647","丧钟镇","2218.24","271.1042","33.5868","0","0","-0.4146942","0.9099608","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1648","阿加曼德磨坊","2218.42","271.1441","32.1917","0","0","-0.4226181","0.9063079","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1649","修道院","2037.2","155.5747","33.9039","0","0","0.9153112","0.4027474","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1650","瘟疫之地","2037.141","155.5226","32.5716","0","0","0.9153112","0.4027474","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1651","丧钟镇","2038.91","157.1354","32.5245","0","0","-0.4027469","0.9153114","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1652","布瑞尔","2038.891","157.1615","33.8562","0","0","-0.4027469","0.9153114","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1653","银松森林","2037.229","157.224","32.5644","0","0","0.362438","0.9320078","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1654","银松森林","2028.62","53.38368","32.5893","0","0","0","1","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1655","修道院","2029.811","52.20486","33.867","0","0","-0.7071069","0.7071066","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1656","瘟疫之地","2028.641","51.0382","33.8673","0","0","1","0","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1657","修道院","2659.37","-639.66","109.284","0","0","0.986996","-0.160743","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1658","布瑞尔","1981.24","248.2448","36.9923","0","0","0.9670459","-0.254602","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1659","瘟疫之地","1981.359","248.158","35.5948","0","0","0.9670459","-0.254602","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1660","银松森林","1980.101","250.3368","37.0608","0","0","0.254602","0.9670459","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1661","幽暗城","2222.061","1060.021","27.753","0","0","0.707107","0.7071065","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1662","幽暗城","2188.92","660.6337","31.8302","0","0","0.952396","-0.3048638","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1663","幽暗城","2216.3","269.3802","32.1681","0","0","0.8987941","0.4383711","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1664","幽暗城","2037.229","157.224","33.8977","0","0","0.362438","0.9320078","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1665","幽暗城","2028.601","53.34722","33.8673","0","0","0","1","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1666","幽暗城","1979.63","248.6875","37.0391","0","0","0.8638349","0.5037749","0","27","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1668","丹奥加兹","-3597.3","-2714.84","17.5196","0.032618","0.09473","0.940761","0.32393","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1669","丹奥加兹","-3231.024","-2454.802","14.33317","0.00877","0.095444","0.99122","0.09108","0","22","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1674","诺莫瑞根","-5262.731","-483.0556","387.1346","0","0","-0.580703","0.8141155","0","26","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1675","瑟伯切尔","1292.7","1078.13","53.6442","0","0","0.3542909","0.9351352","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1676","焚木村","1292.71","1078.12","53.1458","0","0","0.358368","0.9335804","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1677","提瑞斯法","1292.74","1078.109","53.6475","0","0","0.9351352","-0.3542911","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1678","安伯米尔","639.812","1290.94","86.03893","0","0","0.889017","0.457874","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1679","焚木村","639.8416","1290.947","85.53727","0","0","0.889017","0.457874","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1680","影牙城堡","639.8394","1290.936","85.03893","0","0","0.889017","0.457874","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1681","提瑞斯法","639.9384","1291.03","86.03397","0","0","-0.457874","0.889017","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1686","瑟伯切尔","639.8295","1290.998","86.01115","0","0","0.300706","0.953717","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1687","瑟伯切尔","342.8167","1249.175","81.23818","0","0","-0.803857","0.594823","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1688","提瑞斯法","342.8167","1249.175","80.73818","0","0","-0.803857","0.594823","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1689","安伯米尔","342.653","1249.231","81.2299","0","0","0.594823","0.803857","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1690","焚木村","342.6743","1249.23","80.7299","0","0","0.594823","0.803857","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1691","影牙城堡","342.6743","1249.23","80.2299","0","0","0.594823","0.803857","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1692","埃利姆矿洞","340.2195","1249.682","80.89737","0.68659","0.001571","0.72691","0.013906","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1693","安伯米尔","-138.245","1182.22","63.9376","0","0","1","0","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1694","瑟伯切尔","-138.215","1182.31","63.9358","0","0","-0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1695","焚木村","-138.3576","1182.311","63.9459","0","0","0.707107","0.7071065","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1696","影牙城堡","-138.3333","1182.319","63.4442","0","0","0.707107","0.7071065","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1697","提瑞斯法","-138.236","1182.3","63.4372","0","0","-0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1698","吉尔尼斯","-138.3316","1182.319","62.944","0","0","0.707107","0.7071065","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1699","希尔斯布莱德平原","-138.3247","1182.319","62.4436","0","0","0.707107","0.7071065","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1700","焚木村","-140.4288","872.0504","63.23507","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1701","影牙城堡","-140.4271","872.0573","62.73482","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1702","瑟伯切尔","-140.4201","872.0521","62.23492","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1703","吉尔尼斯","-140.4132","872.0521","61.73482","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1704","希尔斯布莱德平原","-140.5191","871.9705","63.23927","0","0","0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1705","焚木村","-362.578","1185.09","65.4052","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1706","影牙城堡","-362.583","1185.07","64.9056","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1707","吉尔尼斯","-362.573","1185.07","64.405","0","0","0","1","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1708","安伯米尔","-362.611","1185.03","65.4082","0","0","-0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1709","瑟伯切尔","-362.616","1185.01","64.9082","0","0","-0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
"1710","希尔斯布莱德丘陵","-362.606","1185.03","65.4072","0","0","0.707107","0.707107","0","150","1","5","0","0","0","1","1","0","0","0","0","0","0"
