Id,DisplayName,VerboseName,ClassId,SubClassId,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
"2","容器","","1","0","0","-1","0","0","0","-1"
"3","斧","单手斧","2","0","0","-1","3","0","1","1"
"4","斧","双手斧","2","1","0","0","3","0","2","-1"
"5","弓","弓","2","2","0","-1","128","0","1","-1"
"6","枪械","枪械","2","3","0","-1","160","0","1","-1"
"7","锤","单手锤","2","4","0","-1","3","0","1","5"
"8","锤","双手锤","2","5","0","4","3","0","2","-1"
"9","长柄武器","长柄武器","2","6","0","-1","3","0","2","-1"
"10","剑","单手剑","2","7","0","-1","3","0","1","8"
"11","剑","双手剑","2","8","0","7","3","0","2","-1"
"12","战刃","","2","9","0","-1","1","0","2","-1"
"13","法杖","法杖","2","10","0","-1","3","0","2","-1"
"14","熊爪","熊爪","2","11","0","-1","0","3","1","12"
"15","豹爪","豹爪","2","12","0","11","0","3","1","-1"
"16","拳套","拳套","2","13","0","-1","5","0","1","-1"
"17","其它","","2","14","0","-1","2","1","0","-1"
"18","匕首","匕首","2","15","0","-1","3","0","8","-1"
"19","其它","","4","0","0","-1","512","1","0","-1"
"20","布甲","布甲","4","1","0","-1","1536","0","0","-1"
"21","皮甲","皮甲","4","2","0","-1","1536","0","0","-1"
"22","锁甲","锁甲","4","3","0","-1","1536","0","0","-1"
"23","板甲","板甲","4","4","0","-1","1536","0","0","-1"
"24","装饰品","装饰品","4","5","0","-1","0","0","0","-1"
"25","盾牌","盾牌","4","6","0","5","0","0","0","-1"
"26","无(魔杖)","","6","0","0","-1","0","3","0","-1"
"27","矢","","6","1","0","-1","0","2","0","-1"
"28","箭","","6","2","0","-1","0","2","0","-1"
"29","子弹","","6","3","0","-1","0","2","0","-1"
"30","箭袋","","11","0","0","-1","0","7","0","-1"
"31","箭矢","","11","1","0","-1","0","7","0","-1"
"32","箭袋","","11","2","0","-1","0","6","0","-1"
"33","弹药袋","","11","3","0","-1","0","6","0","-1"
"34","投掷武器","投掷武器","2","16","0","-1","16","0","1","-1"
"35","投掷武器","","6","4","0","-1","0","2","0","-1"
"36","智力","","3","0","1","-1","0","1","0","-1"
"37","商品","","7","0","0","-1","0","3","0","-1"
"38","零件","","7","1","10","-1","0","1","0","-1"
"39","爆炸物","","7","2","0","-1","0","3","0","-1"
"40","书籍","","9","0","0","-1","0","1","0","-1"
"41","制皮","","9","1","0","-1","0","1","0","-1"
"42","裁缝","","9","2","0","-1","0","1","0","-1"
"43","爆炸物与装置","","0","0","0","-1","0","1","0","-1"
"44","药水","","0","1","0","-1","0","1","0","-1"
"45","药剂","","0","2","0","-1","0","1","0","-1"
"46","矛","矛","2","17","0","-1","3","2","2","-1"
"47","钱币（废弃）","","10","0","0","-1","0","1","0","-1"
"48","头部","","8","0","0","-1","0","1","0","-1"
"49","任务","","12","0","0","-1","0","1","0","-1"
"50","材料","","5","0","0","-1","0","1","0","-1"
"51","永久","","14","0","0","-1","0","1","0","-1"
"52","垃圾","","15","0","0","-1","0","1","0","-1"
"53","钥匙","","13","0","0","-1","0","1","0","-1"
"54","开锁工具","","13","1","0","-1","0","1","0","-1"
"55","弩","弩","2","18","0","-1","160","0","1","-1"
"56","魔杖","魔杖","2","19","0","-1","256","0","1","-1"
"57","鱼竿","鱼竿","2","20","0","-1","0","0","8","-1"
"77","装置","","7","3","0","-1","0","3","0","-1"
"99","工程学","","9","3","0","-1","0","1","0","-1"
"100","锻造","","9","4","0","-1","0","1","0","-1"
"101","烹饪","","9","5","10","-1","0","1","0","-1"
"102","炼金术","","9","6","0","-1","0","1","0","-1"
"103","急救","","9","7","11","-1","0","1","0","-1"
"104","附魔","","9","8","0","-1","0","1","0","-1"
"105","钓鱼","","9","9","12","-1","0","1","0","-1"
"106","珠宝加工","","9","10","0","-1","0","1","0","-1"
"107","灵魂袋","","1","1","0","-1","0","6","0","-1"
"109","草药袋","","1","2","0","-1","0","0","0","-1"
"110","附魔材料袋","","1","3","0","-1","0","0","0","-1"
"111","工程学材料袋","","1","4","0","-1","0","0","0","-1"
"112","圣契","圣契","4","7","0","-1","0","2","0","-1"
"113","神像","神像","4","8","0","-1","0","2","0","-1"
"114","图腾","图腾","4","9","0","-1","0","2","0","-1"
"115","珠宝加工","","7","4","1","-1","0","1","0","-1"
"116","宝石袋","","1","5","0","-1","0","0","0","-1"
"118","矿石袋","","1","6","0","-1","0","0","0","-1"
"119","敏捷","","3","1","2","-1","0","1","0","-1"
"120","力量","","3","2","3","-1","0","1","0","-1"
"121","耐力","","3","3","4","-1","0","1","0","-1"
"122","精神","","3","4","5","-1","0","3","0","-1"
"123","爆击","","3","5","6","-1","0","1","0","-1"
