Id,Name,Description,JournalEncounterId,CreatureDisplayInfoId,FileDataId,OrderIndex,UiModelSceneId
"358","格拉布托克","","89","37410","522228","0","9"
"359","赫利克斯·破甲","","90","33002","522234","0","9"
"360","死神5000","","91","35606","522225","0","9"
"361","撕心狼将军","","92","35739","522189","0","9"
"362","“船长”曲奇","","93","1305","522210","0","9"
"365","梵妮莎·范克里夫","","95","32806","522278","0","9"
"366","灰葬男爵","","96","34610","522205","0","9"
"367","席瓦莱恩男爵","","97","37288","522206","0","9"
"368","指挥官斯普林瓦尔","","98","37287","522213","0","9"
"369","沃登勋爵","","99","34612","522249","0","9"
"370","高弗雷勋爵","","100","34611","522247","0","9"
"371","纳兹夏尔女士","","101","34342","522245","0","9"
"372","指挥官乌尔索克","","102","33792","522214","0","9"
"373","蛊心魔古厄夏","","103","32259","522253","0","9"
"374","厄祖玛特","","104","34135","522259","0","9"
"375","摧骨者罗姆欧格","","105","33147","522266","0","9"
"376","柯尔拉，暮光之兆","","106","31546","522216","0","9"
"377","卡尔什·断钢","","107","31710","522244","0","9"
"378","如花","","108","34433","522207","0","9"
"379","升腾者领主奥西迪斯","","109","36465","522201","0","9"
"380","克伯鲁斯","","110","33477","522215","0","9"
"381","岩皮","","111","36476","522271","0","9"
"382","欧泽鲁克","","112","36475","522258","0","9"
"383","高阶女祭司艾苏尔","","113","26448","522237","0","9"
"384","大宰相埃尔坦","","114","35181","522229","0","9"
"385","阿尔泰鲁斯","","115","34265","522192","0","9"
"386","阿萨德","","116","35388","522200","0","9"
"387","胡辛姆将军","","117","34743","523205","0","9"
"388","奥弗","","118","37339","522203","1","9"
"389","锁喉","","118","33438","522246","0","9"
"390","高阶预言者巴林姆","","119","34744","522239","0","9"
"394","希亚玛特","","122","35388","522269","0","9"
"424","神殿守护者安努尔","","124","35067","522272","0","9"
"425","地怒者塔赫","","125","31450","522219","0","9"
"426","安拉斐特","","126","34580","522195","0","65"
"427","伊希斯特","","127","33465","522241","0","66"
"428","阿穆纳伊","","128","32943","522194","0","66"
"429","塞特斯","","129","33055","522267","0","66"
"430","拉夏","","130","33177","522262","0","66"
"431","乌比斯将军","","131","31498","522227","0","9"
"432","铸炉之主索朗格斯","","132","33429","522226","0","66"
"433","达加·燃影者","","133","31792","522218","0","9"
"434","瓦里昂娜","","133","31795","522276","1","9"
"435","埃鲁达克","","134","33428","522222","0","9"
"463","阿尔加洛斯","","139","35426","522198","0","9"
"464","欧库塔尔","","140","37876","523207","0","9"
"555","尼希尔","北风之主","154","35232","522256","1","9"
"556","安舍尔","西风之主","154","35233","522196","0","9"
"557","洛哈西","东风之主","154","35234","522265","2","9"
"558","奥拉基尔","","155","35248","522191","0","9"
"559","哈尔弗斯·碎龙者","","156","34816","522232","0","66"
"560","瓦里昂娜","","157","34812","522277","1","9"
"561","瑟纳利昂","","157","34813","522274","0","9"
"562","泰拉斯卓","土之升腾者议员","158","34824","522273","3","9"
"563","源质畸体","升腾者议会成员的组合体","158","34825","522221","4","9"
"564","伊格纳休斯","火之升腾者议员","158","34821","522240","1","9"
"565","费伦迪乌斯","水之升腾者议员","158","34822","522224","0","9"
"566","艾里昂","气之升腾者议员","158","34823","522199","2","9"
"587","古加尔","","167","34576","522212","0","9"
"588","希奈丝特拉","","168","34335","522270","0","9"
"589","电荷金刚","","169","32688","522220","2","9"
"590","剧毒金刚","","169","32684","522275","3","9"
"591","熔岩金刚","","169","32685","522250","0","9"
"592","奥能金刚","","169","32687","522197","1","9"
"593","熔喉","","170","37993","522251","0","9"
"594","艾卓曼德斯","","171","34547","522202","0","9"
"595","奇美隆","","172","33308","522211","0","9"
"596","马洛拉克","","173","33186","522252","0","9"
"599","奥妮克希亚","","174","32569","522257","1","9"
"600","奈法利安","","174","32716","522255","0","9"
"601","高阶祭司温诺希斯","","175","37788","522236","0","9"
"602","血领主曼多基尔","","176","37816","522209","0","9"
"603","格里雷克","","177","8390","522230","0","9"
"604","哈扎拉尔","","178","37832","522233","0","9"
"605","雷纳塔基","","179","37830","522263","0","9"
"606","乌苏雷","","180","37831","522279","0","9"
"607","高阶祭司基尔娜拉","","181","37805","522238","0","9"
"616","赞吉尔","","184","37813","522280","0","9"
"617","碎神者金度","","185","37789","522243","0","9"
"618","埃基尔松","","186","21630","522190","0","9"
"619","纳洛拉克","","187","21631","522254","0","9"
"620","加亚莱","","188","21633","522242","0","9"
"621","哈尔拉兹","","189","21632","522231","0","9"
"622","妖术领主玛拉卡斯","","190","22332","522235","0","9"
"623","达卡拉","","191","38118","522217","0","9"
"624","贝丝缇拉克","","192","38227","522208","0","9"
"625","雷奥利斯领主","","193","38414","522248","0","9"
"626","奥利瑟拉佐尔","","194","38446","522193","0","9"
"627","沙恩诺克斯","","195","38448","522268","0","9"
"628","管理者鹿盔","","197","37953","522223","0","9"
"629","拉格纳罗斯","","198","37875","522261","0","280"
"630","伐木场巨怪","","90","33003","523206","1","9"
"770","贝尔洛克","","196","38621","522204","0","9"
"817","泰兰德的残影","","283","39617","571749","0","9"
"827","姆诺兹多","永恒之主","289","38931","536059","0","9"
"855","死亡之翼","","318","35268","536056","0","9"
"856","缚风者哈格拉","","317","39318","536057","0","9"
"862","阿奎里恩","","322","35978","571743","0","9"
"864","希尔瓦娜斯的残影","","323","38655","571748","0","9"
"865","艾萨拉女王","","291","39391","571747","0","9"
"867","督军佐诺兹","","324","39138","536061","0","9"
"875","奥卓克希昂","","331","39099","571750","0","9"
"876","不眠的约萨希","","325","39101","536062","0","9"
"877","战争大师黑角","","332","39399","571752","0","9"
"881","莫卓克","","311","39094","536058","0","9"
"895","佩罗萨恩","","290","39182","536060","0","9"
"896","阿丽萨巴尔","","339","21252","571742","0","9"
"899","大主教本尼迪塔斯","","341","38991","536053","0","9"
"900","贝恩的残影","","340","38791","571744","0","9"
"903","吉安娜的残影","","285","38802","571745","0","9"
"904","埃希拉·黎明克星","","342","38995","536054","0","9"
"905","死亡之翼","","333","40087","536055","0","9"
"913","玛诺洛斯","","292","38996","571746","0","9"
"914","禁卫队长瓦罗森","","292","39127","571746","1","9"
"942","审讯官格斯塔恩","","369","8761","607644","0","9"
"943","洛考尔","","370","5781","607697","0","9"
"944","驯犬者格雷布玛尔","","371","9212","607647","0","9"
"945","控火师罗格雷恩","","373","8762","607749","0","9"
"946","伊森迪奥斯","","374","1204","607694","0","63"
"947","典狱官斯迪尔基斯","","375","9089","607814","0","9"
"948","弗诺斯·达克维尔","","376","8704","607602","0","9"
"949","贝尔加","","377","12162","607549","0","9"
"950","怒炉将军","","378","8756","607610","0","9"
"951","傀儡统帅阿格曼奇","","379","8759","607618","0","9"
"952","霍尔雷·黑须","","380","8658","607650","0","9"
"953","法拉克斯","","381","8177","607740","0","9"
"955","普拉格","","383","8652","607741","0","9"
"956","弗莱拉斯大使","","384","8329","607535","0","9"
"957","玛格姆斯","","386","12162","607705","0","9"
"958","达格兰·索瑞森大帝","","387","8807","607595","0","9"
"959","欧莫克大王","","388","11565","607645","0","9"
"960","暗影猎手沃什加斯","","389","9732","607769","0","9"
"961","指挥官沃恩","","390","28281","607810","0","9"
"962","烟网蛛后","","391","36506","607719","0","9"
"963","尤洛克·暗嚎","","392","11583","607801","0","9"
"964","军需官兹格雷斯","","393","9738","607751","0","9"
"965","哈雷肯","","394","9567","607634","0","9"
"966","奴役者基兹鲁尔","","395","9564","607615","0","9"
"967","维姆萨拉克","","396","8711","607737","0","9"
"973","瑟雷姆·刺蹄","","402","11335","607824","0","9"
"974","海多斯博恩","","403","5489","607653","0","9"
"975","蕾瑟塔蒂丝","","404","21012","607686","0","9"
"976","荒野变形者奥兹恩","","405","14416","607533","0","9"
"977","特迪斯·扭木","","406","14383","607785","0","9"
"978","伊琳娜·暗木","","407","11270","607656","0","9"
"979","卡雷迪斯镇长","","408","14384","607703","0","9"
"980","伊莫塔尔","","409","14173","607657","0","9"
"981","托塞德林王子","","410","11256","607745","0","9"
"982","卫兵摩尔达","","411","11561","607630","0","9"
"983","践踏者克雷格","","412","11545","607777","0","9"
"984","卫兵芬古斯","","413","11561","607629","0","9"
"985","卫兵斯里基克","","414","11561","607631","0","9"
"986","克罗卡斯","","415","11564","607560","0","9"
"987","观察者克鲁什","","416","11537","607565","0","9"
"988","戈多克大王","","417","11583","607673","0","9"
"989","群体打击者9-60","","418","36560","607572","0","9"
"990","格鲁比斯","","419","6533","607628","0","9"
"991","电刑器6000型","","421","36558","607594","0","9"
"992","机械师瑟玛普拉格","","422","36563","607714","0","9"
"993","诺克赛恩","","423","11172","607728","0","9"
"994","锐刺鞭笞者","","424","12389","607756","0","9"
"995","工匠吉兹洛克","","425","7125","607796","0","9"
"997","维利塔恩","","427","12334","607699","0","9"
"998","被诅咒的塞雷布拉斯","","428","12350","607562","0","9"
"999","兰斯利德","","429","12293","607684","0","9"
"1000","洛特格里普","","430","13589","607761","0","9"
"1001","瑟莱德丝公主","","431","12292","607747","0","9"
"1011","弗雷斯特恩","","443","10482","607637","0","9"
"1012","阿库麦尔","多头蛇","444","62522","607532","0","91"
"1013","悲惨的提米","","445","571","607795","0","9"
"1014","希望破坏者威利","","446","34480","607818","0","9"
"1016","档案管理员加尔福特","","448","34498","607660","0","9"
"1017","巴纳扎尔","","449","34424","607551","0","9"
"1018","不可宽恕者","","450","10771","607792","0","9"
"1019","安娜丝塔丽男爵夫人","","451","10698","607553","0","9"
"1021","奈鲁布恩坎","","452","9793","607724","0","9"
"1022","苍白的玛勒基","","453","10546","607707","0","9"
"1023","巴瑟拉斯镇长","","454","10433","607791","0","9"
"1024","吞咽者拉姆斯登","","455","12818","607752","0","9"
"1025","奥里克斯·瑞文戴尔领主","","456","34837","607692","0","9"
"1026","哈卡的化身","","457","8053","607548","0","9"
"1027","预言者迦玛兰","","458","6708","607665","0","9"
"1028","德姆塞卡尔","","459","7553","608311","0","9"
"1032","伊兰尼库斯的阴影","","463","7806","607768","0","9"
"1033","霍格","","464","501","607646","0","9"
"1034","灼热勋爵","","465","1204","607695","0","9"
"1035","兰多菲·摩洛克","","466","35068","607753","0","9"
"1036","鲁维罗什","","467","5945","607757","0","9"
"1037","埃瑞克","","468","5708","0","1","9"
"1038","奥拉夫","","468","5709","0","2","9"
"1039","巴尔洛戈","","468","5710","607550","0","9"
"1040","艾隆纳亚","","469","6089","607664","0","67"
"1041","远古巨石卫士","","470","10798","607538","0","9"
"1042","加加恩·火锤","","471","6059","607606","0","9"
"1043","格瑞姆洛克","","472","11165","607626","0","9"
"1044","阿扎达斯","","473","5988","607546","0","65"
"1045","安娜科德拉","","474","4313","607680","0","9"
"1046","考布莱恩","","475","4213","607693","0","9"
"1047","皮萨斯","","476","4214","607696","0","9"
"1048","克雷什","","477","5126","607676","0","9"
"1049","斯卡姆","","478","4203","607775","0","9"
"1050","瑟芬迪斯","","479","4215","607698","0","9"
"1051","永生者沃尔丹","","480","4256","607805","0","9"
"1052","吞噬者穆坦努斯","","481","4088","607721","0","9"
"1054","加兹瑞拉","","483","7271","607614","0","9"
