Id,Name,Description,Filedataid
"1","溢出","对目标的过量治疗会被转化为治疗吸收效果。","463570"
"2","无常","敌人对坦克所产生威胁值的关注程度大幅下降。","135994"
"3","火山","在战斗中，敌人会周期性地令远处的玩家脚下喷发出岩浆柱。","451169"
"4","死疽","所有敌人的近战攻击都将造成可叠加的枯萎效果，造成持续伤害并降低所受到的治疗效果。","1029009"
"5","繁盛","整个地下城都将增加额外的非首领敌人。","136054"
"6","暴怒","非首领敌人在生命值降至30%时将被激怒，伤害提高100%，直至被击败为止。","132345"
"7","激励","任何非首领敌人死亡时，其临死的哀嚎将强化附近的盟友，使其最大生命值及伤害提高20%。","132333"
"8","血池","非首领敌人被击杀后会留下一个缓慢消失的脓液之池，可以治疗其盟友，并且伤害玩家。","136124"
"9","残暴","首领的生命值提高30%，首领及其爪牙造成的伤害最多提高15%。","236401"
"10","强韧","非首领敌人的生命值提高20%，造成的伤害最高提高30%。","463829"
"11","崩裂","非首领敌人被击杀时会爆炸，令所有玩家在4秒内受到伤害。此效果可叠加。","1035055"
"12","重伤","受伤的玩家会受到周期性伤害，直到被完全治愈为止。","132090"
"13","易爆","在战斗中，敌人会周期性地召唤爆裂宝珠。如果不将其摧毁，宝珠将会爆炸。","2175503"
"14","震荡","所有玩家都会周期性地发出冲击波，对附近的盟友造成伤害并打断其施法。","136025"
"16","共生","部分非首领敌人被戈霍恩之嗣感染。","2032223"
"117","收割","非首领敌人被邦桑迪所强化，会定期死而复生并寻求复仇。","2446016"
"119","迷醉","整个地下城都将出现艾萨拉的各类使者。","237565"
"120","觉醒","地下城中会出现许多方尖碑，玩家可以借此进入尼奥罗萨并直面恩佐斯的强力仆从。如果有仆从没有被解决掉，他们会出现在地下城终点的首领战中。","442737"
"121","傲慢","击败非首领敌人会让玩家内心充满傲慢，最终会形成傲慢具象。击败傲慢具象会大幅强化玩家。","3528307"
"122","鼓舞","某些非首领敌人有鼓舞光环，可以强化盟友。","135946"
"123","怨毒","从非首领敌人的尸体中会出现敌人并追击随机玩家。","135945"
"124","风雷","战斗中敌人会周期性地召唤伤害性的旋风。","136018"
