Id,Name,ResourceName,Verb,CursorName,EnumId
"1","开锁","锁上的物品","开锁","PickLock","0"
"2","草药学","药草","采集","GatherHerbs","1"
"3","采矿","矿点","采矿","Mine","2"
"4","解除陷阱","陷阱","解除","","3"
"5","打开","未锁上的物品","打开","","4"
"6","Treasure (DND)","宝物","","","5"
"7","Calcified Elven Gems (DND)","Calcified Elven Gems","","","6"
"8","关闭","未锁上的物品","关闭","","7"
"9","设置陷阱","陷阱","设置","","8"
"10","快速打开","未锁上的物品","打开","","9"
"11","快速关闭","未锁上的物品","关闭","","10"
"12","Open Tinkering","未锁上的物品","打开","","11"
"13","Open Kneeling","未锁上的物品","打开","","12"
"14","Open Attacking","未锁上的物品","打开","","13"
"15","Gahz'ridian (DND)","加兹瑞迪安","","","14"
"16","Blasting","锁上的物品","冲击","","15"
"17","PvP开启","未锁上的物品","打开","","16"
"18","PvP关闭","未锁上的物品","关闭","","17"
"19","钓鱼","钓鱼","钓鱼","FishingCursor","18"
"20","铭文","书典","译解","","19"
"21","从载具上打开","未锁上的物品","打开","","20"
"22","考古学","碎片","调查","","21"
"23","PvP快速开启","未锁上的物品","开启","","22"
"28","伐木场","木材","收获","HarvestTimber","23"
"29","剥皮","皮革","剥皮","skin","24"
"30","远古魔力","魔力矿脉","精粹","Extract","25"
"31","战况板","战况板","观察","","26"
"32","草药学","草药","采集","GatherHerbs","27"
"33","草药学","草药","采集","GatherHerbs","28"
"34","草药学","草药","采集","GatherHerbs","29"
"35","草药学","草药","采集","GatherHerbs","30"
"36","草药学","草药","采集","GatherHerbs","31"
"37","草药学","草药","采集","GatherHerbs","32"
"38","草药学","草药","采集","GatherHerbs","33"
"39","草药学","草药","采集","GatherHerbs","34"
"40","采矿","矿点","采矿","Mine","35"
"41","采矿","矿点","采矿","Mine","36"
"42","采矿","矿点","采矿","Mine","37"
"43","采矿","矿点","采矿","Mine","38"
"44","采矿","矿点","采矿","Mine","39"
"45","采矿","矿点","采矿","Mine","40"
"46","采矿","矿点","采矿","Mine","41"
"47","采矿","矿点","采矿","Mine","42"
"48","剥皮","皮革","剥皮","skin","43"
"149","打开（锁上的背包物品打开）","未锁上的物品","打开","","44"
"150","搜索","搜索","搜索","ForagePlants","45"
"152","蜜胶块","蜂蜜","采集","","46"
"153","草药学","草药","采集","GatherHerbs","47"
"155","采矿","矿点","采矿","Mine","48"
"157","盟约：法夜","未锁上的物品","开启","","49"
"158","盟约：温西尔","未锁上的物品","开启","","50"
"159","盟约：格里恩","未锁上的物品","开启","","51"
"160","盟约：通灵领主","未锁上的物品","开启","","52"
"161","专业：工程学","","关闭","","53"
