Id,Description,ModifiedCraftingCategoryId,ItemBonusTreeId,Flags
"1","","3","2753","0"
"2","必定有急速属性","1","2915","1"
"4","","3","2922","0"
"5","必定有爆击属性","6","2927","1"
"6","必定有全能属性","7","2928","1"
"7","必定有精通属性","5","2929","1"
"8","将物品等级设置为117，角色等级要求设置为55。","29","3203","0"
"9","将物品等级设置为168，角色等级要求设置为60。","46","3210","0"
"10","将物品等级设置为180，角色等级要求设置为60。","8","3210","0"
"11","将物品等级设置为200。","8","3211","0"
"12","对野兽造成额外伤害","9","2934","0"
"13","对人型生物造成额外伤害","9","2935","0"
"14","对亡灵造成额外伤害","9","2936","0"
"15","对畸变怪造成额外伤害","9","2937","0"
"16","命中时有几率提高受到的冰霜伤害","27","2938","0"
"17","合剂持续时间增加","44","2939","0"
"18","有一定几率暂时提高敏捷","12","2940","0"
"19","有一定几率暂时提高力量","12","2941","0"
"20","有一定几率暂时提高智力","12","2942","0"
"21","向你发起近战攻击的敌人受到伤害","13","2945","0"
"22","有一定几率造成冰霜伤害","14","2950","0"
"23","","15","2989","0"
"24","","15","2990","0"
"25","","15","2992","0"
"26","","15","2991","0"
"27","进食充分效果持续时间更久","11","3000","0"
"28","","13","3003","0"
"29","","16","3024","0"
"30","对敌人造成火焰伤害","17","3070","0"
"32","将物品等级设置为23，角色等级要求设置为15。","18","3204","0"
"34","将物品等级设置为33，角色等级要求设置为25。","30","3205","0"
"36","将物品等级设置为43，角色等级要求设置为35。","31","3206","0"
"38","将物品等级设置为56，角色等级要求设置为45。","32","3207","0"
"39","将物品等级设置为87，角色等级要求设置为50。","33","3208","0"
"58","降低跌落伤害","41","3147","0"
"59","略微提高移动速度","42","3148","0"
"60","护甲加成","26","3151","0"
"61","提高游泳速度","40","3152","0"
"62","对敌人造成冰霜伤害","17","3153","0"
"63","周期性地获得一道护盾，吸收火焰伤害","28","3154","0"
"64","在竞技场或战场被消灭后保留进食充分效果","38","3175","0"
"65","制作物品时有几率获得额外技能点","39","3176","0"
"66","添加插槽","35","3177","0"
"67","@spelldesc332950","11","169","0"
"68","完成世界任务会提高主属性","37","3178","0"
"69","使暗影界的合剂效果的持续时间延长1小时。","36","3181","0"
"70","将物品等级设置为129，角色等级要求设置为53。","29","3203","0"
"71","将物品等级设置为165。","29","3211","0"
"72","将物品等级设置为165，角色等级要求设置为57。","29","3209","0"
"73","将物品等级设置为165。","29","3210","0"
"74","将物品等级设置为87，角色等级要求设置为50。","45","3208","0"
"78","将物品等级设置为23，角色等级要求设置为15。","18","3204","0"
"77","将物品等级设置为33，角色等级要求设置为25。","30","3205","0"
"76","将物品等级设置为43，角色等级要求设置为35。","31","3206","0"
"75","将物品等级设置为56，角色等级要求设置为45。","32","3207","0"
