Id,Name,SourceText,Description,MountTypeId,Flags,SourceTypeEnum,SourceSpellId,PlayerConditionId,MountFlyRideHeight,UiModelSceneId,MountSpecialRiderAnimKitId,MountSpecialSpellVisualKitId
"6","棕马","|cFFFFD200商人出售：|r安格尔·斯塔特弗斯|n|cFFFFD200地区：|r湿地|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","因其耐心和坚韧而成为暴风城守卫的最爱。","230","0","2","458","0","0","4","0","0"
"7","灰狼","|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","这种狼更喜欢在大雾中狩猎，依靠其烟灰色的毛皮瞒过猎物的眼睛。","230","64","2","459","0","0","4","0","0"
"8","白马","|cFFFFD200绝版|r","强大而不屈的白马是古代人类部族神话中神圣的代表物。","230","64","2","468","0","0","4","0","0"
"9","黑马","|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","传说因其黑色的毛皮，这种坐骑成为了军情七处执行夜间任务时的专用坐骑。","230","0","2","470","0","0","4","0","0"
"11","杂色马","|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","它脾气温顺，很适合让孩子们练习骑术。","230","0","2","472","0","0","4","0","0"
"12","黑狼","|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","嗥叫声非常响亮，几里外都能听见。","230","64","2","578","0","0","4","0","0"
"13","赤狼","|cFFFFD200绝版|r","在整个艾泽拉斯几乎已经没有留存，只有最老道的冒险者才能见到一只。","230","64","2","579","0","0","4","0","0"
"14","森林狼","|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","嗥叫声非常响亮，几里外都能听见。","230","0","2","580","0","0","4","0","0"
"15","冬狼","|cFFFFD200绝版|r","根据古老的熊怪传说，生来就具有雪白毛皮的狼是受到艾泽拉斯双月的祝福的。","230","64","2","581","0","0","4","0","0"
"17","地狱战马","|cFFFFD200职业：|r术士","被恶魔能量腐蚀，并曾被迫为暗影议会效劳。","230","0","1","5784","31504","0","4","0","0"
"18","栗色马","|cFFFFD200商人出售：|r凯蒂·斯托克斯|n|cFFFFD200地区：|r暴风城|n|cFFFFD200价格： |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","坚韧不拔：“建造了暴风城的马。”","230","0","2","6648","0","0","4","0","0"
"19","恐狼","|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","曾被认为在遥远的北地以外的地方已经灭绝了。对那些准备过冬的人来说是无价之宝。","230","0","2","6653","0","0","4","0","0"
"20","棕狼","|cFFFFD200商人出售：|r奥古纳罗|n|cFFFFD200地区：|r奥格瑞玛|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","嗥叫声非常响亮，几里外都能听见。","230","0","2","6654","0","0","4","0","0"
"21","灰山羊","|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","雄性山羊经常互相砥角长达几个小时，以此来吸引雌性的注意。在这一点上，它们和矮人很像。","230","0","2","6777","0","0","4","0","0"
"22","黑山羊","|cFFFFD200绝版|r","我已经几百年没见过这种生物了，但山羊是顽强的生物。——维隆·冻石","230","64","2","6896","0","0","4","0","0"
"24","白山羊","|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","雄性山羊经常互相砥角长达几个小时，依次来吸引雌性的注意。在这一点上，它们和矮人很像。","230","0","2","6898","0","0","4","0","0"
"25","棕山羊","|cFFFFD200商人出售：|r维隆·冻石|n|cFFFFD200地区：|r丹莫罗|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","雄性山羊经常互相砥角长达几个小时，依次来吸引雌性的注意。在这一点上，它们和矮人很像。","230","0","2","6899","0","0","4","0","0"
