Id,Description,MapId
"42","夺取旗帜","489"
"44","归还旗帜","489"
"61","占领哨塔","30"
"63","占领墓地","30"
"64","保卫哨塔","30"
"65","保卫墓地","30"
"82","辅助目标","30"
"122","突袭基地","529"
"123","防御基地","529"
"183","夺取旗帜","566"
"215","摧毁城墙","571"
"216","摧毁建筑","571"
"231","摧毁城门","607"
"232","摧毁攻城车","607"
"245","突袭基地","628"
"246","防御基地","628"
"290","夺取旗帜","726"
"291","归还旗帜","726"
"370","突袭基地","761"
"371","防御基地","761"
"391","突袭基地","968"
"392","防御基地","968"
"393","夺取旗帜","968"
"418","夺取宝珠","998"
"419","胜利点数","998"
"422","夺取旗帜","1010"
"423","归还旗帜","1010"
"428","控制矿车","727"
"457","夺取矿车","1105"
"458","归还矿车","1105"
"459","突袭矿洞","1105"
"460","防守矿洞","1105"
"501","得分","451"
"679","突袭基地","1681"
"680","防御基地","1681"
"688","突袭基地","2177"
"690","防御基地","2177"
"744","收集的艾泽里特","1803"
"762","夺取旗帜","1740"
"763","归还旗帜","1740"
"923","已收集材料","1691"
"926","突袭基地","2107"
"927","防御基地","2107"
"928","夺取旗帜","2106"
"929","归还旗帜","2106"
"931","已收集神器","1191"
"1001","突袭基地","2245"
"1002","防御基地","2245"
"1003","占领哨塔","2197"
"1004","辅助目标","2197"
"1005","保卫墓地","2197"
"1006","保卫哨塔","2197"
"1007","占领墓地","2197"
