Id,Name,Description,ToastDescription,CovenantId,Level,Icon,Flags,UiOrder,ItemId,SpellId,MountId,TransmogId,TransmogSetId,CharTitlesId,GarrFollowerId,TransmogIllusionId,QuestId,PlayerConditionId
"18","","你可以与守护者暮花谈一谈从而招募这名冒险者。","有新的冒险者可用","3","6","0","0","0","0","0","0","0","0","0","1283","0","0","0"
"19","灵魂羁绊升级：尼娅","你可以使用尼娅的第三行灵魂羁绊专长。","解锁新的一行尼娅灵魂羁绊","3","5","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"22","灵魂羁绊升级：尼娅","你可以使用尼娅的第四行灵魂羁绊专长。","解锁新的一行尼娅灵魂羁绊","3","8","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"23","","你可以与守护者暮花谈一谈从而招募这名冒险者。","有新的冒险者可用","3","12","0","0","0","0","0","0","0","0","0","1285","0","0","0"
"25","灵魂羁绊升级：织梦者","你可以使用织梦者的第四行灵魂羁绊专长。","解锁新的一行织梦者灵魂羁绊","3","10","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"26","圣所升级","你可以将你的圣所功能升级到2级。","可进行新的圣所升级","3","11","3641394","0","0","0","0","0","0","0","0","0","0","0","0"
"28","灵魂羁绊升级：织梦者","你可以使用织梦者的第五行灵魂羁绊专长。","解锁新的一行织梦者灵魂羁绊","3","13","3684882","0","0","0","0","0","0","0","0","0","0","0","0"
"29","","可在名望军需官处购买找到的这段回忆。","可获取新找到的回忆","3","14","0","0","0","183249","0","0","0","0","0","0","0","0","0"
"31","灵魂羁绊升级：尼娅","你可以使用尼娅的第五行灵魂羁绊专长。","解锁新的一行尼娅灵魂羁绊","3","15","3684884","0","0","0","0","0","0","0","0","0","0","0","0"
"32","","你可以与守护者暮花谈一谈从而招募这名冒险者。","有新的冒险者可用","3","20","0","3","3","0","0","0","0","0","0","1284","0","0","0"
"33","世界任务奖励","你的世界任务奖励的物品等级有了提升。","从世界任务获得的最高物品等级提升","3","18","236668","1","0","0","0","0","0","0","0","0","0","0","0"
"34","圣所升级","你可以将你的圣所功能升级到3级。","可进行新的圣所升级","3","19","3641394","0","0","0","0","0","0","0","0","0","0","0","0"
"35","","","有新的外观可用","3","3","0","0","0","0","0","0","113562","0","0","0","0","0","0"
"36","","","幻象：荒野之魂解锁","3","20","0","3","1","0","0","0","0","0","0","0","71","62397","0"
"37","","","法夜炉石解锁","3","20","0","3","0","180290","0","0","0","0","0","0","0","62413","0"
"39","法夜战役：德鲁“死”特","你可以开始法夜战役的最终章了。完成战役后狩猎队长柯莱恩就会成为你的灵魂羁绊。","可接到新的战役任务","3","21","3641394","1","0","0","0","0","0","0","0","0","0","0","0"
"40","","你将可以在名望军需官处领养特鲁迪。","可获取伙伴宠物","3","20","0","0","2","182663","0","0","0","0","0","0","0","0","0"
