Id,Name,Unknown1
"1","Doug Test","1"
"2","Doug Test 2","0"
"3","阿昆达的阿昆达","1"
"4","全知的阿昆达","1"
"5","焦虑的阿昆达","1"
"6","狡猾的阿昆达","1"
"7","困惑的阿昆达","1"
"8","麻木的阿昆达","1"
"9","聪明的阿昆达","1"
"10","负罪的阿昆达","1"
"11","羞赧的阿昆达","1"
"12","古怪的阿昆达","1"
"13","热情的阿昆达","1"
"14","赋能者阿昆达","1"
"15","疏忽的阿昆达","1"
"16","忠诚的阿昆达","1"
"17","健忘的阿昆达","1"
"18","最初的阿昆达","1"
"19","消极对抗的阿昆达","1"
"20","悔恨的阿昆达","1"
"21","著名的阿昆达","1"
"22","虔诚的阿昆达","1"
"23","有钱人阿昆达","1"
"24","独一无二的阿昆达","1"
"25","坚定的阿昆达","1"
"26","心满意足的毒鳍龙","1"
"27","德鲁泽恩","1"
"28","加那姆","1"
"29","苏德霍恩","1"
"30","格里诺姆","1"
"31","普利辛","1"
"32","弗拉蒂姆","1"
"33","卡鲁姆","1"
"34","马格里姆","1"
"35","吞噬者索格罗","0"
"36","无情的凯姆坎","0"
"37","逃亡者希兹克提","0"
"38","凝结之怒","1"
"39","凝结之惧","1"
"40","凝结之寂","1"
"41","凝结之怨","1"
"42","凝结之痛","1"
"43","凝结之惑","1"
"44","凝结之悲","1"
"45","凝结之惘","1"
"46","凝结之愁","1"
"47","凝结之忧","1"
"48","滋长的仇恨","1"
"49","滋长的恐惧","1"
"50","滋长的孤立","1"
"51","滋长的绝望","1"
"52","滋长的痛楚","1"
"53","滋长的折磨","1"
"54","幻影钉刺者","0"
"55","幻影刃牙者","0"
"56","幻影重殴者","0"
"57","幻影巨兽","0"
"58","恐惧化身","0"
"59","偏激者帕拉瓦尔","0"
"60","嗜血者特里吉帝","0"
"61","狂热者吉基提","0"
"62","污憎者利利吉恩克","0"
"63","羞愧者博佩","0"
"64","讳言者沃托费","0"
"65","丰饶者乔纳帕","0"
"66","梅纳德","0"
"67","硕角猎人","0"
"68","高阶女祭司塞莉妮丝","0"
"69","小抱脸","0"
"70","尤加兹","0"
"71","雷吉纳德","0"
"72","小刺头","0"
"73","大块头","1"
"74","世界收割者基尔吉","0"
"75","太阳王穆恩苟","0"
"76","勇气信徒","0"
"77","拉斯波恩","0"
"78","图尔塔因","0"
"79","玛尔恩德拉","0"
"80","费尔恩戴","0"
"81","受惊的名流","0"
"82","镜像","1"
"83","罩影奥术师","0"
"84","傲慢具象","0"
"85","高傲具象","0"
"86","狂傲具象","0"
"87","自私具象","0"
"88","自恋具象","0"
"89","自大具象","0"
"90","偏执具象","0"
"91","迪博","0"
"92","基茂斯","0"
"93","伊拉波斯","0"
"94","布莫斯","0"
"95","丁多斯","0"
"96","格拉米洛斯","0"
"97","伊希里奥斯","0"
"98","阿巴鲁斯","0"
"99","伊帕帝波斯","0"
"100","匹克","0"
"101","哈佳","0"
"102","达非","0"
"103","茜玛","0"
"104","阿拉萨尼","0"
"105","丝拉","0"
"106","法雷","0"
"107","柯琳泽","0"
"108","阿瑟莉亚","0"
"109","敏塔","0"
"110","拉雷迪斯","0"
"111","博拉","0"
"112","艾帕","0"
"113","德卡","0"
"114","寇吉斯","0"
"115","阿吉利斯","0"
"116","伊芭","0"
"117","道力斯","0"
"118","泽恩扎","0"
"119","查尔密","0"
"120","穆普","0"
"121","堕落的候选者","0"
"122","观众","0"
"123","生命烦扰","0"
"124","银色北伐军战士","1"
"125","口渴的客人","0"
"126","饥饿的客人","0"
"127","塞兹仙林村民","0"
"128","传染僵尸","1"
"129","堕落候选者艾俄利斯","0"
"130","被囚禁的夺灵者","0"
"131","被驱逐的狂怒","0"
"132","被驱逐的暴怒","0"
"133","被驱逐的愤怒","0"
"134","被驱逐的仇恨","0"
"135","被驱逐的怒意","0"
"136","被驱逐的敌意","0"
"137","被驱逐的恶意","0"
"138","被驱逐的怨恨","0"
"139","被驱逐的暴食","0"
"140","被驱逐的饥饿","0"
"141","被驱逐的放纵","0"
"142","被驱逐的渴望","0"
"144","路过的回响","0"
"145","转瞬即逝的回忆","0"
"146","游荡的映像","0"
"147","消逝的残迹","0"
"148","莉莉亚娜","0"
"149","奥德斯特朗","0"
"150","编织者之洛拉","0"
"151","波利亚尔·艾俄萨","0"
"152","拉克萨特","0"
"153","布拉瓦拉特","0"
"154","拉莫拉","0"
"155","热切之陀罗利亚","0"
"156","马嘉尔塔","0"
"157","鲁莱的智慧","0"
"158","鲁莱的狂怒","0"
"159","鲁莱的苦修","0"
"160","维利艾尔","0"
"161","勒提格恩","0"
"162","洛雷特·提玛纳","0"
"163","乌伊玛·乌伊玛","0"
"164","里玛欧·尤娜","0"
"165","远古之萨沃","0"
"166","迅捷的奎普","0"
"167","巴西里恩·夸什","0"
"168","加萨·鲁阿什","0"
"169","加斯里纳","0"
"170","加索纳","0"
"171","慷慨的布里拉","0"
"172","利刃之谷尔","0"
"173","斯普吉特·斯莱","0"
"174","迪凡的哈万","0"
"175","加鲁福特·艾尔","0"
"176","睿智的拉什塔尔","0"
"177","罗·亮星","0"
"178","利·亮星","0"
"179","爱之秘主","0"
"180","伟大的波尔隆","0"
"181","谦恭的雷斯卡","0"
"182","嘉尔·罗姆","0"
"183","尊贵的泽尔之哈利什","0"
"184","战争之拉德苏尔","0"
"185","菲奥尼·希望使者","0"
"186","天空之主熙艾纳","0"
"187","天空之主瓦斯图克","0"
"188","命之秘主","0"
"189","仁慈的奥伊菲娜","0"
"190","拉尔杰纳·碎心者","0"
"191","心之莱萨","0"
"192","法威之格普","0"
"193","拉瑞安·黑魂","0"
"194","卡夏·灵魂先知","0"
"195","知识之吉利安","0"
"196","奉献之弗里达","0"
"197","隐蔽的陌生人","0"
"198","洛吉","0"
"199","格拉波尔","0"
"200","吉布斯","0"
"201","斯麦泽尔","0"
"202","希格斯","0"
"203","马克沃斯·马丁顿三世","0"
"204","贝尔维","0"
"205","乌斯图尔","0"
"206","力夫","0"
"207","艾戈尔","0"
"208","德雷吉沃斯","0"
"209","福尔格斯","0"
"210","科勒姆","0"
"211","潘斯","0"
"212","玛基","0"
"213","多布","0"
"214","斯威皮","0"
"215","考伯沃斯","0"
"216","弗雷德","0"
"217","莱弗","0"
"218","Temporal Leaves Catalyst","0"
"219","Wild Nightbloom Catalyst","0"
"220","Wildseed Root Grain Catalyst","0"
