Id,Name,Pos0,Pos1,Pos2,MapOffset0,MapOffset1,FlightMapOffset0,FlightMapOffset1,ContinentId,ConditionId,CharacterBitNumber,Flags,UiTextureKitId,MinimapAtlasMemberId,Facing,SpecialIconConditionId,VisibilityConditionId,MountCreatureId0,MountCreatureId1
"1","北郡修道院","-8888.98","-0.54","94.39","0","0","0","0","0","0","0","0","0","4689","0","0","0","308","0"
"2","暴风城，艾尔文森林","-8841.06","489.656","109.607","0.00998004","0.0101744","0","0","0","0","2","1","0","4689","0","0","0","0","541"
"3","Programmer Isle","16391.81","16341.21","69.44","0","0","0","0","0","0","0","0","0","4689","0","0","0","308","0"
"4","哨兵岭，西部荒野","-10551.9","1034.39","56.9543","0","0","0","0","0","0","4","1","0","4689","0","0","0","0","541"
"5","湖畔镇，赤脊山","-9429.1","-2231.4","68.65","0","0","0","0","0","20068","5","1","0","4689","0","0","0","0","541"
"6","铁炉堡，丹莫罗","-4821.78","-1155.44","502.21","0","0","0","0","0","0","6","1","0","4689","0","0","0","0","541"
"7","米奈希尔港，湿地","-3787.81","-777.696","1.5582","-0.002","0.002","0","0","0","0","7","1","0","4689","0","0","0","0","541"
"8","塞尔萨玛，洛克莫丹","-5421.91","-2930.01","347.25","0","0","0","0","0","0","8","1","0","4689","0","0","0","0","541"
"9","藏宝海湾，荆棘谷","-14271.8","299.87","31.09","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","541"
"10","瑟伯切尔，银松森林","478.86","1536.59","131.32","0","0","0","0","0","0","10","2","0","4689","0","0","0","3574","0"
"11","幽暗城，提瑞斯法林地","1568.62","267.97","-43.1","0","0","0","0","0","62731","11","10","0","4689","0","0","0","3574","0"
"12","夜色镇，暮色森林","-10515.5","-1261.65","41.34","0","0","0","0","0","0","12","1","0","4689","0","0","0","0","541"
"13","塔伦米尔，希尔斯布莱德","-17.7066","-874.203","59.0056","0","0.003","0","0","0","0","13","2","0","4689","0","0","0","3574","0"
"14","南海镇，希尔斯布莱德","-711.48","-515.48","26.11","0","0","0","0","0","5793","14","0","0","4689","0","0","0","0","541"
"15","东瘟疫之地","2253.4","-5344.9","83.38","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","541"
"16","避难谷地，阿拉希高地","-1240.53","-2515.11","22.16","0","0","0","0","0","0","16","1","0","4689","0","0","0","0","541"
"17","落锤镇，阿拉希高地","-916.29","-3496.89","70.45","0.007","-0.007","0","0","0","0","17","2","0","4689","0","0","0","2224","0"
"18","藏宝海湾，荆棘谷","-14444.3","509.62","26.2","0","0","0","0","0","0","18","2","0","4689","0","0","0","2224","0"
"19","藏宝海湾，荆棘谷","-14473","464.15","36.43","0","0","0","0","0","0","19","1","0","4689","0","0","0","0","541"
"20","格罗姆高，荆棘谷","-12414.2","146.29","3.28","0","0","0","0","0","0","20","2","0","4689","0","0","0","2224","0"
"21","新卡加斯，荒芜之地","-6676.87","-2433.37","272.771","0.002","-0.01","0","0","0","0","21","2","0","4689","0","0","0","2224","0"
"22","雷霆崖，莫高雷","-1197.21","29.71","176.95","0","0","0","0","1","0","22","2","0","4689","0","0","0","2224","0"
"23","奥格瑞玛，杜隆塔尔","1798.27","-4363.27","102.848","0.0249501","0.00436047","0","0","1","0","23","2","0","4689","0","0","0","2224","0"
"24","Generic, World Target 002","-6666","-2222.3","278.6","0","0","0","0","0","0","24","0","0","4689","0","0","0","0","0"
"25","十字路口，北贫瘠之地","-441.8","-2596.08","96.06","0.00399202","-0.0101744","0","0","1","0","25","2","0","4689","0","0","0","2224","0"
"26","洛达内尔，黑海岸","7459.9","-326.56","8.09","0","-0.02","0","0","1","0","26","9","0","4689","0","0","62814","0","3837"
"27","鲁瑟兰村，泰达希尔","8383.75","980.964","30.8292","0","0","0","0","1","0","27","9","0","4689","0","0","62814","0","3837"
"28","阿斯特兰纳，灰谷","2827.34","-289.24","107.16","0.008","0","0","0","1","0","28","1","0","4689","0","0","0","0","3837"
"29","烈日石居，石爪山脉","966.57","1040.32","104.27","0.021","0.005","0","0","1","0","29","2","0","4689","0","0","0","2224","0"
"30","西岸峰，千针石林","-4310.61","-927.064","81.1796","0","0","0","0","1","0","30","2","0","4689","0","0","0","2224","0"
"31","蔽日林，菲拉斯","-4996.88","73.9427","99.8385","0","0","0","0","1","0","31","1","0","4689","0","0","0","0","3837"
"32","塞拉摩，尘泥沼泽","-3825.37","-4516.58","10.44","0","0.008","0","0","1","19444","32","9","0","4689","0","0","0","0","541"
"33","萨达拉瞭望台，石爪山脉","2147.25","1537.87","341.24","-0.017","0","0","0","1","0","33","1","0","4689","0","0","0","0","3837"
"34","交通工具，藏宝海湾","-1965.17","-5824.29","-1.06","0","0","0","0","1","0","0","0","0","4689","0","0","0","0","0"
"35","交通工具，奥格瑞玛","1320.07","-4649.2","21.57","0","0","0","0","1","0","0","0","0","4689","0","0","0","0","0"
"36","Generic, World Target 001","-8644.62","433.28","59.46","0","0","0","0","0","0","0","0","0","4689","0","0","0","15665","0"
"37","尼耶尔前哨站，凄凉之地","139.24","1325.82","193.5","0.007","0","0","0","1","0","37","1","0","4689","0","0","0","0","3837"
"38","葬影村，凄凉之地","-1767.64","3263.89","4.94","0","0","0","0","1","0","38","2","0","4689","0","0","0","2224","0"
"39","加基森，塔纳利斯","-7185.97","-3768.24","9.30053","0","0","0","0","1","0","39","1","0","4689","0","0","0","0","541"
"40","加基森，塔纳利斯","-7094.03","-3813.69","9.49695","0","0","0","0","1","0","40","2","0","4689","0","0","0","2224","0"
"41","羽月要塞，菲拉斯","-4467.04","2188.64","17.8939","0","-0.01","0","0","1","0","41","1","0","4689","0","0","0","0","3837"
"42","莫沙彻营地，菲拉斯","-4419.86","199.31","25.06","-0.004","0","0","0","1","0","42","2","0","4689","0","0","0","2224","0"
"43","鹰巢山，辛特兰","283.74","-2002.76","194.74","0","-0.01","0","0","0","0","43","1","0","4689","0","0","0","0","541"
"44","锈水港，艾萨拉","3547.2","-6294.66","0.754245","0","0","0","0","1","0","44","2","0","4689","0","0","0","2224","0"
"45","守望堡，诅咒之地","-11112.3","-3435.74","79.09","0","0.015","0","0","0","46758","45","9","0","4689","0","0","0","0","541"
"46","交通工具，南海镇","-986.43","-547.86","-3.86","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","0"
"47","交通工具，格罗姆高","-12418.77","235.43","1.12","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","0"
"48","血毒河，费伍德森林","5123.51","-321.181","359.54","0","0","0","0","1","5793","48","0","0","4689","0","0","0","2224","0"
"49","月光林地","7458.45","-2487.21","462.33","0","0","0","0","1","0","49","1","0","4689","0","0","0","0","3837"
"50","交通工具，米奈希尔港","0","0","0","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","0"
"51","交通工具，奥伯丁","0","0","0","0","0","0","0","0","0","0","0","0","4689","0","0","0","0","0"
"52","永望镇，冬泉谷","6796.8","-4742.39","701.5","0","-0.01","0","0","1","0","52","1","0","4689","0","0","0","0","3837"
"53","永望镇，冬泉谷","6813.06","-4611.12","710.67","0","-0.009","0","0","1","0","53","2","0","4689","0","0","0","2224","0"
"54","交通工具，羽月要塞","-4203.87","3284","-12.86","0","0","0","0","1","0","0","0","0","4689","0","0","0","0","0"
"55","蕨墙村，尘泥沼泽","-3147.39","-2842.18","34.61","-0.006","0","0","0","1","0","55","2","0","4689","0","0","0","2224","0"
"56","斯通纳德，悲伤沼泽","-10457","-3279.25","21.35","-0.008","0","0","0","0","0","56","2","0","4689","0","0","0","2224","0"
