Id,SourceText,ItemId,Flags,SourceTypeEnum
"1","|cFFFFD200掉落：|r世界掉落","1973","0","0"
"4","|cFFFFD200黑市拍卖行|r","32566","0","2"
"5","|cFFFFD200黑市拍卖行|r","33223","0","2"
"7","|cFFFFD200黑市拍卖行|r","38578","0","2"
"9","|cFFFFD200节日：|r情人节|n|cFFFFD200商人出售：|r可爱的商贩|n|cFFFFD200地区：|r各大主城|n|cFFFFD200价格：|r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n","34480","0","6"
"12","|cFFFFD200特殊|r","67097","0","7"
"16","|cFFFFD200商人出售：|r特克斯·垂旋|n|cFFFFD200地区：|r艾萨拉|n|cFFFFD200价格：|r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","68806","0","2"
"17","|cFFFFD200商人出售：|r艾拉·影暴|n|cFFFFD200地区：|r熔火前线|n|cFFFFD200价格：|r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","70161","0","2"
"18","|cFFFFD200世界事件：|r万圣节|n|cFFFFD200商人出售：|r查布/多萝西|n|cFFFFD200地区：|r提瑞斯法林地/暴风城|n|cFFFFD200价格：|r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n","70722","0","6"
"19","|cFFFFD200特殊|r","72161","0","7"
"20","|cFFFFD200掉落：|r潘达利亚","72231","2","0"
"21","|cFFFFD200掉落：|r利眼约里克|n|cFFFFD200地区：|r锦绣谷","86568","0","0"
"22","|cFFFFD200掉落：|r灵魂窃贼康戈|n|cFFFFD200地区：|r锦绣谷","86571","0","0"
"23","|cFFFFD200掉落：|r哈瓦克|n|cFFFFD200地区：|r昆莱山","72221","2","0"
"24","|cFFFFD200掉落：|r乌戈拉克斯|n|cFFFFD200地区：|r锦绣谷","86575","0","0"
"25","|cFFFFD200掉落：|r斯基提克|n|cFFFFD200地区：|r昆莱山","72225","2","0"
"29","|cFFFFD200任务：|r艾露恩的祝福|n|cFFFFD200地区：|r月光林地","21540","0","1"
"30","","33079","2","7"
"33","|cFFFFD200专业技能：|r考古学","64651","0","3"
"34","|cFFFFD200商人出售：|r奥鲁特·埃雷古、洛尔克·锐须|n|cFFFFD200地区：|r风暴峭壁|n|cFFFFD200价格：|r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t","43499","0","2"
"99","|cFFFFD200掉落：|r泰罗克|n|cFFFFD200地区：|r泰罗卡森林","32782","0","0"
"100","|cFFFFD200黑市拍卖行|r","34499","0","2"
"101","|cFFFFD200掉落：|r诺森德 - 世界掉落","37254","0","0"
"102","|cFFFFD200特殊|r","38301","0","7"
"103","|cFFFFD200成就：|r钱币大师|n|cFFFFD200分类：|r钓鱼","44430","0","5"
"109","|cFFFFD200世界事件：|r冬幕节","46709","0","6"
"110","|cFFFFD200特殊|r","49703","0","7"
"111","|cFFFFD200特殊|r","49704","2","7"
"112","|cFFFFD200任务：|r穆拉丁的追思|n|cFFFFD200地区：|r冰冠堡垒","52201","0","1"
"114","|cFFFFD200任务：|r希尔瓦娜斯的复仇|n|cFFFFD200地区：|r冰冠堡垒","52253","0","1"
"116","|cFFFFD200专业技能：|r考古学","64358","0","3"
"117","|cFFFFD200专业技能：|r考古学","64361","0","3"
"118","|cFFFFD200专业技能：|r考古学","64373","0","3"
"119","|cFFFFD200专业技能：|r考古学","64383","0","3"
"120","|cFFFFD200专业技能：|r考古学","64456","0","3"
"121","|cFFFFD200专业技能：|r考古学","64481","0","3"
"122","|cFFFFD200专业技能：|r考古学","64482","0","3"
"123","|cFFFFD200专业技能：|r考古学","64646","0","3"
"124","|cFFFFD200专业技能：|r考古学","64881","0","3"
"125","|cFFFFD200商人出售：|r梅罗什|n|cFFFFD200地区：|r费伍德森林|n|cFFFFD200阵营：|r木喉要塞 - 崇拜|n|cFFFFD200价格: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","66888","4","2"
"126","|cFFFFD200世界事件：|r儿童周|n|cFFFFD200商人出售：|r布雷克斯·瓶装火箭/克拉格·摇塞|n|cFFFFD200地区：|r奥格瑞玛/暴风城|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","69895","0","2"
"127","|cFFFFD200特殊|r","72159","0","7"
"128","|cFFFFD200特殊|r","79769","0","7"
"129","|cFFFFD200掉落：|r被放逐的赞伊|n|cFFFFD200地区：|r昆莱山","86581","0","0"
"131","|cFFFFD200掉落：|r预言者奈松|n|cFFFFD200地区：|r昆莱山","72224","2","0"
"132","|cFFFFD200掉落：|r独眼摩尔多|n|cFFFFD200地区：|r锦绣谷","86586","0","0"
"133","|cFFFFD200掉落：|r漫游者阿波尼|n|cFFFFD200地区：|r昆莱山","86588","0","0"
"134","|cFFFFD200掉落：|r艾利·天镜|n|cFFFFD200地区：|r恐惧废土","86589","0","0"
"135","|cFFFFD200掉落：|r迅云艾然|n|cFFFFD200地区：|r锦绣谷","72229","2","0"
"136","|cFFFFD200掉落：|r波罗波斯|n|cFFFFD200地区：|r四风谷","72227","2","0"
"137","|cFFFFD200掉落：|r聪明的伊克伊克|n|cFFFFD200地区：|r恐惧废土","86593","0","0"
"139","|cFFFFD200成就：|r学习榜样|n|cFFFFD200分类：|r钓鱼","86596","0","5"
"140","|cFFFFD200成就：|r走街串吧|n|cFFFFD200分类：|r熊猫人之谜","87528","0","5"
