Id,Signature,BackgroundTexture,SealTexture
"1","|cff042c54瓦里安·乌瑞恩|n国王|r","5861","5859"
"2","|cff480404沃金|n大酋长|r","5862","5860"
"3","","6059","0"
"5","","5862","5860"
"6","|cff042c54安度因·乌瑞恩|n国王|r","5861","5859"
"7","|cff480404希尔瓦娜斯·风行者|n大酋长|r","5862","5860"
"8","","5861","0"
"10","","5862","0"
"11","|cff480404纳萨诺斯·凋零者|r","5862","5860"
"12","|cff042c54吉恩·格雷迈恩|r","5861","5859"
"13","","5861","5859"
"14","","0","0"
"15","","11846","0"
"16","","11942","0"
"17","","12088","0"
"18","","12093","0"
"19","","12094","0"
"20","","12089","0"
"21","","12086","0"
"22","","12087","0"
"23","|cff480404洛瑟玛·塞隆|r","5862","5860"
"24","|cff042c54马迪亚斯·肖尔大师|r","5861","5859"
"25","|cff480404瓦莉拉·萨古纳尔|r","5862","5860"
"26","","12126","0"
