Id,Name,PlayerConditionId,VisibleTrackingQuestId,QuestFeedbackEffectId,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestId
"4","Vignette Test Kill","0","0","89","66","0","0","0","0"
"5","Vignette Test Loot","18071","0","108","0","0","0","0","0"
"9","Vignette Test Event","10345","0","90","3","0","0","0","0"
"10","碎星者洛哈什","22188","0","89","0","0","0","0","0"
"11","古魈宝藏行者","22189","0","88","0","0","0","0","0"
"12","被捕获的德莱尼人","22190","0","89","0","0","0","0","0"
"13","虚空先知","22191","0","89","0","0","0","0","0"
"14","乌拉卡","22192","0","89","0","0","0","0","0"
"15","赛诺迪库斯","22193","0","89","0","0","0","0","0"
"16","安波里防护水晶","22194","0","90","0","0","0","0","0"
"17","神秘虚空","22196","0","90","0","0","0","0","0"
"18","毁灭者","22197","0","89","0","0","0","0","0"
"19","耶瑞卡尔的预言","22198","0","89","0","0","0","0","0"
"20","克兰托尔的预言","22199","0","89","0","0","0","0","0"
"21","扭曲观察者的预言","22200","0","89","0","0","0","0","0"
"22","毁灭者构造体","22201","0","89","0","0","0","0","0"
"23","读叶者库里","22202","0","89","0","0","0","0","0"
"24","被铁链锁住的宝藏","22203","0","88","0","0","0","0","0"
"25","海格赛伯","22205","0","89","0","0","0","0","0"
"26","岩蹄","22206","0","89","0","0","0","0","0"
"27","塔尔比","22213","0","90","0","0","0","0","0"
"28","暗影山宝藏","22215","0","88","0","0","0","0","0"
"29","贝格佐德","22216","0","89","0","0","0","0","0"
"30","伊格德尔","22217","33389","89","0","0","0","0","0"
"33","血尖","19147","0","89","0","0","0","0","0"
"34","裂齿","0","0","89","0","0","0","0","0"
"35","钳颚","0","0","89","0","0","0","0","0"
"36","浗","0","0","89","0","0","0","0","0"
"37","伊萨","0","0","89","0","0","0","0","0"
"38","牢非的灵魂","0","0","89","0","0","0","0","0"
"39","屠夫白锦","0","0","89","0","0","0","0","0"
"40","铁拳苟畅","19146","0","89","0","0","0","0","0"
"41","裂魂使高珲","19147","0","89","0","0","0","0","0"
"42","铁木贾将军","0","0","89","0","0","0","0","0"
"43","暗影主宰塞铎","0","0","89","0","0","0","0","0"
"44","乌麟","0","0","89","0","0","0","0","0"
"45","火霜","19147","0","89","0","0","0","0","0"
"46","献祭者宝赉","0","0","89","0","0","0","0","0"
"47","维拉克西斯","0","0","89","0","0","0","0","0"
"48","科里充","0","0","89","0","0","0","0","0"
"49","恶臭啤酒","0","0","90","0","50","-50","0","0"
