Id,FullName,ShortName,GroupFinderCategoryId,OrderIndex,GroupFinderActivityGrpId,MinLevel,MaxLevelSuggestion,Flags,MinGearLevelSuggestion,MapId,DifficultyId,AreaId,MaxPlayers,DisplayType
"2","泰达希尔","泰达希尔","1","0","3","0","10","258","0","1","0","141","0","4"
"3","西部荒野","西部荒野","1","0","2","10","15","258","0","0","0","40","0","4"
"4","决战奥格瑞玛（普通难度）","普通","3","0","1","0","90","35","0","1136","14","0","30","0"
"6","竞技场（2v2）","2v2","4","0","0","120","0","36","0","0","0","0","2","2"
"7","竞技场（3v3）","3v3","4","1","0","120","0","36","0","0","0","0","3","2"
"9","熔火之心","熔火之心","3","-1","0","60","60","34","0","409","9","0","40","0"
"14","竞技场练习赛（2v2）","2v2","7","0","0","90","99","36","0","0","0","0","2","2"
"15","战场","战场","8","0","0","10","19","36","0","0","0","0","5","1"
"16","自定义PvE","自定义","6","0","0","0","0","34","0","0","0","0","0","0"
"17","自定义PvP","自定义PvP","6","0","0","0","0","36","0","0","0","0","0","0"
"18","死亡矿井（普通）","普通","2","0","5","15","21","98","0","36","1","0","5","1"
"19","评级战场","评级战场","9","0","0","120","0","36","0","0","0","0","0","0"
"20","随机潘达利亚场景战役（普通）","普通","5","0","107","90","90","34","0","870","12","0","3","1"
"21","血槌炉渣矿井（普通）","普通","2","1","6","90","93","99","0","1175","1","0","5","1"
"22","钢铁码头（普通）","普通","2","1","7","92","95","99","0","1195","1","0","5","1"
"23","奥金顿（普通）","普通","2","1","8","94","97","99","0","1182","1","0","5","1"
"24","通天峰（普通）","普通","2","1","9","97","100","99","0","1209","1","0","5","1"
"25","恐轨车站（普通）","普通","2","1","10","100","100","99","0","1208","1","0","5","1"
"26","永茂林地（普通）","普通","2","1","11","100","100","99","0","1279","1","0","5","1"
"27","影月墓地（普通）","普通","2","1","12","100","100","99","0","1176","1","0","5","1"
"28","黑石塔上层（普通）","普通","2","1","13","100","100","99","0","1358","1","0","5","1"
"29","血槌炉渣矿井（英雄）","英雄","2","2","6","100","100","99","0","1175","2","0","5","1"
"30","钢铁码头（英雄）","英雄","2","2","7","100","100","99","0","1195","2","0","5","1"
"31","奥金顿（英雄）","英雄","2","2","8","100","100","99","0","1182","2","0","5","1"
"32","通天峰（英雄）","英雄","2","2","9","100","100","99","0","1209","2","0","5","1"
"33","恐轨车站（英雄）","英雄","2","2","10","100","100","99","0","1208","2","0","5","1"
"34","永茂林地（英雄）","英雄","2","2","11","100","100","99","0","1279","2","0","5","1"
"35","影月墓地（英雄）","英雄","2","2","12","100","100","99","0","1176","2","0","5","1"
"36","黑石塔上层（英雄）","英雄","2","2","13","100","100","99","0","1358","2","0","5","1"
"37","悬槌堡（普通）","普通","3","0","14","100","100","35","0","1228","14","0","30","0"
"38","悬槌堡（英雄）","英雄","3","0","14","100","100","35","0","1228","15","0","30","0"
"39","黑石铸造厂（普通）","普通","3","0","15","100","100","35","0","1205","14","0","30","0"
"40","黑石铸造厂（英雄）","英雄","3","0","15","100","100","35","0","1205","15","0","30","0"
"41","决战奥格瑞玛（英雄）","英雄","3","0","1","0","90","35","0","1136","15","0","30","0"
"42","决战奥格瑞玛（史诗）","史诗","3","0","1","0","90","35","0","1136","16","0","20","0"
"43","纳克萨玛斯（10人）","10人","3","0","16","80","80","35","0","533","3","0","10","0"
"44","纳克萨玛斯（25人）","25人","3","0","16","80","80","35","0","533","4","0","25","0"
"45","卡拉赞","卡拉赞","3","0","0","70","70","35","0","532","3","0","10","0"
"46","冰冠堡垒（10人普通）","10人普通","3","0","17","80","80","35","0","631","3","0","10","0"
"47","冰冠堡垒（10人英雄）","10人英雄","3","0","17","80","80","35","0","631","5","0","10","0"
"48","冰冠堡垒（25人普通）","25人普通","3","0","17","80","80","35","0","631","4","0","25","0"
"49","冰冠堡垒（25人英雄）","25人英雄","3","0","17","80","80","35","0","631","6","0","25","0"
"50","哀嚎洞穴（普通）","哀嚎洞穴","2","0","0","15","25","98","0","43","1","0","5","1"
"51","通灵学院（普通）","普通","2","0","18","38","48","98","0","1007","1","0","5","1"
"52","怒焰裂谷（普通）","怒焰裂谷","2","0","0","15","21","98","0","389","1","0","5","1"
"53","影牙城堡（普通）","普通","2","0","19","16","26","98","0","33","1","0","5","1"
"54","黑暗深渊（普通）","黑暗深渊","2","0","0","20","30","98","0","48","1","0","5","1"
"55","暴风城监狱（普通）","暴风城监狱","2","0","0","20","30","98","0","34","1","0","5","1"
"56","诺莫瑞根（普通）","诺莫瑞根","2","0","0","24","34","98","0","90","1","0","5","1"
"57","剃刀沼泽（普通）","剃刀沼泽","2","0","0","30","40","98","0","47","1","0","5","1"
"58","剃刀高地（普通）","剃刀高地","2","0","0","40","50","98","0","129","1","0","5","1"
"59","奥达曼（普通）","奥达曼","2","0","0","35","45","98","0","70","1","0","5","1"
"60","祖尔法拉克（普通）","祖尔法拉克","2","0","0","44","54","98","0","209","1","0","5","1"
"61","玛拉顿（普通）","玛拉顿","2","0","0","30","44","98","0","349","1","0","5","1"
"62","沉没的神庙（普通）","沉没的神庙","2","0","0","50","60","98","0","109","1","0","5","1"
"63","黑石深渊（普通）","黑石深渊","2","0","0","47","61","98","0","230","1","0","5","1"
"64","黑石塔下层（普通）","黑石塔下层","2","0","0","55","65","98","0","229","1","0","5","1"
"65","厄运之槌（普通）","厄运之槌","2","0","0","36","52","98","0","429","1","0","5","1"
"66","斯坦索姆（普通）","斯坦索姆","2","0","0","42","56","98","0","329","1","0","5","1"
"67","地狱火城墙（普通）","普通","2","0","20","58","67","98","0","543","1","0","5","1"
"68","鲜血熔炉（普通）","普通","2","0","21","59","68","98","0","542","1","0","5","1"
"69","破碎大厅（普通）","普通","2","0","22","67","75","98","0","540","1","0","5","1"
"70","奴隶围栏（普通）","普通","2","0","23","60","69","98","0","547","1","0","5","1"
"71","幽暗沼泽（普通）","普通","2","0","24","61","70","98","0","546","1","0","5","1"
"72","蒸汽地窟（普通）","普通","2","0","25","67","75","98","0","545","1","0","5","1"
"73","法力陵墓（普通）","普通","2","0","26","62","71","98","0","557","1","0","5","1"
"74","奥金尼地穴（普通）","普通","2","0","27","63","72","98","0","558","1","0","5","1"
"75","塞泰克大厅（普通）","普通","2","0","28","65","73","98","0","556","1","0","5","1"
"76","暗影迷宫（普通）","普通","2","0","29","67","75","98","0","555","1","0","5","1"
"77","血色大厅（普通）","普通","2","0","30","26","36","98","0","1001","1","0","5","1"
"78","血色修道院（普通）","普通","2","0","31","28","38","98","0","1004","1","0","5","1"
"79","逃离敦霍尔德（普通）","普通","2","0","32","64","73","98","0","560","1","0","5","1"
"80","开启黑暗之门（普通）","普通","2","0","33","68","75","98","0","269","1","0","5","1"
"81","能源舰（普通）","普通","2","0","34","68","75","98","0","554","1","0","5","1"
"82","生态船（普通）","普通","2","0","35","67","75","98","0","553","1","0","5","1"
"83","禁魔监狱（普通）","普通","2","0","36","68","75","98","0","552","1","0","5","1"
"84","奥金尼地穴（英雄）","英雄","2","0","27","70","75","98","0","558","2","0","5","1"
"85","法力陵墓（英雄）","英雄","2","0","26","70","75","98","0","557","2","0","5","1"
"86","塞泰克大厅（英雄）","英雄","2","0","28","70","75","98","0","556","2","0","5","1"
"87","暗影迷宫（英雄）","英雄","2","0","29","70","75","98","0","555","2","0","5","1"
