Id,Description,Color
"2","现在有了额外的描述文字","16777215"
"20","第10赛季","-16711936"
"226","第10赛季精锐","-16711936"
"525","第9赛季精锐","-16711936"
"653","第9赛季","-16711936"
"1013","第11赛季","-16711936"
"1208","第11赛季精锐","-16711936"
"1591","第19赛季","-16711936"
"1593","这颜色闪瞎了我的眼睛","-65536"
"1641","随机团队","-16711936"
"2015","英雄","65280"
"2023","第10赛季精锐","-1"
"2255","第12赛季","65280"
"2667","第12赛季精锐","65280"
"3564","","65280"
"3759","制作材料","-10044417"
"3765","100格背包","-1"
"3845","英雄精锐级别","65280"
"3859","精锐","65280"
"3933","第13赛季","65280"
"3934","第13赛季精锐","65280"
"4918","等级 1","-16711681"
"4949","等级 2","-16711681"
"4953","等级 3","-16711681"
"4957","等级 4","-16711681"
"4961","等级 5","-16711681"
"4965","等级 7","-16711681"
"4969","等级 8","-16711681"
"4970","等级 6","-16711681"
"5213","场景战役物品","-1"
"5616","雷霆","65280"
"6360","英雄雷霆","65280"
"6798","等级 9","-16711681"
"6842","等级 ??","-16711681"
"6843","第8赛季","65280"
"6894","第8赛季精锐","65280"
"7052","第7赛季","65280"
"7225","第7赛季精锐","65280"
"7261","第6赛季","65280"
"7434","第6赛季精锐","65280"
"7463","第5赛季","65280"
"7636","第4赛季","65280"
"7775","第3赛季","65280"
"7906","第2赛季","65280"
"8027","第1赛季","65280"
"8869","弹性级别","65280"
"9059","第14赛季","65280"
"9459","第14赛季精锐","65280"
"10066","英雄雷霆","16711680"
"10126","第15赛季","65280"
"10520","第15赛季精锐","65280"
"11080","永恒","65280"
"11179","英雄战火","65280"
"11428","战火","65280"
"12743","战利品","-10044417"
"12790","原初","-16711936"
"12934","炼金材料","-10044417"
"13021","制作材料","-7820545"
"13111","能量之","0"
"13145","史诗","-16711936"
"13149","工程学材料","-10044417"
"13150","燎火之","0"
"13151","无双之","0"
"13152","快刀之","0"
"13153","狂野之","0"
"13154","狂热之","0"
"13155","诡诈之","0"
"13156","灼光之","0"
"13157","曙光之","0"
"13158","机敏之","0"
"13159","狂信之","0"
"13160","塑风之","0"
"13161","谐律之","0"
"13162","无情之","0"
"13163","占卜之","0"
"13164","高贵之","0"
"13165","战略之","0"
"13166","先兆之","0"
"13167","坚定之","0"
"13168","先驱之","0"
"13169","破雷之","0"
"13170","焦躁之","0"
"13171","专擅之","0"
"13172","应变之","0"
"13173","残酷之","0"
"13174","虔诚之","0"
"13175","永固之","0"
"13176","屠夫之","0"
"13178","德拉诺之王竞技场","65280"
"13181","烹饪材料","-10044417"
"13184","制造材料","-10044417"
"13185","2/6阶段","65280"
"13186","3/6阶段","65280"
"13187","1/6阶段","65280"
"13188","史诗战火","-16711936"
"13190","追随者装备","-9316865"
"13191","要塞物资","-10044417"
"13192","货栈零件","-16724737"
"13193","普通","65280"
"13194","货栈模型","-16724737"
"13195","原初","-10044417"
"13196","《德拉诺之王》第1赛季","65280"
"13197","种族PvP徽记","-7820545"
"13198","《德拉诺之王》第1赛季精锐","65280"
"13201","T0","65280"
"13202","T1 - 神圣","65280"
"13203","T1 - 火焰","65280"
"13204","T1 - 腐化","65280"
"13205","T2 - 神圣","65280"
"13206","T2 - 火焰","65280"
"13207","T2 - 腐化","65280"
"13208","4/6阶段","65280"
"13209","要塞图纸","-10044417"
"13210","时空漫游","-1651584"
"13211","德拉诺之王第2赛季","65280"
"13212","德拉诺之王第2赛季精锐","65280"
"13213","德拉诺之王第3赛季","65280"
