Id,FailureDescription,PlayerConditionId,OrderIndex,MapDifficultyId
"59","需要达到至少70级才能进入英雄难度。","6379","0","129"
"60","需要达到至少58级才能进入英雄难度。","74364","0","130"
"61","需要达到至少70级才能进入英雄难度。","6379","0","131"
"62","需要达到至少70级才能进入英雄难度。","6379","0","133"
"63","需要达到至少70级才能进入英雄难度。","6379","0","134"
"64","需要达到至少70级才能进入英雄难度。","74569","0","135"
"65","需要达到至少70级才能进入英雄难度。","6379","0","136"
"66","需要达到至少70级才能进入英雄难度。","6379","0","137"
"67","需要达到至少70级才能进入英雄难度。","6379","0","140"
"68","需要达到至少70级才能进入英雄难度。","6379","0","142"
"69","需要达到至少70级才能进入英雄难度。","6379","0","147"
"70","需要达到80级才能进入英雄难度。","74363","0","148"
"71","Heroic Difficulty requires the Sunforged Key[PH].","6728","0","149"
"72","需要达到80级才能进入英雄难度。","74363","0","150"
"73","需要达到80级才能进入英雄难度。","74363","0","151"
"74","需要达到80级才能进入英雄难度。","74363","0","153"
"76","需要达到80级才能进入英雄难度。","74363","0","155"
"77","需要达到80级才能进入英雄难度。","74363","0","156"
"78","需要达到至少80级才能进入。","7500","0","157"
"79","你必须在一个团队中，并且等级至少为80级才能进入。","7500","0","158"
"80","","4868","0","14"
"81","需要达到至少25级才能进入。","74357","0","15"
"82","需要达到至少45级才能进入。","74506","0","19"
"83","需要达到至少20级才能进入。","20290","0","22"
"84","","5793","0","29"
"85","需要至少达到50级才能进入。","74367","0","34"
"86","需要达到50级才能进入。","74367","0","39"
"87","需要达到至少60级才能进入。","7383","0","41"
"88","需要至少达到50级才能进入。","74367","0","44"
"89","需要达到至少80级才能进入。","7500","0","46"
"90","需要至少达到70级才能进入。","6379","0","47"
"91","需要达到至少65级才能进入。","5960","0","48"
"92","需要至少达到70级才能进入。","6379","0","55"
"93","需要达到70级，并且在一个团队中才能进入。","6379","0","56"
"95","需要至少达到70级才能进入。","6379","0","68"
"96","祖阿曼只有英雄难度可用。","5793","0","70"
"97","需要达到至少57级才能进入。","9915","0","74"
"98","需要达到至少65级才能进入。","5953","0","75"
"99","需要达到至少58级才能进入。","74364","0","76"
"100","需要达到至少65级才能进入。","5953","0","77"
"101","需要达到70级才能进入。","6379","0","78"
"103","需要达到至少63级才能进入。","9918","0","100"
"104","需要达到至少62级才能进入。","9917","0","104"
"105","需要达到至少80级才能进入。","7500","0","110"
"106","需要达到至少65级才能进入。","5953","0","125"
"107","需要达到至少80级才能进入。","7500","0","128"
"108","需要达到33级才能进入。","9910","0","28"
"109","你必须在一个团队中，并且等级至少为80级才能进入。","7500","0","111"
"110","你需要达到85级才能进入英雄难度。","10174","0","821"
"111","需要至少达到70级才能进入。","6379","0","51"
"112","只有至少68级的玩家才能进入。","5977","0","45"
"113","需要达到至少11级才能进入。","9907","0","7"
"114","需要达到至少12级才能进入。","54588","0","13"
"115","需要达到至少15级才能进入。","74354","0","16"
"116","需要达到70级才能进入英雄难度。","6379","0","127"
"117","需要达到至少70级才能进入。","6379","0","341"
"118","需要达到至少90级才能进入。","19479","0","2121"
"119","需要达到至少77级才能进入。","10265","0","747"
"120","你需要达到85级才能进入英雄难度。","10174","0","748"
"121","需要达到至少85级才能进入。","10174","0","809"
"122","你需要达到85级才能进入英雄难度。","10174","0","817"
"123","需要达到至少85级才能进入。","10174","0","823"
"124","需要达到至少39级才能进入。","9912","0","23"
"125","需要先完成任务“深渊的裁决”，并到达80级才能进入英雄难度的映像大厅。","8981","0","342"
"126","需要达到至少85级才能进入。","10174","0","343"
"127","需要达到至少83级才能进入。","11037","0","345"
"128","你需要达到85级才能进入英雄难度。","10174","0","346"
"130","需要达到至少58级才能进入。","74364","0","49"
"131","需要达到至少57级才能进入。","9915","0","50"
"132","需要达到至少15级才能进入。","74354","0","8"
"133","需要达到至少65级才能进入。","5960","0","27"
"134","需要达到至少10级才能进入。","74366","0","33"
"135","需要达到至少80级才能进入。","7500","0","485"
"136","需要达到至少80级才能进入。","7500","0","486"
