Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","Test Brawl","Test brawl description.","","0","2041"
"2","乱斗：南海镇VS塔伦米尔","团队死斗","- 击杀敌方玩家可以获得点数
- 荣誉击杀可以提高你的军衔
- 击杀高级军衔的玩家可以获得更多点数","789","0"
"3","乱斗：魔古接力","能量宝珠","- 急速提高
- 移动速度提高
- 复活时间缩短","858","0"
"4","乱斗：引力失效","占领模式（飞腾）","- 周期性发生重力变化
- 旗帜携带者的重力增加
- 其他所有玩家的重力减轻","859","0"
"5","乱斗：阿拉希暴风雪","占领模式（冰霜）","- 占领目标
- 能见度下降
- 冰冻地形","847","0"
"6","乱斗：深风大灌篮","大灌篮","- 拾取矿井的球
- 将球带到敌方基地
- 投球或者灌篮","860","0"
"7","乱斗：号角之眼","占领模式（山羊）","- 骑乘山羊坐骑！
- 你的山羊有击退技能
- 距离越远，击退越强","862","0"
"8","乱斗：爆棚乱战","15v15竞技场","- 团队死斗
- 每队15名玩家
- 最后存活的团队获胜","866","0"
"9","乱斗：战歌争夺战","夺旗","- 每支队伍拥有数面旗帜
- 只需一面旗帜即可占领
- 可获得随机增益效果箱子","861","0"
"10","乱斗：决战影踪派","5v5竞技场","- 5v5竞技场
- 击败对方的魔古首领后获胜
- 收集召唤出的箱子以获取强化能力","853","0"
"11","乱斗：六人战","6v6战场","- 每队6人
- 全新游戏模式","879","0"
"12","乱斗：六人战 - 吉尔尼斯之战","6v6战场","- 每队6人
- 全新游戏模式","885","0"
"13","乱斗：六人战 - 战歌峡谷","6v6战场","- 每队6人
- 全新游戏模式","886","0"
"14","乱斗：六人战 - 碎银矿脉","6v6战场","- 每队6人
- 全新游戏模式","883","0"
"15","乱斗：六人战 - 寇魔古寺","6v6战场","- 每队6人
- 全新游戏模式","884","0"
"16","乱斗：六人战 - 风暴之眼","6v6战场","- 每队6人
- 全新游戏模式","882","0"
"17","乱斗：碟中碟","收集竞速","- 在农场里收集材料，交给厨师
- 先收集到足够材料的一方获胜！
- 击败敌对阵营的重击者可以让他们加入己方","887","0"
"18","乱斗：熙攘乱战","团队死斗","- 小队死斗
- 每队3名玩家
- 每队前两次死亡的玩家会立刻复活","905","0"
"19","涌泉海滩","收集艾泽里特","菲拉斯近海一座被遗忘的神秘海岛上发现了大量的艾泽里特，如今那里被称作涌泉海滩。","894","0"
"120","乱斗：经典阿什兰","无尽史诗战场","- 阿什兰的战斗永不终结！
- 消灭敌方阵营首领，完成事件以获取奖励
- 从生物身上获取神器碎片并上交，为你的阵营提供增益效果","1021","0"
"121","乱斗：人机对决","占领模式","- 占领目标
- 消灭敌人
- 胜利","0","1966"
"122","冬拥湖","防守或突袭冬拥湖","- 防守方需要守住冬拥堡垒
- 进攻方需要摧毁冬拥堡垒最后的一面墙","1030","0"
"123","乱斗：繁盛海岛","10v10海岛","我们需要更大的船……","0","2025"
"124","科尔拉克的复仇","魔兽世界十五周年活动","","1033","0"
"125","深风峡谷","占领目标","- 占领并守卫目标
- 获得1500份资源","1039","0"
