Id,EffectDescription,AuraDescription,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
"1","对一名敌人造成$s@effectindex点物理伤害。","","2","0","1","3","1","1","0"
"2","对一名敌人造成$s@effectindex点神圣伤害。","","2","0","1","3","2","1","0"
"3","对一名敌人造成$s@effectindex点火焰伤害。","","2","0","1","3","4","1","0"
"4","对一名敌人造成$s@effectindex点自然伤害。","","2","0","1","3","8","1","0"
"5","对一名敌人造成$s@effectindex点冰霜伤害。","","2","0","1","3","16","1","0"
"6","对一名敌人造成$s@effectindex点暗影伤害。","","2","0","1","3","32","1","0"
"7","对一名敌人造成$s@effectindex点奥术伤害。","","2","0","1","3","64","1","0"
"8","对一名敌人造成$s@effectindex点混乱伤害。","","2","0","1","3","127","1","0"
"9","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点物理伤害。","","2","0","1","5","1","1","0"
"10","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点神圣伤害。","","2","0","1","5","2","1","0"
"11","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点火焰伤害。","","2","0","1","5","4","1","0"
"12","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点自然伤害。","","2","0","1","5","8","1","0"
"13","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点冰霜伤害。","","2","0","1","5","16","1","0"
"14","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点暗影伤害。","","2","0","1","5","32","1","0"
"15","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点奥术伤害。","","2","0","1","5","64","1","0"
"16","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点混乱伤害。","","2","0","1","5","127","1","0"
"17","对冲击点周围$A@effectindex码内的敌人造成$s@effectindex点物理伤害。","","2","0","1","7","1","1","0"
"18","对$A@effectindex码内的敌人造成$s@effectindex点神圣伤害。","","2","0","1","7","2","1","0"
"19","对$A@effectindex码内的敌人造成$s@effectindex点火焰伤害。","","2","0","1","7","4","1","0"
"20","对$A@effectindex码内的敌人造成$s@effectindex点自然伤害。","","2","0","1","7","8","1","0"
"21","对$A@effectindex码内的敌人造成$s@effectindex点冰霜伤害。","","2","0","1","7","16","1","0"
"22","对$A@effectindex码内的敌人造成$s@effectindex点暗影伤害。","","2","0","1","7","32","1","0"
"23","对$A@effectindex码内的敌人造成$s@effectindex点奥术伤害。","","2","0","1","7","64","1","0"
"24","对$A@effectindex码内的敌人造成$s@effectindex点混乱伤害。","","2","0","1","7","127","1","0"
"25","每$t@effectindex秒对一名敌人造成$s@effectindex点物理伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点物理伤害。","6","3","1","3","1","10","0"
"26","每$t@effectindex秒对一名敌人造成$s@effectindex点神圣伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点神圣伤害。","6","3","1","3","2","10","0"
"27","每$t@effectindex秒对一名敌人造成$s@effectindex点火焰伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点火焰伤害。","6","3","1","3","4","10","0"
"28","每$t@effectindex秒对一名敌人造成$s@effectindex点自然伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点自然伤害。","6","3","1","3","8","10","0"
"29","每$t@effectindex秒对一名敌人造成$s@effectindex点冰霜伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点冰霜伤害。","6","3","1","3","16","10","0"
"30","每$t@effectindex秒对一名敌人造成$s@effectindex点暗影伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点暗影伤害。","6","3","1","3","32","10","0"
"31","每$t@effectindex秒对一名敌人造成$s@effectindex点奥术伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点奥术伤害。","6","3","1","3","64","10","0"
"32","每$t@effectindex秒对一名敌人造成$s@effectindex点混乱伤害，持续$d。","每$t@effectindex秒受到$s@effectindex点混乱伤害。","6","3","1","3","127","10","0"
"33","使敌人昏迷，无法移动或攻击，持续$d。","昏迷。","6","12","0","3","0","0","0"
"34","使$A@effectindex码内所有盟友的急速提高$s@effectindex%，持续$d。","急速提高$s@effectindex%。","6","193","1","6","0","0","0"
"35","令$A@effectindex码内的所有敌人昏迷，使其无法移动或攻击，持续$d。","昏迷。","6","12","0","7","0","0","0"
"36","令冲击点周围$A@effectindex码内的所有敌人昏迷，使其无法移动或攻击，持续$d。","昏迷。","6","12","0","5","0","0","0"
"37","治疗一个盟友，为其恢复$s@effectindex%的最大生命值。","","136","0","1","2","0","0","0"
"38","使一名敌人无法移动，持续最多$d。","无法移动。","6","26","0","3","0","20","0"
"42","每$t@effectindex秒对一名敌人造成一次暗影伤害，持续$d。","每$t@effectindex秒受到一次暗影伤害。","6","70","1","3","32","0","0"
"43","对一名敌人造成物理伤害。","","31","0","1","3","1","0","0"
"44","对一名敌人造成神圣伤害。","","31","0","1","3","2","0","0"
