Id,Name,Description,Pos0,Pos1,Pos2,PortLocId,PlayerConditionId,UiTextureAtlasMemberId,Flags,WmoGroupId,PoiDataType,PoiData,ContinentId,AreaId,WorldStateId,WidgetSetId,Unknown15,Importance,Icon
"1","安威瑪","","-6134.28","383.763","399.254","0","0","0","517","0","0","0","0","132","0","0","0","3","7"
"2","布瑞爾","","2249.85","278.414","34.1137","0","0","0","517","0","0","0","0","159","0","0","0","2","7"
"3","夜色鎮","","-10564.7","-1170.65","28.0505","0","0","0","517","0","0","0","0","10","0","0","0","3","0"
"4","喪鐘鎮","","1879.83","1588.2","90.172","0","0","0","517","0","0","0","0","154","0","0","0","3","7"
"5","丹奧加茲","","-4191.02","-2373.14","205.151","0","0","0","517","0","0","0","0","836","0","0","0","3","7"
"6","丹莫德","","-2610.26","-2350.56","81.5912","0","0","0","517","0","0","0","0","205","0","0","0","3","7"
"7","閃金鎮","","-9480.09","63.5218","56.1757","0","0","0","517","0","0","0","0","87","0","0","0","3","7"
"8","鐵爐堡","","-4798.776","-1107.497","498.8072","0","0","0","541","0","0","0","0","1","0","0","0","3","46"
"9","卡拉諾斯","","-5585.95","-482.127","397.017","0","0","0","517","0","0","0","0","131","0","0","0","2","7"
"10","湖畔鎮","","-9227.69","-2201.47","63.9334","0","0","0","517","0","0","0","0","44","0","0","0","3","0"
"11","米奈希爾港","","-3672.7","-828.455","9.89915","0","0","0","525","0","0","0","0","11","0","0","0","3","5"
"12","月溪鎮","","-11017.1","1510.17","43.1657","0","0","0","517","0","0","0","0","20","0","0","0","3","7"
"13","北郡修道院","","-8896.16","-179.328","80.2909","0","0","0","517","0","0","0","0","24","0","0","0","3","7"
"14","烏鴉嶺","","-10752.5","310.433","40.1628","0","0","0","517","0","0","0","0","94","0","0","0","3","7"
"15","哨兵嶺","","-10503.7","1027.76","55.5831","0","0","0","517","0","0","0","0","40","0","0","0","3","0"
"16","暴風城","","-8678.426","729.6007","122.3339","0","0","0","541","0","0","0","0","12","0","0","0","3","46"
"17","瑟伯切爾","","508.073","1619.02","125.272","0","0","0","517","0","0","0","0","130","0","0","0","2","0"
"18","幽暗城","","1594.339","240.2882","-52.14296","0","62731","0","541","0","0","0","0","85","0","0","0","4","48"
"19","塞爾薩瑪","","-5349.27","-2959.91","323.627","0","0","0","517","0","0","0","0","38","0","0","0","3","0"
"20","聯盟","","-448.982","-1028.22","431.971","0","0","0","1","0","0","0","37","0","0","0","0","0","0"
"21","部落","","-669.134","-483.289","387.273","0","0","0","1","0","0","0","37","0","0","0","0","0","0"
"22","南海鎮","","-803.031","-531.727","15.9654","0","0","0","0","0","0","0","0","267","0","0","0","3","5"
"23","塔倫米爾","","-27.0354","-900.562","55.9603","0","0","0","517","0","0","0","0","267","0","0","0","2","0"
"24","避難谷地","","-1251.05","-2526.81","20.7117","0","0","0","517","0","0","0","0","320","0","0","0","2","0"
"25","落錘鎮","","-991.57","-3528.34","56.5482","0","0","0","517","0","0","0","0","45","0","0","0","2","0"
"26","卡加斯","","-6676.42","-2186.68","245.829","0","0","0","0","0","0","0","0","3","0","0","0","3","5"
"27","苦痛堡壘","","-6392.65","-3158","299.765","0","0","0","517","0","0","0","0","338","0","0","0","3","7"
