Id,Description,WorldStateValue,IconEnumValue,UiTextureAtlasMemberId
"1051","爭奪中","2","34","0"
"1052","爭奪中","3","32","0"
"1053","部落控制","4","35","0"
"1054","聯盟控制","5","33","0"
"1135","","2","103","0"
"1136","","3","104","0"
"1137","","4","102","0"
"1138","","5","103","0"
"1139","","6","104","0"
"1140","","7","74","0"
"1141","","8","75","0"
"1142","","9","76","0"
"1143","","2","81","0"
"1144","","3","82","0"
"1145","","4","77","0"
"1146","","5","78","0"
"1147","","6","79","0"
"1148","","7","74","0"
"1149","","8","75","0"
"1150","","9","76","0"
"1167","爭奪中","2","24","0"
"1168","爭奪中","3","22","0"
"1169","部落控制","4","25","0"
"1170","聯盟控制","5","23","0"
"1227","","2","109","0"
"1228","","3","110","0"
"1229","","4","108","0"
"1230","","5","109","0"
"1231","","6","110","0"
"1232","","7","74","0"
"1233","","8","75","0"
"1234","","9","76","0"
"1235","","2","78","0"
"1236","","3","79","0"
"1237","","4","77","0"
"1238","","5","78","0"
"1239","","6","79","0"
"1240","","7","74","0"
"1241","","8","75","0"
"1242","","9","76","0"
"1243","","2","81","0"
"1244","","3","82","0"
"1245","","4","80","0"
"1246","","5","81","0"
"1247","","6","82","0"
"1248","","7","74","0"
"1249","","8","75","0"
"1250","","9","76","0"
"1299","爭奪中","2","39","0"
"1300","爭奪中","3","37","0"
"1301","部落控制","4","40","0"
"1302","聯盟控制","5","38","0"
"1303","爭奪中","2","29","0"
"1304","爭奪中","3","27","0"
"1305","部落控制","4","30","0"
"1306","聯盟控制","5","28","0"
"1307","爭奪中","2","19","0"
"1308","爭奪中","3","17","0"
"1309","部落控制","4","20","0"
"1310","聯盟控制","5","18","0"
"1414","","2","7","0"
"1415","","2","7","0"
"1416","","2","7","0"
"1417","","2","7","0"
"1418","","2","7","0"
"1419","","2","7","0"
"1420","","2","7","0"
"1421","","2","7","0"
"1422","","2","7","0"
"1423","","2","7","0"
"1424","","2","7","0"
"1425","","2","7","0"
"1426","","2","7","0"
"1427","提供彌米倫之燬能量","2","52","0"
"1428","提供彌米倫之燬能量","3","53","0"
"1429","提供彌米倫之燬能量","4","6","0"
"1430","提供霍迪爾之怒能量","2","52","0"
"1431","提供霍迪爾之怒能量","3","53","0"
"1432","提供霍迪爾之怒能量","4","6","0"
"1433","提供索林姆之錘能量","2","52","0"
"1434","提供索林姆之錘能量","3","53","0"
"1435","提供索林姆之錘能量","4","6","0"
"1436","","2","7","0"
"1437","","2","7","0"
"1438","","2","7","0"
"1447","","2","7","0"
"1448","","2","7","0"
"1449","","2","7","0"
"1466","","2","106","0"
"1467","","3","107","0"
"1468","","4","105","0"
"1469","","5","106","0"
"1470","","6","107","0"
"1471","","7","74","0"
"1472","","8","75","0"
"1473","","9","76","0"
"1500","","2","7","0"
"1501","","2","7","0"
"1502","","2","44","0"
"1503","","3","43","0"
"1571","爭奪中","0","101","0"
"1572","部落控制","1","48","0"
"1573","聯盟控制","2","46","0"
"1574","爭奪中","0","101","0"
"1575","部落控制","1","48","0"
"1576","聯盟控制","2","46","0"
"1577","爭奪中","0","101","0"
"1578","部落控制","1","48","0"
"1579","聯盟控制","2","46","0"
"1580","爭奪中","0","101","0"
"1581","部落控制","1","48","0"
"1582","聯盟控制","2","46","0"
"1583","爭奪中","0","101","0"
"1584","部落控制","1","48","0"
"1585","聯盟控制","2","46","0"
"1586","中立","1","0","9112"
"1587","爭奪中，部落","2","0","9060"
"1588","爭奪中，聯盟","3","0","9066"
"1589","已佔領，聯盟","5","0","9067"
"1590","","1","0","9111"
"1591","","2","0","9064"
"1592","","5","0","9055"
"1593","","4","0","9065"
"1594","","1","0","9113"
"1595","","2","0","9068"
"1596","","5","0","9053"
"1597","","4","0","9069"
"1598","","1","0","9110"
"1599","","2","0","9062"
"1600","","5","0","9057"
"1601","","4","0","9063"
"1602","已控制，部落","4","0","9061"
"1603","","3","0","9054"
"1604","","3","0","9052"
"1605","","3","0","9056"
"1606","","1","45","0"
"1608","中立","1","6","0"
"1609","","2","12","0"
"1610","","3","9","0"
"1611","","4","10","0"
"1612","","5","11","0"
"1614","","2","19","0"
"1615","","3","17","0"
"1616","","4","20","0"
"1617","","5","18","0"
"1618","","2","29","0"
"1619","","5","28","0"
"1620","","4","30","0"
"1621","","3","27","0"
"1622","中立","1","26","0"
"1623","","0","45","0"
"1624","","1","45","0"
"1625","","2","0","0"
"1626","","3","0","0"
"1627","","4","0","0"
"1628","","5","0","0"
"1631","","2","66","0"
"1632","","3","67","0"
"1633","","4","68","0"
"1634","","9","73","0"
"1635","","6","70","0"
"1636","","7","71","0"
"1637","","8","72","0"
"1638","","5","69","0"
"1639","爭奪中","2","24","0"
"1640","聯盟控制","5","23","0"
"1641","部落控制","4","25","0"
"1642","爭奪中","3","22","0"
"1643","爭奪中","2","39","0"
"1644","聯盟控制","5","38","0"
"1645","部落控制","4","40","0"
"1646","爭奪中","3","37","0"
"1647","爭奪中","2","19","0"
"1648","聯盟控制","5","18","0"
"1649","部落控制","4","20","0"
"1650","爭奪中","3","17","0"
"1651","爭奪中","2","34","0"
"1652","聯盟控制","5","33","0"
"1653","部落控制","4","35","0"
"1654","爭奪中","3","32","0"
"1655","爭奪中","2","29","0"
"1656","聯盟控制","5","28","0"
"1657","部落控制","4","30","0"
"1658","爭奪中","3","27","0"
"1659","爭奪中","2","29","0"
"1660","聯盟控制","5","28","0"
"1661","部落控制","4","30","0"
"1662","爭奪中","3","27","0"
"1663","爭奪中","2","34","0"
"1664","聯盟控制","5","33","0"
"1665","部落控制","4","35","0"
"1666","爭奪中","3","32","0"
"1667","爭奪中","2","39","0"
"1668","聯盟控制","5","38","0"
"1669","部落控制","4","40","0"
"1670","爭奪中","3","37","0"
"1671","爭奪中","2","19","0"
"1672","聯盟控制","5","18","0"
"1673","部落控制","4","20","0"
"1674","爭奪中","3","17","0"
"1675","爭奪中","2","24","0"
"1676","聯盟控制","5","23","0"
"1677","部落控制","4","25","0"
"1678","爭奪中","3","22","0"
"1679","","1","45","0"
"1680","","1","45","0"
"1681","","1","45","0"
"1682","中立","1","16","0"
"1683","","0","45","0"
"1684","","1","44","0"
"1685","","2","43","0"
"1686","","0","45","0"
"1687","","1","44","0"
"1688","","2","43","0"
"1689","","0","45","0"
"1690","","1","44","0"
"1691","","2","43","0"
"1692","","0","45","0"
"1693","","1","44","0"
"1694","","2","43","0"
"1695","","0","45","0"
"1696","","1","44","0"
"1697","","2","43","0"
"1698","","0","45","0"
"1699","","1","44","0"
"1700","","2","43","0"
"1701","","0","45","0"
"1702","","1","44","0"
"1703","","2","43","0"
"1704","","0","45","0"
"1705","","1","44","0"
"1706","","2","43","0"
"1708","提供芙蕾雅之禦能量","2","52","0"
"1709","提供芙蕾雅之禦能量","4","6","0"
"1710","提供芙蕾雅之禦能量","3","53","0"
"1808","","2","54","0"
"1809","","3","55","0"
"1810","","4","10","0"
"1811","","9","51","0"
"1812","","6","53","0"
"1813","","7","11","0"
"1814","","8","50","0"
"1815","","5","52","0"
"1816","","2","54","0"
"1817","","3","55","0"
"1818","","4","10","0"
"1819","","9","51","0"
"1820","","6","53","0"
"1821","","7","11","0"
"1822","","8","50","0"
"1823","","5","52","0"
"1824","","2","54","0"
"1825","","3","55","0"
"1826","","4","10","0"
"1827","","9","51","0"
"1828","","6","53","0"
"1829","","7","11","0"
"1830","","8","50","0"
"1831","","5","52","0"
"1832","","2","54","0"
"1833","","3","55","0"
"1834","","4","10","0"
"1835","","9","51","0"
"1836","","6","53","0"
"1837","","7","11","0"
"1838","","8","50","0"
"1839","","5","52","0"
"1840","","2","54","0"
"1841","","3","55","0"
"1842","","4","10","0"
"1843","","9","51","0"
"1844","","6","53","0"
"1845","","7","11","0"
"1846","","8","50","0"
"1847","","5","52","0"
"1848","","2","54","0"
"1849","","3","55","0"
"1850","","4","10","0"
"1851","","9","51","0"
"1852","","6","53","0"
"1853","","7","11","0"
"1854","","8","50","0"
"1855","","5","52","0"
"1856","","2","54","0"
"1857","","3","55","0"
"1858","","4","10","0"
"1859","","9","51","0"
"1860","","6","53","0"
"1861","","7","11","0"
"1862","","8","50","0"
"1863","","5","52","0"
"1864","","2","66","0"
"1865","","3","67","0"
"1866","","4","68","0"
"1867","","9","73","0"
"1868","","6","70","0"
"1869","","7","71","0"
"1870","","8","72","0"
"1871","","5","69","0"
"1872","","2","66","0"
"1873","","3","67","0"
"1874","","4","68","0"
"1875","","9","73","0"
"1876","","6","70","0"
"1877","","7","71","0"
"1878","","8","72","0"
"1879","","5","69","0"
"1880","","2","66","0"
"1881","","3","67","0"
"1882","","4","68","0"
"1883","","9","73","0"
"1884","","6","70","0"
"1885","","7","71","0"
"1886","","8","72","0"
"1887","","5","69","0"
"1888","","2","66","0"
"1889","","3","67","0"
"1890","","4","68","0"
"1891","","9","73","0"
"1892","","6","70","0"
"1893","","7","71","0"
"1894","","8","72","0"
"1895","","5","69","0"
"1896","","2","66","0"
"1897","","3","67","0"
"1898","","4","68","0"
"1899","","9","73","0"
"1900","","6","70","0"
"1901","","7","71","0"
"1902","","8","72","0"
"1903","","5","69","0"
"1928","","2","93","0"
"1929","","3","94","0"
"1930","","4","95","0"
"1931","","9","100","0"
"1932","","6","97","0"
"1933","","7","98","0"
"1934","","8","99","0"
"1935","","5","96","0"
"1936","","2","93","0"
"1937","","3","94","0"
"1938","","4","95","0"
"1939","","9","100","0"
"1940","","6","97","0"
"1941","","7","98","0"
"1942","","8","99","0"
"1943","","5","96","0"
"1944","","2","84","0"
"1945","","3","85","0"
"1946","","4","86","0"
"1947","","9","91","0"
"1948","","6","88","0"
"1949","","7","89","0"
"1950","","8","90","0"
"1951","","5","87","0"
"1952","","2","84","0"
"1953","","3","85","0"
"1954","","4","86","0"
"1955","","9","91","0"
"1956","","6","88","0"
"1957","","7","89","0"
"1958","","8","90","0"
"1959","","5","87","0"
"1960","","2","93","0"
"1961","","3","94","0"
"1962","","4","95","0"
"1963","","9","100","0"
"1964","","6","97","0"
"1965","","7","98","0"
"1966","","8","99","0"
"1967","","5","96","0"
"1968","","2","93","0"
"1969","","3","94","0"
"1970","","4","95","0"
"1971","","9","100","0"
"1972","","6","97","0"
"1973","","7","98","0"
"1974","","8","99","0"
"1975","","5","96","0"
"1976","","2","84","0"
"1977","","3","85","0"
"1978","","4","86","0"
"1979","","9","91","0"
"1980","","6","88","0"
"1981","","7","89","0"
"1982","","8","90","0"
"1983","","5","87","0"
"1984","","2","75","0"
"1985","","3","76","0"
"1986","","4","77","0"
"1987","","9","82","0"
"1988","","6","79","0"
"1989","","7","80","0"
"1990","","8","81","0"
"1991","","5","78","0"
"1992","","2","84","0"
"1993","","3","85","0"
"1994","","4","86","0"
"1995","","9","91","0"
"1996","","6","88","0"
"1997","","7","89","0"
"1998","","8","90","0"
"1999","","5","87","0"
"2000","","2","93","0"
"2001","","3","94","0"
"2002","","4","95","0"
"2003","","9","100","0"
"2004","","6","97","0"
"2005","","7","98","0"
"2006","","8","99","0"
"2007","","5","96","0"
"2008","","2","93","0"
"2009","","3","94","0"
"2010","","4","95","0"
"2011","","9","100","0"
"2012","","6","97","0"
"2013","","7","98","0"
"2014","","8","99","0"
"2015","","5","96","0"
"2016","","2","84","0"
"2017","","3","85","0"
"2018","","4","86","0"
"2019","","9","91","0"
"2020","","6","88","0"
"2021","","7","89","0"
"2022","","8","90","0"
"2023","","5","87","0"
"2024","","2","84","0"
"2025","","3","85","0"
"2026","","4","86","0"
"2027","","9","91","0"
"2028","","6","88","0"
"2029","","7","89","0"
"2030","","8","90","0"
"2031","","5","87","0"
"2032","","2","93","0"
"2033","","3","94","0"
"2034","","4","95","0"
"2035","","9","100","0"
"2036","","6","97","0"
"2037","","7","98","0"
"2038","","8","99","0"
"2039","","5","96","0"
"2040","","2","93","0"
"2041","","3","94","0"
"2042","","4","95","0"
"2043","","9","100","0"
"2044","","6","97","0"
"2045","","7","98","0"
"2046","","8","99","0"
"2047","","5","96","0"
"2048","","2","93","0"
"2049","","3","94","0"
"2050","","4","95","0"
"2051","","9","100","0"
"2052","","6","97","0"
"2053","","7","98","0"
"2054","","8","99","0"
"2055","","5","96","0"
"2056","","2","93","0"
"2057","","3","94","0"
"2058","","4","95","0"
"2059","","9","100","0"
"2060","","6","97","0"
"2061","","7","98","0"
"2062","","8","99","0"
"2063","","5","96","0"
"2064","","2","93","0"
"2065","","3","94","0"
"2066","","4","95","0"
"2067","","9","100","0"
"2068","","6","97","0"
"2069","","7","98","0"
"2070","","8","99","0"
"2071","","5","96","0"
"2072","","2","84","0"
"2073","","3","85","0"
"2074","","4","86","0"
"2075","","9","91","0"
"2076","","6","88","0"
"2077","","7","89","0"
"2078","","8","90","0"
"2079","","5","87","0"
"2080","","2","84","0"
"2081","","3","85","0"
"2082","","4","86","0"
"2083","","9","91","0"
"2084","","6","88","0"
"2085","","7","89","0"
"2086","","8","90","0"
"2087","","5","87","0"
"2088","","2","84","0"
"2089","","3","85","0"
"2090","","4","86","0"
"2091","","9","91","0"
"2092","","6","88","0"
"2093","","7","89","0"
"2094","","8","90","0"
"2095","","5","87","0"
"2096","","2","93","0"
"2097","","3","94","0"
"2098","","4","95","0"
"2099","","9","100","0"
"2100","","6","97","0"
"2101","","7","98","0"
"2102","","8","99","0"
"2103","","5","96","0"
"2104","","2","93","0"
"2105","","3","94","0"
"2106","","4","95","0"
"2107","","9","100","0"
"2108","","6","97","0"
"2109","","7","98","0"
"2110","","8","99","0"
"2111","","5","96","0"
"2112","","2","93","0"
"2113","","3","94","0"
"2114","","4","95","0"
"2115","","9","100","0"
"2116","","6","97","0"
"2117","","7","98","0"
"2118","","8","99","0"
"2119","","5","96","0"
"2120","","2","75","0"
"2121","","3","76","0"
"2122","","4","77","0"
"2123","","9","82","0"
"2124","","6","79","0"
"2125","","7","80","0"
"2126","","8","81","0"
"2127","","5","78","0"
"2128","控制冬握湖","3","101","0"
"2129","控制冬握湖","2","46","0"
"2130","","2","8","0"
"2131","","3","8","0"
"2132","","4","13","0"
"2133","","9","15","0"
"2134","","6","13","0"
"2135","","7","15","0"
"2136","","8","15","0"
"2137","","5","13","0"
"2138","","2","8","0"
"2139","","3","8","0"
"2140","","4","13","0"
"2141","","9","15","0"
"2142","","6","13","0"
"2143","","7","15","0"
"2144","","8","15","0"
"2145","","5","13","0"
"2146","","2","8","0"
"2147","","3","8","0"
"2148","","4","13","0"
"2149","","9","15","0"
"2150","","6","13","0"
"2151","","7","15","0"
"2152","","8","15","0"
"2153","","5","13","0"
"2154","","2","8","0"
"2155","","3","8","0"
"2156","","4","13","0"
"2157","","9","15","0"
"2158","","6","13","0"
"2159","","7","15","0"
"2160","","8","15","0"
"2161","","5","13","0"
"2162","","2","8","0"
"2163","","3","8","0"
"2164","","4","13","0"
"2165","","9","15","0"
"2166","","6","13","0"
"2167","","7","15","0"
"2168","","8","15","0"
"2169","","5","13","0"
"2170","","2","75","0"
"2171","","3","76","0"
"2172","","4","77","0"
"2173","","9","82","0"
"2174","","6","79","0"
"2175","","7","80","0"
"2176","","8","81","0"
"2177","","5","78","0"
"2178","","2","93","0"
"2179","","3","94","0"
"2180","","4","95","0"
"2181","","9","100","0"
"2182","","6","97","0"
"2183","","7","98","0"
"2184","","8","99","0"
"2185","","5","96","0"
"2186","","2","93","0"
"2187","","3","94","0"
"2188","","4","95","0"
"2189","","9","100","0"
"2190","","6","97","0"
"2191","","7","98","0"
"2192","","8","99","0"
"2193","","5","96","0"
"2194","","2","93","0"
"2195","","3","94","0"
"2196","","4","95","0"
"2197","","9","100","0"
"2198","","6","97","0"
"2199","","7","98","0"
"2200","","8","99","0"
"2201","","5","96","0"
"2202","","2","84","0"
"2203","","3","85","0"
"2204","","4","86","0"
"2205","","9","91","0"
"2206","","6","88","0"
"2207","","7","89","0"
"2208","","8","90","0"
"2209","","5","87","0"
"2210","","2","84","0"
"2211","","3","85","0"
"2212","","4","86","0"
"2213","","9","91","0"
"2214","","6","88","0"
"2215","","7","89","0"
"2216","","8","90","0"
"2217","","5","87","0"
"2218","","2","84","0"
"2219","","3","85","0"
"2220","","4","86","0"
"2221","","9","91","0"
"2222","","6","88","0"
"2223","","7","89","0"
"2224","","8","90","0"
"2225","","5","87","0"
"2226","","2","93","0"
"2227","","3","94","0"
"2228","","4","95","0"
"2229","","9","100","0"
"2230","","6","97","0"
"2231","","7","98","0"
"2232","","8","99","0"
"2233","","5","96","0"
"2234","","2","93","0"
"2235","","3","94","0"
"2236","","4","95","0"
"2237","","9","100","0"
"2238","","6","97","0"
"2239","","7","98","0"
"2240","","8","99","0"
"2241","","5","96","0"
"2242","","2","93","0"
"2243","","3","94","0"
"2244","","4","95","0"
"2245","","9","100","0"
"2246","","6","97","0"
"2247","","7","98","0"
"2248","","8","99","0"
"2249","","5","96","0"
"2250","","2","93","0"
"2251","","3","94","0"
"2252","","4","95","0"
"2253","","9","100","0"
"2254","","6","97","0"
"2255","","7","98","0"
"2256","","8","99","0"
"2257","","5","96","0"
"2258","","2","93","0"
"2259","","3","94","0"
"2260","","4","95","0"
"2261","","9","100","0"
"2262","","6","97","0"
"2263","","7","98","0"
"2264","","8","99","0"
"2265","","5","96","0"
"2266","","2","84","0"
"2267","","3","85","0"
"2268","","4","86","0"
"2269","","9","91","0"
"2270","","6","88","0"
"2271","","7","89","0"
"2272","","8","90","0"
"2273","","5","87","0"
"2274","","2","84","0"
