Id,Name,ArtifactAppearanceSetId,DisplayIndex,UnlockPlayerConditionId,ItemAppearanceModifierId,UiSwatchColor,UiModelSaturation,UiModelOpacity,OverrideShapeshiftFormId,OverrideShapeshiftDisplayId,UiItemAppearanceId,UiAltItemAppearanceId,Flags,UiCameraId,UsablePlayerConditionId
"1","紫色水晶","1","1","0","10","0","0.5","0.5","1","66784","0","0","0","0","0"
"2","藍色水晶","1","2","0","12","0","0.5","0.5","0","0","0","0","0","0","0"
"3","紅水晶","1","3","0","11","0","0.5","0.5","1","66785","0","0","0","0","0"
"5","黃色尖刺","2","1","12549","18","0","0.5","0.5","0","0","0","0","0","0","0"
"6","綠色尖刺","2","3","0","19","0","0.5","0.5","0","0","0","0","0","0","0"
"7","熾炎尖刺","2","2","0","20","0","0.5","0.5","0","0","0","0","0","0","0"
"8","灰燼使者","3","2","37718","9","13946667","0.5","0.5","0","0","0","0","0","62","0"
"9","灰燼使者","3","1","88084","10","12207429","0.5","0.5","0","0","0","0","1","62","0"
"10","灰燼使者","3","3","37719","11","2777830","0.5","0.5","0","0","0","0","0","62","0"
"11","灰燼使者","3","4","37720","12","7194424","0.5","0.5","0","0","0","0","0","62","0"
"12","灰燼使者","4","2","37722","13","13753664","0.5","0.5","0","0","0","0","0","65","0"
"13","灰燼使者","4","1","37721","14","14170168","0.5","0.5","0","0","0","0","0","65","0"
"14","灰燼使者","4","3","37723","15","4341749","0.5","0.5","0","0","0","0","0","65","0"
"15","灰燼使者","4","4","37724","16","2400311","0.5","0.5","0","0","0","0","0","65","0"
"16","灰燼使者","5","1","37725","17","15636775","0.5","0.5","0","0","0","0","0","63","0"
"17","灰燼使者","6","1","37726","18","9769406","0.8","0.7","0","0","0","0","0","66","0"
"18","灰燼使者","6","2","37728","19","5384685","0.5","0.6","0","0","0","0","0","66","0"
"19","灰燼使者","6","3","37729","20","46171","0.7","0.5","0","0","0","0","0","66","0"
"20","灰燼使者","6","4","37730","21","2918886","0.7","0.5","0","0","0","0","0","66","0"
"21","灰燼使者","7","3","52635","22","15526961","0.5","0.5","0","0","0","0","16","64","0"
"22","灰燼使者","7","2","52557","23","16250871","0.5","0.5","0","0","0","0","16","64","0"
"23","灰燼使者","7","1","44699","24","4385004","0.5","0.5","0","0","0","0","8","64","0"
"24","灰燼使者","7","4","52668","25","5054922","0.5","0.5","0","0","0","0","16","64","0"
"25","欺詐者雙刃","8","2","37718","9","3666175","0.5","0.5","0","0","0","0","0","72","0"
"26","欺詐者雙刃","8","1","88117","10","6870528","0.5","0.5","0","0","0","0","1","72","0"
"27","欺詐者雙刃","8","3","37719","11","9845974","0.5","0.5","0","0","0","0","0","72","0"
"28","欺詐者雙刃","8","4","37720","12","15477542","0.5","0.5","0","0","0","0","0","72","0"
"29","欺詐者雙刃","9","2","37722","13","4433378","0.5","0.5","0","0","0","0","0","76","0"
"30","欺詐者雙刃","9","1","37721","14","9627184","0.5","0.5","0","0","0","0","0","76","0"
"31","欺詐者雙刃","9","3","37723","15","9980106","0.5","0.5","0","0","0","0","0","76","0"
"32","欺詐者雙刃","9","4","37724","16","14958913","0.5","0.5","0","0","0","0","0","76","0"
"33","欺詐者雙刃","10","4","37733","17","8200995","0.5","0.5","0","0","0","0","0","75","0"
"34","欺詐者雙刃","10","2","37731","18","9231422","0.5","0.5","0","0","0","0","0","75","0"
"35","欺詐者雙刃","10","3","37732","19","10767320","0.5","0.5","0","0","0","0","0","75","0"
"36","欺詐者雙刃","10","1","37725","20","16064287","0.5","0.5","0","0","0","0","0","75","0"
"37","欺詐者雙刃","11","3","52618","21","13127224","0.5","0.5","0","0","0","0","16","77","0"
"38","欺詐者雙刃","11","2","52485","22","11200571","0.5","0.5","0","0","0","0","16","77","0"
"39","欺詐者雙刃","11","1","44679","23","15311409","0.5","0.5","0","0","0","0","8","77","0"
"40","欺詐者雙刃","11","4","52651","24","12598501","0.5","0.5","0","0","0","0","16","77","0"
"41","欺詐者雙刃","12","3","37729","25","4626395","0.5","0.5","0","0","0","0","0","73","0"
"42","欺詐者雙刃","12","2","37728","26","3657332","0.5","0.5","0","0","0","0","0","73","0"
"43","欺詐者雙刃","12","1","37726","27","7223739","0.5","0.5","0","0","0","0","0","73","0"
"44","欺詐者雙刃","12","4","37730","28","15857465","0.5","0.5","0","0","0","0","0","73","0"
"45","格哈尼爾，始祖之樹","13","1","88086","9","-12527023","0.5","0.5","0","0","0","0","1","61","0"
"46","格哈尼爾，始祖之樹","13","2","37718","10","14759167","0.5","0.5","0","0","0","0","0","61","0"
"47","格哈尼爾，始祖之樹","13","3","37719","11","-14496857","0.5","0.5","0","0","0","0","0","61","0"
"48","格哈尼爾，始祖之樹","13","4","37720","12","-131226","0.5","0.5","0","0","0","0","0","61","0"
"49","格哈尼爾，始祖之樹","14","1","37721","13","-12858266","0.5","0.5","0","0","0","0","0","68","0"
"50","格哈尼爾，始祖之樹","14","2","37722","14","-8716125","0.5","0.5","0","0","0","0","0","68","0"
"51","格哈尼爾，始祖之樹","14","3","37723","15","-9044232","0.5","0.5","0","0","0","0","0","68","0"
"52","格哈尼爾，始祖之樹","14","4","37724","16","-1443782","0.5","0.5","0","0","0","0","0","68","0"
"53","格哈尼爾，始祖之樹","15","2","37731","17","-5955107","0.5","0.5","0","0","0","0","0","60","0"
"54","格哈尼爾，始祖之樹","15","1","37725","18","-2621457","0.5","0.5","0","0","0","0","0","60","0"
"55","格哈尼爾，始祖之樹","15","3","37732","19","42719","0.5","0.5","0","0","0","0","0","60","0"
"56","格哈尼爾，始祖之樹","15","4","37733","20","2621373","0.5","0.5","0","0","0","0","0","60","0"
"57","格哈尼爾，始祖之樹","16","2","37728","21","1834826","0.5","0.5","0","0","0","0","0","69","0"
"58","格哈尼爾，始祖之樹","16","1","37726","22","7995557","0.5","0.5","0","0","0","0","0","69","0"
"59","格哈尼爾，始祖之樹","16","3","37729","23","12910592","0.5","0.5","0","0","0","0","0","69","0"
"60","格哈尼爾，始祖之樹","16","4","37730","24","-12486401","0.5","0.5","0","0","0","0","0","69","0"
"61","格哈尼爾，始祖之樹","17","2","39784","25","3800902","0.5","0.5","0","0","0","0","0","70","0"
"62","格哈尼爾，始祖之樹","17","1","42275","26","-10008885","0.5","0.5","0","0","0","0","0","70","0"
"63","格哈尼爾，始祖之樹","17","3","39785","27","13369344","0.5","0.5","0","0","0","0","0","70","0"
"64","格哈尼爾，始祖之樹","17","4","39786","28","-13534254","0.5","0.5","0","0","0","0","0","70","0"
"66","大地守護者之鱗","20","1","88083","12","13256731","0.6","0.45","0","0","0","0","1","71","0"
"67","吞噬者之牙","21","1","88102","9","8187704","0.5","0.5","0","0","0","0","1","0","0"
"68","吞噬者之牙","21","2","37718","10","4099302","0.5","0.5","0","0","0","0","0","0","0"
