Id,Description,SourceText,CreatureId,SummonSpellId,IconFileDataId,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneId,LoadoutUIModelSceneId
"2","","","61892","0","132332","4","49","-1","6","7"
"39","一個機械松鼠的邏輯中樞會告訴它要為了過冬而收集堅果和螺絲。","|cFFFFD200專業技能：|r工程學","2671","4055","656559","9","2","3","6","7"
"40","冬妮‧安薩妮婭計畫在她死時要有一隻孟買貓陪葬。一名有智慧的冒險家能對其天賦做更有效的運用。","|cFFFFD200商人：|r冬妮‧安薩妮婭|n|cFFFFD200區域：|r艾爾文森林|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7385","10673","656575","7","2","2","6","7"
"41","冬妮‧安薩妮婭邀請這些貓參加她的飲茶派對。但她不會提供牠們最喜歡的飲料:牠們敵人的眼淚。","|cFFFFD200商人：|r冬妮‧安薩妮婭|n|cFFFFD200區域：|r艾爾文森林|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7384","10674","656577","7","2","2","6","7"
"42","老奧特蘭克人有句話：「貓有九條命，但只需要一條。」","|cFFFFD200掉落：|r世界掉落|n|cFFFFD200區域：|r希爾斯布萊德丘陵","7383","10675","656574","7","2","0","6","7"
"43","上次試著教導這隻貓保持屋內清潔的人很快就體會到，髒掉的地板比到處都是打壞的東西來得好。","|cFFFFD200商人：|r冬妮‧安薩妮婭、史蒂芬‧李斯本|n|cFFFFD200區域：|r艾爾文森林|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7382","10676","656578","7","2","2","6","7"
"44","以其藍色的眼睛聞名。也被巨型魚人視為佳餚。","|cFFFFD200商人：|r商人洛斯汗德|n|cFFFFD200區域：|r虛空風暴|n|cFFFFD200花費：|r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7380","10677","656579","7","2","2","6","7"
"45","睡覺是這隻貓第五喜歡的活動。第一名是打哈欠。","|cFFFFD200商人：|r冬妮‧安薩妮婭|n|cFFFFD200區域：|r艾爾文森林|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7381","10678","656580","7","2","2","6","7"
"46","「皇后有三隻小貓。第一隻給了她一隻多汁的老鼠。第二隻給了她一隻好吃的野兔。然後她最愛的白色那隻，獻給她敵人的頭顱。」","|cFFFFD200商人：|r利爾‧迪米|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7386","10679","656581","7","2","2","6","7"
"47","聽說這隻聰明的鳥學會了說話，但牠也聰明地懂得閉嘴。","|cFFFFD200商人：|r哈利‧無鉤，納爾克|n|cFFFFD200區域：|r荊棘谷海角|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","7390","10680","132921","2","2","2","6","7"
