Id,Text,Text1,LanguageId,ConditionId,EmotesId,Flags,ChatBubbleDurationMs,SoundEntriesId0,SoundEntriesId1,EmoteId0,EmoteId1,EmoteId2,EmoteDelay0,EmoteDelay1,EmoteDelay2
"1","救命啊!我動不了了!","","0","0","0","70","0","0","0","0","0","0","0","0","0"
"3927","自毀程序已啟動。","","0","0","0","69","0","0","0","0","0","0","0","0","0"
"9426","讓火焰淨化一切！","","0","0","0","71","0","8046","0","0","0","0","0","0","0"
"15708","","來吧，這邊走。","7","0","0","68","0","0","44118","0","0","0","0","0","0"
"33630","夠了，獸人！下來投降或接受死亡！","夠了，獸人！下來投降或接受死亡！","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33631","","別擋我們的路，蠢貨們！","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33996","生命終將殞落。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"33997","我只盡我的本分。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34001","你的時間用盡了。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34012","或許是你們在天性上的缺陷--也因此賦予你們自由的意志--使你們得以與宇宙運行的法則所抗衡。你達成了泰坦的完美造物也無法完成的使命。","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"42407","","去吧，我的納迦!迎接強大的獵潮者來到艾澤拉斯!","0","0","1","118","0","0","18874","0","0","0","0","0","0"
"42434","你和你的鱗片小蟲們不配當我的對手...","","0","0","0","118","0","19457","0","0","0","0","0","0","0"
"42435","","愚蠢的傢伙!今天就是你的忌日!","0","0","15","118","0","0","18875","0","0","0","0","0","0"
"42518","你們挑戰了我的極限，小蛇。你們將會為你們的侵入付出慘痛的代價。","","0","0","0","118","0","19463","0","0","0","0","0","0","0"
"42545","","來我這，僕從們!立刻攻擊!","0","0","15","118","0","0","18876","0","0","0","0","0","0"
"44211","","就是現在!放出海怪!","0","0","15","118","0","0","18877","0","0","0","0","0","0"
"44212","啊啊啊啊...","","0","0","0","118","0","19464","0","0","0","0","0","0","0"
"44213","","跟著我，寵物們!奈普圖隆的領域終於成為我們的了!","0","0","15","118","0","0","18878","0","0","0","0","0","0"
"44214","現在呢，老朋友?","","0","0","1","118","0","21217","0","0","0","0","0","0","0"
