Id,PlayerConditionId,OrderIndex,CampaignId
"15","202","62173","1"
"16","289","62174","1"
"17","367","62175","1"
"23","454","62184","2"
"24","547","62185","2"
"25","624","62186","2"
"29","717","62523","1"
"30","804","62524","2"
"147","882","69018","2"
"152","944","72028","1"
"153","1012","72029","2"
"155","1086","76937","111"
"156","1139","77905","114"
"157","96","78570","118"
"160","1172","86469","125"
"161","80","85644","126"
"167","72","87109","111"
"168","1200","86968","113"
"170","1239","86971","113"
"171","1278","86974","113"
"172","1318","86977","113"
"174","1358","86981","113"
"175","1398","86984","113"
"176","1438","86990","113"
"177","8","87254","114"
