Id,Name,Filename,NameMale,NameFemale,PetNameToken,CreateScreenFileDataId,SelectScreenFileDataId,IconFileDataId,LowResScreenFileDataId,StartingLevel,SpellTextureFileDataId,Flags,CinematicSequenceId,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet
"1537","戰士","WARRIOR","戰士","戰士","PET","1675","1726","1506","1502","1","0","0","0","36184","9","0","0","0","0","0"
"1679","聖騎士","PALADIN","聖騎士","聖騎士","PET","1856","1598","1649","1645","2","0","0","0","36179","9","0","0","0","0","0"
"1813","獵人","HUNTER","獵人","獵人","PET","1939","1470","1787","1783","3","0","0","0","36176","9","0","0","0","0","0"
"1883","盜賊","ROGUE","盜賊","盜賊","PET","2069","1342","1858","1854","4","0","0","0","36181","9","0","0","0","0","0"
"2005","牧師","PRIEST","牧師","牧師","PET","2146","1214","1979","1975","5","0","0","0","36180","9","0","0","0","0","0"
"2105","死亡騎士","DEATHKNIGHT","死亡騎士","死亡騎士","PET","1035","2266","2068","2064","6","236082","39474","3","4699","2","0","41","208","23","0"
"2239","薩滿","SHAMAN","薩滿","薩滿","PET","2398","958","2213","2209","7","0","0","0","36182","9","0","0","0","0","0"
"2365","法師","MAGE","法師","法師","PET","2596","830","2341","2337","8","0","0","0","36177","9","0","0","0","0","0"
"2539","術士","WARLOCK","術士","術士","DEMON","2468","702","2506","2502","9","0","0","0","36183","9","0","0","0","0","0"
"2559","武僧","MONK","武僧","武僧","PET","832","2723","2535","2531","10","0","0","0","36178","9","0","0","0","0","0"
"2644","德魯伊","DRUID","德魯伊","德魯伊","PET","2833","446","2616","2612","11","0","0","0","36175","9","0","0","0","0","0"
"2822","惡魔獵人","DEMONHUNTER","惡魔獵人","惡魔獵人","PET","267","2980","2785","2781","12","1305036","59852","19","39807","3","0","126","207","23","0"
