Id,Name,ChrCustomizationOptionId,ChrCustomizationReqId,OrderIndex,Color,Color2,OrderIndex2,Flags
"1","","9","291","0","-1654626","0","40","0"
"2","","9","291","1","-2312813","0","41","0"
"3","","9","291","2","-3036537","0","42","0"
"4","","9","291","3","-3694724","0","43","0"
"5","","9","291","4","-4352911","0","44","0"
"6","","9","291","5","-5076891","0","45","0"
"7","","9","291","6","-5735078","0","46","0"
"8","","9","291","7","-6458802","0","47","0"
"9","","9","291","8","-7116989","0","48","0"
"10","","9","291","9","-10142692","0","49","0"
"11","","9","12","10","11961695","0","100","0"
"12","","9","12","11","0","0","101","0"
"13","","9","53","12","11640187","0","70","0"
"14","","9","53","13","11377493","0","71","0"
"15","","9","53","14","-6717857","0","72","0"
"16","","9","12","15","11968895","0","102","0"
"17","","9","10","16","0","0","103","0"
"18","","9","12","17","0","0","104","0"
"20","","10","141","0","0","0","0","0"
"21","","10","141","1","0","0","1","0"
"22","","10","141","2","0","0","2","0"
"23","","10","141","3","0","0","3","0"
"24","","10","141","4","0","0","4","0"
"25","","10","141","5","0","0","5","0"
"26","","10","141","6","0","0","6","0"
"27","","10","141","7","0","0","7","0"
"28","","10","141","8","0","0","8","0"
"29","","10","141","9","0","0","9","0"
"30","","10","141","10","0","0","10","0"
"31","","10","141","11","0","0","11","0"
"44","光頭","11","141","0","0","0","0","0"
"45","農夫","11","141","1","0","0","1","0"
"46","士兵","11","141","2","0","0","2","0"
"47","僧侶","11","141","3","0","0","3","0"
"48","野蠻人","11","141","4","0","0","4","0"
"49","瀟灑","11","141","5","0","0","5","0"
"50","蓬鬆","11","141","6","0","0","6","0"
"51","侍臣","11","141","7","0","0","7","0"
"52","學者","11","141","8","0","0","8","0"
"53","盜賊","11","141","9","0","0","9","0"
"54","酷炫","11","141","10","0","0","10","0"
"55","大力士","11","141","11","0","0","11","0"
"56","鬥士","11","141","12","0","0","12","0"
"57","刺蝟頭","11","141","13","0","0","13","0"
"58","後梳","11","141","14","0","0","14","0"
"59","狐尾","11","141","15","0","0","15","0"
"60","長髮","11","141","16","0","0","16","0"
"61","","12","35","0","3815996","0","1","0"
"62","","12","35","1","8935702","0","7","0"
"63","","12","35","2","11559219","0","3","0"
"64","","12","35","3","11356928","0","4","0"
"65","","12","35","4","13726464","0","6","0"
"66","","12","35","5","12287002","0","8","0"
"67","","12","35","6","-3563710","0","9","0"
"68","","12","35","7","10319959","0","5","0"
"69","","12","35","8","7630177","0","10","0"
"70","","12","35","9","13092807","0","11","0"
"71","","12","73","10","-13090448","0","12","0"
"72","","12","73","11","-6581634","-10269341","13","0"
"73","","12","73","12","-6247249","-11316614","14","0"
"74","","12","10","13","0","0","100","0"
"76","無","13","141","0","0","0","0","0"
"77","山羊鬍","13","141","1","0","0","1","0"
"78","濃密","13","141","2","0","0","2","0"
"79","分束","13","141","3","0","0","3","0"
"80","厚實","13","141","4","0","0","4","0"
"81","修短","13","141","5","0","0","5","0"
"82","下巴鬍","13","141","6","0","0","6","0"
"83","一小搓","13","141","7","0","0","7","0"
"85","","14","318","0","-1654626","0","40","0"
"86","","14","318","1","-2312813","0","41","0"
"87","","14","318","2","-3036537","0","42","0"
"88","","14","318","3","-3694724","0","43","0"
"89","","14","318","4","-4352911","0","44","0"
"90","","14","318","5","-5076891","0","45","0"
"91","","14","318","6","-5735078","0","46","0"
"92","","14","318","7","-6458802","0","47","0"
"93","","14","318","8","-7116989","0","48","0"
"94","","14","318","9","-10142692","0","49","0"
"95","","14","12","10","0","0","100","0"
"96","","14","12","11","0","0","101","0"
"97","","14","319","12","12563876","0","70","0"
"98","","14","319","13","-4544423","0","71","0"
"99","","14","319","14","-6059911","0","72","0"
"100","","14","10","15","0","0","102","0"
"101","","14","12","16","0","0","103","0"
"102","","15","141","0","0","0","0","0"
"103","","15","141","1","0","0","1","0"
"104","","15","141","2","0","0","2","0"
"105","","15","141","3","0","0","3","0"
"106","","15","141","4","0","0","4","0"
"107","","15","141","5","0","0","5","0"
"108","","15","141","6","0","0","6","0"
"109","","15","141","7","0","0","7","0"
"110","","15","141","8","0","0","8","0"
"111","","15","141","9","0","0","9","0"
"112","","15","141","10","0","0","10","0"
"113","","15","141","11","0","0","11","0"
"114","","15","141","12","0","0","12","0"
"115","","15","141","13","0","0","13","0"
"116","","15","141","14","0","0","14","0"
"132","直髮","16","141","0","0","0","0","0"
"133","蓬鬆","16","141","1","0","0","1","0"
"134","瀏海","16","141","2","0","0","2","0"
"135","厚重","16","141","3","0","0","3","0"
"136","分線長髮","16","141","4","0","0","4","0"
"137","輕飄飄","16","141","5","0","0","5","0"
"138","男生頭","16","141","6","0","0","6","0"
"139","右分線馬尾","16","141","7","0","0","7","0"
"140","左分線馬尾","16","141","8","0","0","8","0"
"141","耳下短髮","16","141","9","0","0","9","0"
"142","打層次","16","141","10","0","0","10","0"
"143","短髮","16","141","11","0","0","11","0"
"144","俏麗","16","141","12","0","0","12","0"
"145","波浪","16","141","13","0","0","13","0"
"146","圓髻","16","141","14","0","0","14","0"
"147","分線短髮","16","141","15","0","0","15","0"
"148","耳下捲髮","16","141","16","0","0","16","0"
"149","隨便綁一綁","16","141","17","0","0","17","0"
"150","緊貼","16","141","18","0","0","18","0"
"151","復古","16","141","19","0","0","19","0"
"152","時尚","16","141","20","0","0","20","0"
"153","捲曲","16","141","21","0","0","21","0"
"154","瑞秋頭","16","141","22","0","0","22","0"
"155","簡單","16","141","23","0","0","23","0"
"156","","17","41","0","4734261","0","1","0"
"157","","17","41","1","9382707","0","3","0"
"158","","17","41","2","10705719","0","5","0"
"159","","17","41","3","-3195392","0","4","0"
"160","","17","41","4","13726464","0","7","0"
"161","","17","41","5","12287002","0","8","0"
"162","","17","41","6","13213506","0","9","0"
"163","","17","41","7","10319959","0","6","0"
"164","","17","41","8","7630177","0","10","0"
"165","","17","41","9","12234921","0","11","0"
"166","","17","71","10","-13286001","0","12","0"
"167","","17","71","11","-4873338","-6723225","13","0"
"168","","17","71","12","-5522763","-11446403","14","0"
"169","","17","10","13","0","0","100","0"
"353","","19","141","0","-7690706","0","1","0"
"354","","19","141","1","-5785047","0","2","0"
"355","","19","141","2","-5395676","0","3","0"
"356","","19","141","3","-7041237","0","6","0"
"357","","19","141","4","-6190045","0","5","0"
"358","","19","141","5","-5399000","0","4","0"
"359","","19","141","6","-11369111","0","12","0"
"360","","19","141","7","-8740547","0","9","0"
"361","","19","141","8","-7162561","0","8","0"
"362","","19","12","9","0","0","90","0"
"363","","19","12","10","0","0","91","0"
"364","","19","12","11","0","0","92","0"
"365","","19","12","12","0","0","93","0"
"366","","19","12","13","0","0","94","0"
"367","","19","12","14","0","0","95","0"
"368","","19","80","15","9669013","0","71","0"
"369","","19","80","16","-4550092","0","70","0"
"370","","19","80","17","-8558503","0","72","0"
"371","","19","12","18","0","0","96","0"
"372","","19","12","19","0","0","97","0"
"373","","19","12","20","0","0","98","0"
"374","","19","12","21","0","0","99","0"
"375","","19","12","22","0","0","100","0"
"376","","19","12","23","0","0","101","0"
"377","","19","12","24","0","0","102","0"
"378","","19","12","25","0","0","103","0"
"379","","19","12","26","0","0","104","0"
"380","","19","12","27","0","0","105","0"
"381","","19","12","28","0","0","106","0"
"382","","19","12","29","0","0","107","0"
"383","","19","10","30","0","0","108","0"
"384","","20","146","0","0","0","0","0"
"385","","20","146","1","0","0","1","0"
"386","","20","146","2","0","0","2","0"
"387","","20","146","3","0","0","3","0"
"388","","20","146","4","0","0","4","0"
"389","","20","146","5","0","0","5","0"
"390","","20","146","6","0","0","6","0"
"391","","20","146","7","0","0","7","0"
"392","","20","146","8","0","0","8","0"
"393","","20","142","9","0","0","9","0"
"394","","20","142","10","0","0","10","0"
"395","","20","142","11","0","0","11","0"
"396","","20","142","12","0","0","12","0"
"397","","20","142","13","0","0","13","0"
"398","","20","142","14","0","0","14","0"
"399","","20","142","15","0","0","15","0"
"400","","20","142","16","0","0","16","0"
"401","","20","142","17","0","0","17","0"
"402","光頭","21","141","0","0","0","0","0"
"403","頂髻","21","141","1","0","0","1","0"
"404","武士髻","21","141","2","0","0","2","0"
"405","冠毛","21","141","3","0","0","3","0"
