Id,Name,MapId,DifficultyId,OrderIndex,Unknown5,Bit,CreatureDisplayId,Flags,SpellIconFileId,Unknown1
"227","高階審問者格斯塔恩","230","1","0","4625","0","0","4","0","-1"
"228","洛考爾領主","230","1","1000","4626","1","0","4","0","-1"
"229","馴犬者格雷布瑪爾","230","1","2000","4627","2","0","4","0","-1"
"230","秩序競技場","230","1","3000","4628","3","0","4","0","-1"
"231","火占師羅格雷恩","230","1","4000","4629","4","0","4","0","-1"
"232","伊森迪奧斯領主","230","1","5000","4630","5","0","4","0","-1"
"233","守衛斯迪爾基斯","230","1","6000","4633","6","0","4","0","-1"
"234","弗諾斯‧達克維爾","230","1","7000","4634","7","0","4","0","-1"
"235","貝爾加","230","1","8000","4635","8","0","4","0","-1"
"236","安格弗將軍","230","1","9000","4636","9","0","4","0","-1"
"237","魔像領主阿格曼奇","230","1","10000","4637","10","0","4","0","-1"
"238","霍爾雷‧黑息","230","1","11000","4638","11","0","4","0","-1"
"239","法拉克斯","230","1","12000","4639","12","0","4","0","-1"
"240","雷布里‧斯庫比格特","230","1","13000","4640","13","0","4","0","-1"
"241","普拉格‧史帕齊林","230","1","14000","4641","14","0","4","0","-1"
"242","弗萊拉斯大使","230","1","15000","4642","15","0","4","0","-1"
"243","七賢","230","1","16000","4643","16","0","4","0","-1"
"244","瑪格姆斯","230","1","17000","4644","17","0","4","0","-1"
"245","達格蘭‧索瑞森大帝","230","1","18000","4645","18","0","4","0","-1"
"250","約兒","557","2","1500","4607","3","0","4","0","-1"
"267","歐莫克大王","229","1","0","4646","0","0","4","0","-1"
"268","暗影獵手沃許加斯","229","1","1000","4647","1","0","4","0","-1"
"269","將領沃恩","229","1","2000","4648","2","0","4","0","-1"
"270","煙網蛛后","229","1","3000","4649","3","0","4","0","-1"
"271","烏洛克‧末日嚎","229","1","4000","4650","4","0","4","0","-1"
"272","軍需官茲格雷斯","229","1","5000","4651","5","0","4","0","-1"
"273","『奴役者』基茲盧爾","229","1","6000","4652","6","0","4","0","-1"
"274","哈雷肯","229","1","5500","4653","7","0","4","0","-1"
"275","維姆薩拉克主宰","229","1","8000","4654","8","0","4","0","-1"
"343","瑟雷姆‧刺蹄","429","1","0","4669","0","0","4","0","-1"
"344","海多斯博恩","429","1","1000","4670","1","0","4","0","-1"
"345","蕾瑟塔蒂絲","429","1","2000","4671","2","0","4","0","-1"
"346","『狂野變形者』奧茲恩","429","1","3000","4672","3","0","4","0","-1"
"347","伊琳娜‧鴉橡","429","1","4000","4676","4","0","4","0","-1"
"348","博學者卡雷迪斯","429","1","5000","4675","5","0","4","0","-1"
"349","伊莫塔爾","429","1","6000","4676","6","0","4","0","-1"
"350","特迪斯‧扭木","429","1","3500","4673","7","0","4","0","-1"
"361","托塞德林王子","429","1","7000","4677","8","0","4","0","-1"
"362","衛兵摩爾達","429","1","8000","4678","9","0","4","0","-1"
"363","踐踏者克雷格","429","1","9000","4679","10","0","4","0","-1"
"364","守衛芬古斯","429","1","10000","4680","11","0","4","0","-1"
"365","衛兵斯里基克","429","1","11000","4681","12","0","4","0","-1"
"366","隊長克羅卡斯","429","1","12000","4682","13","0","4","0","-1"
"367","『觀察者』克魯什","429","1","13000","4683","14","0","4","0","-1"
"368","戈多克大王","429","1","14000","1544","15","0","4","0","-1"
"378","黏性輻射塵","90","1","2500","4693","1","0","4","0","-1"
"379","格魯比斯","90","1","2000","4694","2","0","4","0","-1"
"380","電刑器6000型","90","1","3000","4695","3","0","4","0","-1"
"381","群體打擊者9-60","90","1","4000","4696","4","0","4","0","-1"
"382","機電師瑟瑪普拉格","90","1","5000","4697","5","0","4","0","-1"
"422","諾克賽恩","349","1","0","4703","0","0","4","0","-1"
"423","銳刺鞭笞者","349","1","1000","4704","1","0","4","0","-1"
"424","維利塔恩領主","349","1","2000","4705","2","0","4","0","-1"
"425","被詛咒的塞雷布拉斯","349","1","3000","4706","3","0","4","0","-1"
"426","蘭斯利德","349","1","4000","4707","4","0","4","0","-1"
"427","技工吉茲洛克","349","1","1500","4708","5","0","4","0","-1"
"428","洛特格里普","349","1","6000","4709","6","0","4","0","-1"
"429","瑟萊德絲公主","349","1","7000","4710","7","0","4","0","-1"
"438","魯古格","47","1","375","8591","0","0","0","0","-1"
"444","審問者韋沙斯","189","1","0","4567","0","0","0","0","-1"
"446","馴犬者洛克希","189","1","2000","4569","2","0","0","0","-1"
"447","秘法師杜安","189","1","3000","4570","3","0","0","0","-1"
"448","赫洛德","189","1","4000","4571","4","0","0","0","-1"
"449","高階審判官法爾班克斯","189","1","5000","4572","5","0","0","0","-1"
"450","高階審判官懷特邁恩","189","1","6000","1201","6","0","0","0","-1"
"451","傳令官基爾圖諾斯","289","1","0","4573","0","0","0","0","-1"
"452","詹迪斯‧巴羅夫","289","1","1000","4574","1","0","0","0","-1"
"453","血骨傀儡","289","1","2000","4575","2","0","0","0","-1"
"454","馬杜克‧布萊克波爾","289","1","3000","4576","3","0","0","0","-1"
"455","維克圖斯","289","1","4000","4577","4","0","0","0","-1"
"456","萊斯‧霜語","289","1","5000","4578","5","0","0","0","-1"
"457","講師瑪麗希亞","289","1","6000","4588","6","0","0","0","-1"
"458","瑟爾林‧卡斯迪諾夫教授","289","1","7000","4589","7","0","0","0","-1"
"459","博學者普克爾特","289","1","8000","4590","8","0","0","0","-1"
"460","拉文尼亞","289","1","9000","4591","9","0","0","0","-1"
"461","阿萊克斯‧巴羅夫領主","289","1","10000","4592","10","0","0","0","-1"
"462","伊露希亞‧巴羅夫女士","289","1","11000","4593","11","0","0","0","-1"
"463","黑暗院長加丁","289","1","12000","4594","12","0","0","0","-1"
"472","不可寬恕者","329","1","6500","4719","0","0","4","0","-1"
"473","爐邊歌手弗瑞斯坦","329","1","1000","4720","1","0","4","0","-1"
"474","殘忍的提米","329","1","2000","4721","2","0","4","0","-1"
"475","威利‧希望破除者","329","1","3000","4723","3","0","4","0","-1"
"476","指揮官瑪洛爾","329","1","2500","4722","4","0","4","0","-1"
"477","古卷管理者加爾福特","329","1","5000","4724","5","0","4","0","-1"
"478","巴納札爾","329","1","6000","4725","6","0","4","0","-1"
"479","安娜絲塔麗男爵夫人","329","1","7000","4726","7","0","4","0","-1"
"480","奈幽布恩坎","329","1","8000","4727","8","0","4","0","-1"
"481","蒼白的瑪勒基","329","1","9000","4728","9","0","4","0","-1"
"482","巴瑟拉斯鎮長","329","1","10000","4729","10","0","4","0","-1"
"483","『暴食者』拉姆斯登","329","1","11000","4730","11","0","4","0","-1"
"484","奧里爾斯‧瑞文戴爾領主","329","1","12000","4731","12","0","4","0","-1"
"486","德姆塞卡爾","109","1","1000","4734","1","0","4","0","-1"
"487","德拉維沃爾","109","1","2000","4735","2","0","4","0","-1"
"488","『預言者』迦瑪蘭","109","1","500","121","3","0","4","0","-1"
"490","摩弗拉斯","109","1","5000","4737","5","0","4","0","-1"
"491","哈札斯","109","1","6000","4738","6","0","4","0","-1"
"492","哈卡的化身","109","1","-500","4739","7","0","4","0","-1"
"493","伊蘭尼庫斯之影","109","1","8000","4740","8","0","4","0","-1"
"519","冰凍的指揮官","576","2","0","3685","0","0","0","0","-1"
"520","大魔導師特雷斯翠","576","1","0","3691","1","0","4","0","-1"
"521","大魔導師特雷斯翠","576","2","1000","3691","1","0","0","0","-1"
"522","艾諾瑪路斯","576","1","1000","3692","2","0","0","0","-1"
"523","艾諾瑪路斯","576","2","2000","3692","2","0","0","0","-1"
"524","『塑樹者』歐爾莫洛克","576","1","2000","3693","3","0","0","0","-1"
"525","『塑樹者』歐爾莫洛克","576","2","3000","3693","3","0","0","0","-1"
"526","凱瑞史卓莎","576","1","3000","3694","4","0","0","0","-1"
"527","凱瑞史卓莎","576","2","4000","3694","4","0","0","0","-1"
"528","『審問者』德拉高斯","578","1","0","3869","0","0","0","0","-1"
"529","『審問者』德拉高斯","578","2","1000","3869","0","0","0","0","-1"
"530","瓦羅斯‧雲行者","578","1","1000","3871","1","0","0","0","-1"
"531","瓦羅斯‧雲行者","578","2","2000","3871","1","0","0","0","-1"
