Id,Description,FactionId,TextureFileId
"876","農夫老豐把你視為%s。農夫老豐喜歡溼地百合和炭烤野雉。","872","0"
"860","奇奇把你視為%s。奇奇喜歡藍色羽毛和峽谷快炒。","856","0"
"844","艾拉把你視為%s。艾拉喜歡玉貓和鮮蝦蒸餃。","840","0"
"828","小魚‧跌蘆把你視為%s。小魚喜歡玉貓和雙魚拼盤。","824","0"
"812","吉娜‧泥爪把你視為%s。吉娜喜歡溼地百合和繚繞薄霧湯。","808","0"
"796","好漢‧泥爪把你視為%s。好漢‧泥爪喜歡紅寶石裂片和火烤老虎肉排。","792","0"
"780","『酒鬼』酒骨把你視為%s。酒骨喜歡可愛的蘋果和炒胡蘿蔔。","776","0"
"764","老丘爪把你視為%s。老丘爪喜歡藍色羽毛和燉龜肉。","760","0"
"748","阿秀把你視為%s。阿秀喜歡可愛的蘋果和恆春魚。","744","0"
"732","蒂娜‧泥爪把你視為%s。蒂娜喜歡紅寶石裂片和火靈鮭魚。","728","0"
"716","糯米是個非常聰明的%s廚師。透過你每堂教導他的課程，他的技術都會變得更加成熟!","712","0"
"700","納特把你視為%s。納特喜歡喝酒。也許你幫他找到更多罕見魚類的話，他會願意跟你分享!","696","0"
"684","你目前在鬥陣競技場的排名是%s。","680","0"
"668","你目前在畢茲摩鬥陣俱樂部的排名是%s。","664","0"
"652","暗矛反抗軍現在的物資%s。","648","0"
"636","托爾瑪克目前是你的%s。","632","0"
"620","防衛者伊蘿娜目前是你的%s。","616","0"
"604","愛伊達‧明曦目前是你的%s。","600","0"
"588","德爾瓦‧鐵拳目前是你的%s。","584","0"
"572","薇薇安妮目前是你的%s。","568","0"
"556","魔爪祭司艾夏歐目前是你的%s。","552","0"
"540","雷歐拉杰目前是你的%s。","536","0"
"524","%s","520","0"
"508","%s","504","0"
"492","首席秘法師薩莉瑟拉是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的飢渴。","488","0"
"476","西爾格林是%s。

夜落精靈對|cFF66BBFF上古法力|r有著無盡的飢渴。在蘇拉瑪爾有許多天然的源頭，但是都比不上夜井。","472","0"
"460","首席傳送師歐庫雷斯是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的飢渴。","456","0"
"444","7.0 Champions Test - Chen Stormstout - Uses Test Faction (949)","440","0"
"428","秘法師薇兒塔是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的饑渴。","424","0"
"412","咒術師瑪苟斯把你當作%s。他對魔法沒什麼興趣。釣魚才是他的熱情所在！","408","0"
"396","歐莉珊拉和安潔利奎把你當作|5%s。她們想替需要的人提供必要的醫療補給。","392","0"
"380","Arne Test - is currently your %s.","376","0"
"364","『水之守衛者』伊莉西亞視你為%s。跟她一起在艾蘇納釣魚。","360","0"
"348","阿庫爾把你視為%s。跟他一起在高嶺釣魚。","344","0"
"332","英普斯把你視為%s。跟他一起在破碎海岸釣魚。","328","0"
"316","守護者蕾奈把你視為%s。跟她一起在維爾薩拉釣魚。","312","0"
"300","夏蕾斯視你為%s。跟她一起在蘇拉瑪爾釣魚。","296","0"
"284","柯爾賓視你為%s。跟他一起在斯鐸海姆釣魚。","280","0"
"268","克羅米把你視為%s。","264","0"
"252","%s","248","0"
"236","%s","232","0"
"220","翼手龍成長為%s了。","216","0"
"204","恐角龍成長為%s了。","200","0"
"2902","獵手阿卡納是%s。","2943","0"
"2979","先知歐里是%s。","3017","0"
"3053","劍客伊野斬是%s。","3094","0"
"3133","奈莉‧銳鰭是%s。","3174","0"
"3213","波恩‧括鰭是%s。","3254","0"
"3293","維姆‧鹽心是%s。","3334","0"
"92","一隻%s的蜜背採收蜂。","88","0"
"76","一隻%s的蜜背雄蜂。","72","0"
"60","一隻%s的蜜背女王蜂。","56","0"
"44","%s","40","0"
"28","%s","24","0"
"12","亞基蟲寶寶成長為%s了。","8","0"
