Id,Name,Description,GarrTalentTreeId,Tier,UiOrder,IconFileDataId,PlayerConditionId,GarrAbilityId,Field_8_3_0_32044_009,Field_8_3_0_32044_010,PrerequisiteTalentId,ResearchCostSource,Field_9_0_1_33978_013,GarrTalentSocketPropertiesId
"39","嗜血術","獲得「嗜血術」效果，每日派遣的第一個任務成功機率提高${$a701}%","31","0","1","136012","41962","578","0","0","0","0","0","0"
"40","復生","所有任務獲得「復生」效果，在任務成功時，有${$a772}% 的機率讓精力耗盡的部隊恢復$m772點精力。","31","1","1","451167","41955","646","0","0","0","0","0","0"
"41","先祖之賜","使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。","31","2","1","237574","41958","788","0","0","0","0","0","0"
"42","先祖傳說","可裝備的傳說級物品數量提高${$a898}件。","31","5","0","237571","41961","0","0","0","0","0","0","0"
"43","元素知識","新招募的次級元素改為大型元素，其任務成功機率提高${$a638-$a637}%","31","3","0","893777","41959","0","0","0","0","0","0","0"
"44","大地低語","新招募的喚地者改為陶土議會地卜師，並且習得：

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t|Cffffffff熔岩風暴|R
$@garrabdesc583","31","3","1","451165","41959","0","0","0","0","0","0","0"
"46","奮起！","讓你能招募卓越者。

卓越者會隨機使有|C00b3ffff危險|R、|C00b3ffff法術|R或|C00b3ffff手下|R的任務成功機率提高${$a650}% ，並且擁有：

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t|Cffffffff卓越者狂怒|R
$@garrabdesc531","31","4","1","132148","41960","0","0","0","0","0","0","0"
"49","幽魂步伐","讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。","31","4","0","636335","41960","0","0","0","0","0","0","0"
"52","訓練場","次級元素、大型元素、喚地者與地卜師的招募上限提高${$a702}。","31","2","0","135776","41958","579","0","0","0","0","0","0"
"53","元素束縛","和火、土、風、水元素領主取得聯繫。職業大廳每天會隨機出現一個元素領主，提供強大的戰鬥加成效果。","31","1","0","135988","41955","0","0","0","0","0","0","0"
"54","靈魂呼喚","完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。","31","0","0","136014","41962","0","0","0","0","0","0","0"
"248","吉運","完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。","4","0","0","636335","41962","0","0","0","0","0","0","0"
"249","啟蒙","招募部隊時，有機會獲得更進階、強大的部隊。

學徒有機會成為高手，高手有機會成為大師。","4","1","1","648628","41955","0","0","0","0","0","0","0"
"250","磐牛之道","新招募的玄牛學徒改為玄牛高手，其任務成功機率提高${$a897-$a695}%","4","3","0","620829","41959","0","0","0","0","0","0","0"
"251","猛虎之道","新招募的白虎學徒改為白虎高手，並且習得：

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t|Cffffffff鶴旋踢|R
$@garrabdesc576","4","3","1","611420","41959","0","0","0","0","0","0","0"
"252","生活區","玄牛學徒、玄牛高手、白虎學徒與白虎高手的招募上限提高${$a694}。","4","2","0","651489","41958","571","0","0","0","0","0","0"
"253","幸運紅包","獲得「幸運紅包」效果，每日派遣的第一個任務成功機率提高${$a693}%","4","0","1","134268","41962","570","0","0","0","0","0","0"
"254","釀酒廠","每天可以使用一次風暴烈酒旅店的冒泡酒桶。

冒泡酒桶會賦予你珍貴的加成效果，協助你進行破碎群島任務。","4","1","0","651573","41955","0","0","0","0","0","0","0"
"255","朝聖之旅","使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。","4","2","1","775462","41958","785","0","0","0","0","0","0"
"256","完成天命","讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。","4","4","0","656322","41960","0","0","0","0","0","0","0"
"257","天尊恩賜","讓你能招募天尊。

天尊會隨機擁有一個武僧專精，可以反制|C00b3ffff首領|R，並且擁有：

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t|Cffffffff天尊迴響|R
$@garrabdesc749","4","4","1","656166","41960","0","0","0","0","0","0","0"
"258","傳說之拳","可裝備的傳說級物品數量提高${$a898}件。","4","5","0","606548","41961","0","0","0","0","0","0","0"
"347","伊露恩恩賜","完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。","107","0","0","236151","41962","0","0","0","0","0","0","0"
"348","取回裝備","使你的勇士在任務成功時，有機會帶回勇士武裝或裝備。","107","2","1","1033478","41958","787","0","0","0","0","0","0"
"349","旅行形態","所有任務獲得「旅行形態」效果，任務時間縮短${100-$a715*100}%","107","1","1","132144","41955","592","0","0","0","0","0","0"
"350","休眠","幻夢之林樹人、塞納留斯之女、利爪德魯伊與林地看守者的招募上限提高${$a900}。","107","2","0","132136","41958","753","0","0","0","0","0","0"
"351","歡笑之女","新招募的幻夢之林樹人改為塞納留斯之女，其任務成功機率提高${$a679-$a678}%","107","3","0","136021","41959","0","0","0","0","0","0","0"
"352","森林之力","新招募的利爪德魯伊改為林地看守者，並且習得：

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t|Cffffffff野性痊癒|R
$@garrabdesc558","107","3","1","132113","41959","0","0","0","0","0","0","0"
"353","盤根","獲得「盤根」效果，每日派遣的第一個任務如果有|C00b3ffff爪牙|R，任務成功機率提高${$a714}%","107","0","1","134412","41962","591","0","0","0","0","0","0"
"354","萬年青","讓你可以在兩塊肥沃土地上種植與採收作物，獲得可以在破碎群島使用的物品。每3天可以使用一次。","107","1","0","612099","41955","0","0","0","0","0","0","0"
"355","伊露恩之選","讓你能用大廳資源下訂單，獲得每週3枚破碎命運徽印的其中1枚。","107","4","0","611423","41960","0","0","0","0","0","0","0"
"356","戰爭古樹","讓你能招募戰爭古樹。

戰爭古樹會隨機擁有一個德魯伊的專精，可以反制|C00b3ffff首領|R，並且擁有：

|TInterface\ICONS\INV_PET_ANCIENTPROTECTOR.BLP:20:20:0:0|t|Cffffffff古樹之力|R
$@garrabdesc435","107","4","1","874857","41960","0","0","0","0","0","0","0"
"357","自然傳說","可裝備的傳說級物品數量提高${$a898}件。","107","5","0","1045105","41961","0","0","0","0","0","0","0"
"358","黑暗交易","完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。","110","0","0","538039","41962","0","0","0","0","0","0","0"
"359","召喚末日守衛","獲得「召喚末日守衛」效果，每日派遣的第一個任務成功機率提高${$a616}%","110","0","1","615103","41962","500","0","0","0","0","0","0"
"360","召喚儀式","所有任務獲得「召喚儀式」效果，任務時間縮短${100-$a615*100}%","110","1","1","136194","41955","499","0","0","0","0","0","0"
"361","訓練場","小鬼、狂野小鬼、侍僧與塑能師的招募上限提高${$a614}。","110","2","0","538442","41958","498","0","0","0","0","0","0"
"362","黑暗專精","新招募的黑穫侍僧改為黑穫塑能師，並且習得：

|TInterface\ICONS\ABILITY_WARLOCK_INFERNOGREEN.BLP:20:20:0:0|t|Cffffffff魔焰雨|R
$@garrabdesc485","110","3","1","236295","41959","0","0","0","0","0","0","0"
"363","恐怖收割","有戰鬥盟友時完成世界任務可獲得大廳資源。","110","4","1","537517","41960","746","0","0","0","0","0","0"
"364","暗影契約","允許你用大廳資源下訂單，取得勇士武裝或裝備。","110","2","1","1032479","41958","0","0","0","0","0","0","0"
"365","奴役魔典","新招募的一群小鬼改為狂野小鬼，並且習得：

|TInterface\ICONS\SPELL_SHADOW_ANTISHADOW.BLP:20:20:0:0|t|Cffffffff惡魔契約|R
$@garrabdesc497","110","3","0","460694","41959","0","0","0","0","0","0","0"
"366","惡魔祭品","得以進行末日儀式，讓你和四位同夥一起召喚強大惡魔，追求強化魔法與惡魔寶藏。","110","1","0","460696","41955","0","0","0","0","0","0","0"
"367","腐蝕種子","執行有|C00b3ffff手下|R的任務時，任務成功機率提高${$a1516}%","110","4","0","136193","41960","1137","0","0","0","0","0","0"
"368","魔能傳說","可裝備的傳說級物品數量提高${$a898}件。","110","5","0","615096","41961","0","0","0","0","0","0","0"
"369","簡易升級","完成不能重複接取的任務而取得獎勵時，獲得稀有或史詩物品升級的機率提高。","113","0","0","132168","41962","0","0","0","0","0","0","0"
"370","延長射程","獲得「延長射程」效果，每日派遣的第一個任務成功機率提高${$a707}%","113","0","1","1392555","41962","584","0","0","0","0","0","0"
"371","脫逃","所有任務獲得「逃脫」效果，執行有|C00b3ffff危險|R的任務成功機率提高${$a787}%","113","1","1","132294","41955","661","0","0","0","0","0","0"
"372","穩固的帳篷","弓箭手、神射手、追蹤者與探路者的招募上限提高${$a708}。","113","2","0","236200","41958","585","0","0","0","0","0","0"
"373","敏銳目光","新招募的弓手小隊改為隱獵神射手，其任務成功機率提高${$a634-$a633}%","113","3","0","132177","41959","0","0","0","0","0","0","0"
"374","野性的呼喚","新招募的一隊追蹤者改為探路者，並且習得：

|TInterface\ICONS\SPELL_FIRE_FLARE.BLP:20:20:0:0|t|Cffffffff照明彈|R
$@garrabdesc520","113","3","1","133208","41959","0","0","0","0","0","0","0"
"375","飛鷹盟友","讓你可以進入飛鷹飛行網絡。這是散佈在破碎群島各處的飛行路線。","113","1","0","1392564","41955","0","0","0","0","0","0","0"
"376","探索專家","有戰鬥盟友時完成世界任務可獲得大廳資源。","113","4","1","135904","41960","786","0","0","0","0","0","0"
