Id,Description,InventoryTypeMask,ItemNameDescriptionId
"1","Deathly Shadow Wrap","64","13804"
"2","Three-pronged Defender (DNT)","4","13588"
"15","Chilly Robe (DNT)","1048576","13586"
"17","恐怖虎眼護手","1024","13642"
"22","病原體浸染胸甲","32","13662"
"23","致命纏繞披風","65536","13663"
"24","巨怪披氅","65536","13665"
"26","吸血胸鎧","32","13668"
"27","赤紅符文手甲","1024","13669"
"28","絕對零度鎖鏈","4","13673"
"29","無盡之握腰帶","64","13675"
"30","熔岩天裹腕","512","13679"
"31","深層凍結風帽","2","13682"
"32","循規蹈矩循規蹈矩","2048","13684"
"33","延伸潛能束帶","64","13685"
"34","秘法和諧蕾絲裹布","1024","13691"
"35","時光戒環","2048","13692"
"37","烏瑟聖堂","36","13695"
"38","瘋狂楷模的追尋","256","13694"
"39","黃昏與黎明之視","2","13697"
"40","正義之怒徽印","2048","13704"
"42","堅毅審判官披肩","65536","13709"
"43","報復脛甲","256","13713"
"44","雷霆之王踏靴","256","13716"
"45","精神異常護手","1024","13720"
"47","戰鬥領主符咒","4","13722"
"48","震地迴響重肩甲","8","13723"
"49","先祖裹腕","512","13724"
"50","震慄束腰","64","13725"
"51","深淵元素肩衛","8","13726"
"52","破天者的熾炎浩劫","1048608","13728"
"53","元素均衡腿甲","128","13729"
"54","大崩裂的回音","8","13730"
"55","語風者的熔岩復甦","256","13731"
"56","喬納的自然腿甲","128","13736"
"57","浪潮靈行者披風","65536","13737"
"58","原始浪潮手甲","1024","13738"
"59","大地和諧披風","65536","13739"
"60","痛苦使者頭盔","2","13742"
"61","野性呼喚裹腕","512","13743"
"62","赫米特的陷阱腰帶","64","13744"
"63","魂鑄餘燼肩冑","8","13745"
"64","膽小鬼計策護符","4","13746"
"66","凶暴命令刻銘戒環","2048","13747"
"67","喚焰者的眼鏡蛇釘刺護腿","128","13748"
"68","惡魔戰策肩甲","8","13749"
"69","萊拉克巡者大師披風","65536","13750"
"70","奔騰射擊臂甲","512","13752"
"71","潛蛇肩墊","8","13753"
"72","不懈崗哨裹腕","512","13754"
"73","惑淆萊拉克巡者腿甲","128","13756"
"74","威爾弗雷德的超強召喚裹腕","512","13759"
"76","借用能量肩墊","8","13761"
"77","黑暗之門石柱","4","13762"
"78","阿茲亞基的書寫長袍","1048608","13763"
"79","莎珂蕾希的黑暗打擊者","128","13764"
"80","憤怒繡花長靴","256","13766"
"81","夢魘犄角肩墊","8","13769"
"82","阿茲亞基的燼火腿甲","128","13771"
"84","活化腿甲","128","13666"
"86","集體苦痛外套","32","13775"
"87","混血巨人面具","2","13776"
"89","黑暗時刻罩氅","32","13778"
"90","厄運領主之蹄","256","13779"
"91","混沌理論的不可思議數字","1024","13780"
"92","失序魔核根基","256","13781"
"93","魔焰彈藥包","32","13782"
"94","暗焰風帽","2","13783"
"95","褻瀆者的失落腿甲","128","13784"
"96","魔化烈焰的不息循環","2048","13785"
"97","熾熱靈魂的魯莽之握","1024","13786"
"99","安德列斯爪靴","256","13760"
"100","依米亞的優雅環帶","64","13774"
"102","刺客大師符印","2560","13790"
"104","滴血尖牙肩甲","256","13792"
"105","影塵上衣","32","13793"
"106","","256","13791"
"107","Bloodstanding Doombalde Epaulettes","8","13795"
"108","","4","13777"
"109","Footsteps of the Zoldyck Family","256","13796"
"110","Duskwalker's Patch","32","13797"
"111","Greenskin Wickers","1024","13798"
"112","Bandit's Charm","4","13799"
"114","Celerity Loop","2048","13789"
"115","Concealed Blunderbuss","1024","13800"
"116","Final Curtain","65536","13801"
"117","Akaari's Soul Fragment","1024","13802"
"118","Rotten Appetite","65536","13803"
"119","Deathly Shadows","128","13804"
