Id,RaceMask,Name,Description,Flags,ClassMask,SpellIconFileId
"1","12261800583900083122","傳送","將你傳送至一座主要城市。","0","128","237509"
"8","6130900294268439629","傳送","將你傳送至一座主要城市。","0","128","237509"
"9","18446744073709551615","召喚寵物","把寵物叫到你身邊。","0","4","132161"
"10","18446744073709551615","召喚惡魔","將你的其中一隻惡魔召喚到你身邊。","0","256","136082"
"11","12261800583900083122","傳送門","開啟一個傳送門，可讓隊伍和團隊成員傳送回主要城市。","0","128","135744"
"12","6130900294268439629","傳送門","開啟一個傳送門，可讓隊伍和團隊成員傳送回主要城市。","0","128","135748"
"66","18446744073709551615","毒藥","在武器上塗抹強效的毒藥。","0","8","136242"
"67","18446744073709551615","服侍魔典","立即召喚第二個惡魔進行戰鬥，持續25秒。","0","256","538444"
"84","18446744073709551615","挑戰者之道","傳送到你已獲得黃金勳章的《潘達利亞之謎》地城入口。當你完成任何挑戰模式時，這些法術的冷卻時間即會重置。","0","-1","519384"
"92","18446744073709551615","變形術效果","切換變形術的變化效果，將目標變成不同的生物。","0","128","575586"
"93","18446744073709551615","奇特彈藥","改造你的遠程武器以使用奇特彈藥。","0","4","249177"
"96","18446744073709551615","霸者之路","傳送到你已獲得黃金勳章的《德拉諾之霸》地城入口。當你完成任何挑戰模式時，這些法術的冷卻時間即會重置。","0","-1","519384"
"103","18446744073709551615","寵物管理","協助你管理寵物的工具和技能。","0","4","132179"
"106","18446744073709551615","妖術變化","當你施展妖術時，要將目標變成哪一種生物。","0","64","538518"
"217","18446744073709551615","琪瑞安樂器","彈奏一件琪瑞安樂器。","0","0","454048"
"220","18446744073709551615","英雄之路：暗影之境","傳送至你已經獲得鑰石英雄成就的暗影之境地城入口。這些法術的冷卻時間會在你完成一個傳奇鑰石地城後重置。","0","-1","519384"
