Id,Name,HordeName,EffectArg0,EffectArg1,EffectArg2,EffectScalingPoints0,EffectScalingPoints1,EffectScalingPoints2,TransmogPlayerConditionId,TransmogCost,IconFileDataId,EffectPointsMin0,EffectPointsMin1,EffectPointsMin2,ItemVisual,Flags,RequiredSkillId,RequiredSkillRank,ItemLevel,Charges,Effect0,Effect1,Effect2,ScalingClass,ScalingClassRestricted,ConditionId,MinLevel,MaxLevel
"13","磨利II","","0","0","0","1","0","0","0","2","50","0","0","0","0","3","0","0","28","33","0","0","0","0","0","5","0","0"
"14","磨利III","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","4","0","0","28","33","0","0","0","0","0","15","0","0"
"15","+$k1強化護甲","","0","0","0","0.072","0","0","0","0","50","0","0","0","0","8","0","0","0","32","0","0","0","0","0","1","0","0"
"16","+$k1強化護甲","","0","0","0","0.072","0","0","0","2","50","0","0","0","0","16","0","0","0","32","0","0","0","0","0","5","0","0"
"17","+$k1強化護甲","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","24","0","0","0","32","0","0","0","0","0","20","0","0"
"18","+$k1強化護甲","","0","0","0","0.13","0","0","0","18","50","0","0","0","0","32","0","0","0","32","0","0","0","0","0","30","0","0"
"19","增重I","","0","0","0","0.6667","0","0","0","0","50","0","0","0","0","2","0","0","0","33","0","0","0","0","0","1","0","0"
"20","增重II","","0","0","0","1","0","0","0","2","50","0","0","0","0","3","0","0","0","33","0","0","0","0","0","1","0","0"
"21","增重III","","0","0","0","0.3637","0","0","0","8","50","0","0","0","0","4","0","0","0","33","0","0","0","0","0","15","0","0"
"24","+$k1法力","","0","0","0","0.1","0","0","0","0","50","0","0","0","0","5","0","0","0","32","0","0","0","0","0","1","0","0"
"25","暗影之油","","14122","0","0","0","0","0","0","15","50","0","0","0","0","15","0","0","1","0","0","0","0","0","0","24","0","0"
"26","冰霜之油","","96089","0","0","0","0","0","0","18","50","0","0","0","0","10","0","0","27","0","0","0","0","0","0","30","0","0"
"27","破甲","","0","0","0","0","0","0","0","0","0","0","0","0","0","65526","0","0","0","0","0","0","0","0","0","1","0","0"
"30","瞄準鏡(+$k1傷害)","","0","0","0","0.08","0","0","0","2","50","0","0","0","0","1","0","0","0","32","0","0","0","0","0","5","0","0"
"32","瞄準鏡(+$k1傷害)","","0","0","0","0.06","0","0","0","5","50","0","0","0","0","2","0","0","0","32","0","0","0","0","0","10","0","0"
"33","瞄準鏡(+$k1傷害)","","0","0","0","0.1","0","0","0","12","50","0","0","0","0","3","0","0","0","33","0","0","0","0","0","20","0","0"
"34","平衡錘(+$k1加速)","","36","0","0","0.6","0","0","0","0","50","0","0","0","0","20","0","0","0","32","0","0","0","0","0","1","0","0"
"36","附魔:熾炎","","6297","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0"
"37","鋼質武器鍊","","43588","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"38","+$k1閃躲","","13","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0"
"39","磨利(+$k1傷害)","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"40","磨利I","","0","0","0","0.67","0","0","0","0","50","0","0","0","0","2","0","0","28","33","0","0","0","0","0","1","0","0"
"41","+$k1生命力","","1","0","0","0.15","0","0","0","0","50","0","0","0","0","5","0","0","0","32","0","0","0","0","0","1","0","0"
"43","鐵盾刺","","9784","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"44","吸收($7423s1)","","7445","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
