Id,Name,Unknown1
"1","Doug Test","1"
"2","Doug Test 2","0"
"3","亞昆達的亞昆達","1"
"4","全知的亞昆達","1"
"5","焦慮的亞昆達","1"
"6","精明的亞昆達","1"
"7","困惑的亞昆達","1"
"8","無情的亞昆達","1"
"9","聰明的亞昆達","1"
"10","有罪的亞昆達","1"
"11","靦腆的亞昆達","1"
"12","古怪的亞昆達","1"
"13","熱情的亞昆達","1"
"14","推動者亞昆達","1"
"15","健忘的亞昆達","1"
"16","忠誠的亞昆達","1"
"17","遲鈍的亞昆達","1"
"18","始祖亞昆達","1"
"19","冷暴力亞昆達","1"
"20","遺憾的亞昆達","1"
"21","知名的亞昆達","1"
"22","虔誠的亞昆達","1"
"23","有錢人亞昆達","1"
"24","獨特的亞昆達","1"
"25","堅定的亞昆達","1"
"26","飽足的嚙龍","1"
"27","德魯憎","1"
"28","迦南姆","1"
"29","舒德亨","1"
"30","葛黎諾姆","1"
"31","彼力辛","1"
"32","弗拉丁姆","1"
"33","卡拉姆","1"
"34","瑪格林姆","1"
"35","吞噬者索格羅","0"
"36","冷酷的科梅肯","0"
"37","叛逃者科西堤","0"
"38","凝聚的憤怒","1"
"39","凝聚的恐懼","1"
"40","凝聚的孤單","1"
"41","凝聚的悲痛","1"
"42","凝聚的苦痛","1"
"43","猜疑聚合體","1"
"44","凝聚的哀痛","1"
"45","凝聚的失落","1"
"46","凝聚的擔憂","1"
"47","凝聚的悲傷","1"
"48","浮現的憎恨","1"
"49","浮現的恐懼","1"
"50","浮現的孤立","1"
"51","湧現的絕望","1"
"52","浮現的痛苦","1"
"53","浮現的折磨","1"
"54","幻象釘刺","0"
"55","幻象的刃牙","0"
"56","幻象槌擊者","0"
"57","幻象巨獸","0"
"58","實體化的恐懼之煞","0"
"59","偏見的帕拉維爾","0"
"60","血腥的柴基迪","0"
"61","狂熱的吉奇提","0"
"62","可憎的莉利辛克","0"
"63","蒙羞的柏畢","0"
"64","壞透的弗托夫","0"
"65","堂皇的裘納帕","0"
"66","梅納德","0"
"67","犄角獵人","0"
"68","大祭司瑟雷尼斯","0"
"69","咬咬‧麥戳面","0"
"70","尤葛茲","0"
"71","瑞吉諾德","0"
"72","刺刺","0"
"73","打手","1"
"74","世界收割者塞爾基","0"
"75","太陽之王慕戈","0"
"76","勇氣侍徒","0"
"77","瑞斯伯恩","0"
"78","索爾坦","0"
"79","梅爾安度拉","0"
"80","菲爾恩鐸","0"
"81","驚恐的社交名流","0"
"82","鏡像","1"
"83","隱蔽秘法師","0"
"84","驕傲化身","0"
"85","傲慢化身","0"
"87","自私化身","0"
"88","自戀化身","0"
"89","自大化身","0"
"90","偏執化身","0"
"91","提博","0"
"92","奇摩斯","0"
"93","伊拉波斯","0"
"94","布默斯","0"
"95","丁托斯","0"
"96","葛來米羅斯","0"
"97","伊西里歐斯","0"
"98","阿巴盧斯","0"
"99","伊帕迪波斯","0"
"100","披可","0"
"101","赫卡","0"
"102","達菲","0"
"103","西瑪","0"
"104","阿拉紳","0"
"105","塞菈","0"
"106","法拉","0"
"107","柯林瑟","0"
"108","阿瑟莉亞","0"
"109","敏塔","0"
"110","拉勒提斯","0"
"111","伯拉","0"
"112","阿帕","0"
"113","德卡","0"
"114","寇奇斯","0"
"115","阿奇里斯","0"
"116","伊帕","0"
"117","陶利斯","0"
"118","贊薩","0"
"119","恰爾米","0"
"120","慕普","0"
"121","墮落的志士","0"
"122","觀眾","0"
"123","生命的重擔","0"
"124","銀白十字軍","1"
"125","口渴的賓客","0"
"126","飢餓的賓客","0"
"127","特那希村民","0"
"128","傳染殭屍","1"
"129","墮落的志士艾歐利斯","0"
"130","被囚禁的奪魂者","0"
"131","被驅逐的憤怒","0"
"132","被驅逐的狂怒","0"
"133","被驅逐的怨憤","0"
"134","被驅逐的憎恨","0"
"136","被驅逐的仇恨","0"
"137","被驅逐的惡意","0"
"138","被驅逐的怨恨","0"
"139","被驅逐的暴食","0"
"140","被驅逐的飢餓","0"
"141","被驅逐的貪念","0"
"142","被驅逐的渴望","0"
"144","過往殘像","0"
"145","轉瞬即逝的記憶","0"
"146","徘徊倒影","0"
"147","消退痕跡","0"
"148","莉里安娜","0"
"149","歐德斯壯","0"
"150","編織者洛拉","0"
"151","波利爾‧伊歐沙","0"
"152","拉札特","0"
"153","布拉伐勒","0"
"154","拉莫拉","0"
"155","激動者托洛利亞","0"
"156","馬賈塔","0"
"157","魯拉拉的智慧","0"
"158","魯拉拉的憤怒","0"
"159","魯拉拉的懺悟","0"
"160","維里艾爾","0"
"161","了提根","0"
"162","羅瑞‧提馬那","0"
"163","猶馬猶馬","0"
"164","里貓‧優那","0"
"165","古老者沙渥","0"
"166","迅捷者葵普","0"
"167","巴西里安‧夸許","0"
"168","佳薩‧汝亞希","0"
"169","佳斯麗娜","0"
"170","佳沙納","0"
"171","豐碩者布蕊菈","0"
"172","刀鋒者古爾","0"
"173","司普齊特‧司萊","0"
"174","堤凡的哈汪","0"
"175","加魯夫特‧艾歐","0"
"176","智者拉許塔","0"
"177","羅哈‧亮星","0"
"178","里哈‧亮星","0"
"179","愛的謎斯特利翁","0"
"180","偉大的波魯隆","0"
"181","謙弱者的雷斯喀","0"
"182","加爾‧羅姆","0"
"183","柴爾的榮耀哈瑞希","0"
"184","戰爭的拉德蘇","0"
"185","菲翁尼‧喚望者","0"
"186","傲天者席恩娜","0"
"187","傲天者瓦司圖克","0"
"188","命運的謎斯特利翁","0"
"189","慈善的埃歐菲納","0"
"190","破志者拉爾琴娜","0"
"191","心之列薩","0"
"192","法維的勾普","0"
"193","拉琳娜‧黑魂","0"
"194","卡莎‧見魂者","0"
"195","知識的吉林恩","0"
"196","虔誠的佛瑞達","0"
"197","穿著披風的陌生人","0"
"198","羅吉","0"
"199","格拉伯","0"
"200","吉伯斯","0"
"201","斯密瑟","0"
"202","喜格斯","0"
"203","淤泥價‧沐泥疼三世","0"
"204","貝維","0"
"205","伍斯特","0"
"206","瑞夫","0"
"207","埃格","0"
"208","掘價","0"
"209","佛格斯","0"
"210","庫勒","0"
"211","潘斯","0"
"212","髒鬼","0"
"213","達布","0"
"214","史威皮","0"
"215","銅價","0"
"216","弗雷德","0"
"217","拉夫","0"
"86","傲慢化身","0"
"135","被驅逐的憤怒","0"
