Id,Name,TotemCategoryType,TotemCategoryMask
"1","剝皮小刀 (OLD)","1","1"
"2","大地圖騰","2","1"
"3","風之圖騰","2","2"
"4","火焰圖騰","2","4"
"5","水之圖騰","2","8"
"6","符文銅棒","24","65536"
"11","礦工鋤 (OLD)","21","1"
"12","點金石","22","1"
"13","鐵匠之錘 (OLD)","23","1"
"14","扳手","24","1"
"15","地精微調器","24","2"
"21","大師圖騰","2","15"
"81","中空羽毛筆","22","4"
"101","符文銅棒","24","69631"
"121","行家書寫工具組","24","-2147483648"
"141","鼓","24","1073741824"
"161","地精軍用小刀","24","127"
"162","鐵匠之錘","24","4"
"165","採礦鎬","24","8"
"166","剝皮小刀","24","16"
"167","錘鎬","24","12"
"168","刃鎬","24","24"
"169","燧石和火絨","24","32"
"210","高能弩箭槍","24","64"
"238","珠寶匠的工具箱","24","64"
"250","究極地精軍用小刀","24","-2147417985"
"253","菈娜薩爾的血紅羽毛筆","61","1"
"354","超U質扳手","24","1"
"355","虛無法器","162","1"
"356","強化的虛無法器","162","3"
"357","釋放後的虛無法器","162","7"
"358","大師工藝","24","-2147483553"
"359","行家紋刻工具組","24","-2147483648"
"7","符文銅棒","24","65536"
"8","符文銅棒","24","65536"
"9","符文銅棒","24","65536"
"10","符文銅棒","24","65536"
"41","符文銅棒","24","65536"
"62","符文銅棒","24","65536"
"63","符文銅棒","24","65536"
"189","符文銅棒","24","65536"
"190","符文銅棒","24","65536"
"209","符文銅棒","24","65536"
"230","符文銅棒","24","65536"
