Id,Name,ParentUiMapId,Flags,System,Type,LevelRangeMin,LevelRangeMax,BountySetId,BountyDisplayLocation,VisibilityPlayerConditionId,HelpTextPosition,BkgAtlasId
"1","杜洛塔","12","6","0","3","0","0","0","0","0","0","70"
"2","燃刃集會所","1","0","0","5","0","0","0","0","0","0","0"
"3","提拉加德城堡","1","0","0","5","0","0","0","0","0","0","0"
"4","提拉加德城堡","1","0","0","5","0","0","0","0","0","0","0"
"5","骷髏石","1","0","0","5","0","0","0","0","0","0","0"
"6","塵風洞穴","1","0","0","5","0","0","0","0","0","0","0"
"7","莫高雷","12","6","0","3","0","0","0","0","0","0","71"
"8","白鬃石","7","0","0","5","0","0","0","0","0","0","0"
"9","風險投資公司礦坑","7","0","0","5","0","0","0","0","0","0","0"
"10","北貧瘠之地","12","6","0","3","0","0","0","0","0","0","3"
"11","哀嚎洞穴","10","0","0","5","0","0","0","0","0","0","0"
"12","卡林多","947","0","0","2","0","0","0","0","0","0","0"
"13","東部王國","947","0","0","2","0","0","0","0","0","0","0"
"14","阿拉希高地","13","6","0","3","10","1","0","74497","0","0","17"
"15","荒蕪之地","13","6","0","3","0","0","0","0","0","0","27"
"16","奧達曼","15","0","0","5","0","0","0","0","0","0","0"
"17","詛咒之地","13","6","0","3","0","0","0","0","0","0","34"
"18","提里斯法林地","13","6","0","3","0","0","0","0","0","0","75"
"19","血色修道院入口","18","0","0","5","0","0","0","0","0","0","0"
"20","守護者之憩","18","0","0","5","0","0","0","0","0","0","0"
"21","銀松森林","13","6","0","3","0","0","0","0","0","0","7"
"22","西瘟疫之地","13","6","0","3","0","0","0","0","0","0","25"
"23","東瘟疫之地","13","6","0","3","0","0","0","0","0","0","35"
"24","聖光之願禮拜堂","23","0","0","5","0","0","0","0","0","0","0"
"25","希爾斯布萊德丘陵","13","6","0","3","0","0","0","0","0","0","11"
"26","辛特蘭","13","6","0","3","0","0","0","0","0","0","20"
"27","丹莫洛","13","6","0","3","0","0","0","0","0","0","74"
"28","寒脊山小徑","27","0","0","5","0","0","0","0","0","0","0"
"29","灰色洞穴","27","0","0","5","0","0","0","0","0","0","0"
"30","新地精區","27","0","0","5","0","0","0","0","0","0","0"
"31","古博拉採掘場","27","0","0","5","0","0","0","0","0","0","0"
"32","灼熱峽谷","13","6","0","3","0","0","0","0","0","0","29"
"33","黑石山","36","0","0","5","0","0","0","0","0","0","0"
"34","黑石山","36","0","0","5","0","0","0","0","0","0","0"
"35","黑石山","32","0","0","5","0","0","0","0","0","0","0"
"36","燃燒平原","13","6","0","3","0","0","0","0","0","0","30"
"37","艾爾文森林","13","6","0","3","0","0","0","0","0","0","73"
"38","法戈第礦坑","37","0","0","5","0","0","0","0","0","0","0"
"39","法戈第礦坑","37","0","0","5","0","0","0","0","0","0","0"
"40","玉石礦坑","37","0","0","5","0","0","0","0","0","0","0"
"41","達拉然","42","0","0","5","0","0","0","0","0","0","0"
"42","逆風小徑","13","6","0","3","0","0","0","0","0","0","775"
"43","塔主地窖","42","0","0","5","0","0","0","0","0","0","0"
"44","塔主地窖","42","0","0","5","0","0","0","0","0","0","0"
"45","塔主地窖","42","0","0","5","0","0","0","0","0","0","0"
"46","卡拉贊地下墓穴","42","0","0","5","0","0","0","0","0","0","0"
"47","暮色森林","13","6","0","3","0","0","0","0","0","0","13"
"48","洛克莫丹","13","6","0","3","0","0","0","0","0","0","9"
"49","赤脊山","13","6","0","3","0","0","0","0","0","0","10"
"50","北荊棘谷","224","6","0","3","0","0","0","0","0","0","18"
"51","悲傷沼澤","13","6","0","3","0","0","0","0","0","0","31"
"52","西部荒野","13","6","0","3","0","0","0","0","0","0","6"
"53","金海岸礦坑","52","0","0","5","0","0","0","0","0","0","0"
"54","詹戈洛德礦坑","52","0","0","5","0","0","0","0","0","0","0"
"55","死亡礦坑","52","0","0","5","0","0","0","0","0","0","0"
"56","濕地","13","6","0","3","0","0","0","0","0","0","15"
"57","泰達希爾","12","6","0","3","0","0","68088","0","0","0","72"
"58","影絲洞","57","0","0","5","0","0","0","0","0","0","0"
"59","惡魔石","57","0","0","5","0","0","0","0","0","0","0"
"60","班奈希爾獸穴","57","0","0","5","0","0","0","0","0","0","0"
