Id,Signature,BackgroundTexture,SealTexture
"1","|cff042c54|n瓦里安‧烏瑞恩|r國王","5861","5859"
"2","|cff480404|n沃金|r大酋長","5862","5860"
"3","","6059","0"
"5","","5862","5860"
"6","|cff042c54|n安杜因‧烏瑞恩|r國王","5861","5859"
"7","|cff480404|n希瓦娜斯‧風行者|r大酋長","5862","5860"
"8","","5861","0"
"10","","5862","0"
"11","|cff480404納薩諾斯‧凋零者|r","5862","5860"
"12","|cff042c54吉恩‧葛雷邁恩|r","5861","5859"
"13","","5861","5859"
"14","","0","0"
"15","","11846","0"
"16","","11942","0"
"17","","12088","0"
"18","","12093","0"
"19","","12094","0"
"20","","12089","0"
"21","","12086","0"
"22","","12087","0"
"23","|cff480404洛索瑪‧塞隆|r","5862","5860"
"24","|cff042c54馬迪亞斯‧肖爾|r","5861","5859"
"25","|cff480404瓦麗拉‧桑古納爾|r","5862","5860"
"26","","12126","0"
