Id,Value,ReqId,ParentWidgetId
"7","已控制：%2476w","2","4"
"8","聯盟控制堡壘","3","4"
"9","最後贏家：聯盟","4","4"
"10","已控制：%2478w","2","5"
"11","部落控制堡壘","3","5"
"12","最後贏家：部落","4","5"
"13","剩餘時間：%4248k","2","6"
"16","取得%14684w個艾澤萊晶岩。","14","7"
"17","距離艾澤萊晶岩探測器啟動還有：%13654k","2","8"
"18","距離艾澤萊晶岩探測器啟動還有多久。","3","8"
"19","","4","8"
"1406","%12953w","2","497"
"1407","聯盟其拉榮譽點數","3","497"
"1408","","4","497"
"1409","%12952w","2","498"
"1410","部落其拉榮譽點數","3","498"
"1411","","4","498"
"1412","入侵敵人= %2454w","2","499"
"1413","部落基地入侵敵人數量","3","499"
"1414","","4","499"
"1415","入侵敵人= %2454w","2","500"
"1416","部落基地入侵敵人數量","3","500"
"1417","","4","500"
"1418","剩餘守衛：%2491w/%2493w","2","501"
"1419","","3","501"
"1420","","4","501"
"1421","剩餘守衛：%2491w/%2493w","2","503"
"1422","","3","503"
"1423","","4","503"
"1424","剩餘時間 - %2509w：%2512w%2510w","2","504"
"1425","靈魂尖塔可被佔領前的剩餘時間。","3","504"
"1426","","4","504"
"1427","麥迪文護盾剩餘：%2540w%","2","507"
"1428","","3","507"
"1429","","4","507"
"1430","紫隊：剩下%3600w名玩家","2","508"
"1431","","3","508"
"1432","","4","508"
"1433","金隊剩餘玩家：%3601w","2","509"
"1434","","3","509"
"1435","","4","509"
"1436","西部哨塔","2","510"
"1437","聯盟控制的烽火臺","3","510"
"1438","","4","510"
"1439","西部哨塔","2","511"
"1440","部落控制的烽火臺","3","511"
"1441","","4","511"
"1442","西部哨塔","2","512"
"1443","中立控制的烽火臺","3","512"
"1444","","4","512"
"1445","東部哨塔","2","513"
"1446","聯盟控制的烽火臺","3","513"
"1447","","4","513"
"1448","東部哨塔","2","514"
"1449","部落控制的烽火臺","3","514"
"1450","","4","514"
"1451","東部哨塔","2","515"
"1452","中立控制的烽火臺","3","515"
"1453","","4","515"
"1454","金隊剩餘玩家：%3601w","2","516"
"1455","","3","516"
"1456","","4","516"
"1457","紫隊：剩下%3600w名玩家","2","517"
"1458","","3","517"
"1459","","4","517"
"1460","被控制的哨塔：%2621w","2","518"
