Id,Name,Description,DisplayIndex,UiCameraId,AltHandUICameraId,ForgeAttachmentOverride,Flags,ArtifactId
"1","水晶之形","","1","72","0","-1","0","1"
"2","尖刺型態","","2","0","0","-1","0","1"
"3","灰燼使者","","1","62","0","-1","0","2"
"4","正義巨劍","","2","65","0","-1","0","2"
"5","燃燒報復","","3","63","0","-1","0","2"
"6","殞落希望","","4","66","0","-1","0","2"
"7","碎破清算","","5","64","0","-1","0","2"
"8","欺詐者雙刃","","1","72","161","-1","0","3"
"9","伊利達瑞之手","","2","76","928","-1","0","3"
"10","晦暗之刃","","3","75","930","-1","0","3"
"11","奪焰者","","5","77","931","-1","0","3"
"12","惡魔之觸","","4","73","929","-1","0","3"
"13","格哈尼爾，始祖之樹","","1","61","0","-1","0","13"
"14","長者之樹","","2","68","0","-1","0","13"
"15","水晶覺醒","","3","60","0","-1","0","13"
"16","死木守衛者","","4","69","0","-1","0","13"
"17","看守者之冠","","6","70","0","-1","1","13"
"20","大地守護者之鱗","","1","183","71","-1","0","11"
"21","吞噬者之牙","","1","168","169","-1","0","17"
"22","魔擁","","3","172","173","-1","0","17"
"23","影刃","","2","170","171","-1","0","17"
"24","血飲","","4","174","175","-1","0","17"
"25","冰剪","","5","176","177","-1","0","17"
"32","遭譴者之顎","","1","163","0","-1","0","15"
"33","天啟","","1","162","0","-1","0","16"
"39","墮落王子之刃","","1","166","167","-1","0","12"
"40","萊公之拳","","1","191","192","-1","0","40"
"41","薩斯朵拉
風行者之遺","","1","719","0","-1","0","55"
"42","弒君之刃","","1","391","392","-1","0","43"
"43","薩拉達爾，海潮權杖","","1","195","958","-1","0","42"
"44","末日錘","","1","189","0","-1","0","41"
"45","杜爾，那魯光杖","","1","194","0","-1","0","45"
"46","黑暗帝國之刃","","1","570","952","-1","0","47"
"47","白銀之手","","1","198","199","-1","0","48"
"48","厄索克之爪","","1","188","638","-1","0","57"
"49","薩格拉斯權杖","","1","357","0","-1","0","38"
"50","雪崙，迷霧之杖","","1","196","0","-1","0","51"
"51","費羅米隆","","1","190","935","-1","0","54"
"52","猛禽之爪","","1","197","0","-1","0","34"
"53","亞魯涅斯","","1","178","0","-1","0","4"
"54","守護者之塔","","2","179","0","-1","0","4"
"55","尊者降世","","3","181","0","-1","0","4"
"56","艾格文之殞","","4","180","0","-1","0","4"
"57","不朽魔導師","","5","182","0","-1","0","4"
"58","亡靈守衛的凝視","","4","184","965","-1","0","11"
"59","碎界者的臨終之息","","6","185","966","-1","1","11"
"60","無畏不屈","","3","186","967","-1","0","11"
"61","墮王武裝","","2","187","968","-1","0","11"
"64","黯凜","","1","344","0","-1","0","53"
"65","守護者的聚能","","2","346","0","-1","0","53"
"66","大法師的意志","","4","351","0","-1","0","53"
"67","霜火回憶","","6","353","0","-1","1","53"
"68","原初之流","","3","354","0","-1","0","53"
"69","黑暗泰坦的傲慢","","2","359","0","-1","0","38"
"70","古爾丹的回聲","","3","360","0","-1","0","38"
"71","毀滅者之影","","4","362","0","-1","0","38"
"72","軍團之懼","","6","361","0","-1","1","38"
"73","遊俠將軍的護衛","","4","933","0","-1","0","55"
"74","鳳凰重生","","3","722","0","-1","0","55"
"75","姊妹情深","","2","720","0","-1","0","55"
"76","烏鴉守衛","","6","721","0","-1","1","55"
"77","詛咒之手","","2","858","863","-1","0","43"
"78","絕心者","","3","860","864","-1","0","43"
"79","屠法者之刃","","4","859","865","-1","0","43"
"80","斷骨者","","6","861","866","-1","1","43"
"81","伊露恩之鐮","","1","631","0","-1","0","59"
"82","上古之神的擁抱","","2","773","957","-1","0","47"
"83","墮落之刃","","3","774","953","-1","0","47"
"84","瘋狂異象","","4","776","955","-1","0","47"
"85","曲折鏡像","","5","775","954","-1","0","47"
"86","石爪","","2","188","638","-1","0","57"
"87","厄索爾的化身","","3","188","638","-1","0","57"
"88","臣服夢魘","","4","188","638","-1","0","57"
"89","林地守護者","","6","188","638","-1","1","57"
"90","奧達奇戰刃","","1","753","759","-1","0","60"
"91","亞夏曼之牙","","1","636","637","-1","0","58"
"92","血喉","","2","701","0","-1","0","15"
"93","骨顎","","5","702","0","-1","0","15"
"94","噬靈者","","3","704","0","-1","0","15"
"95","處決者","","4","703","0","-1","0","15"
"96","霜之哀傷的遺物","","2","662","663","-1","0","12"
"97","收魂者","","5","664","665","-1","0","12"
"98","守墓者","","4","700","699","-1","0","12"
"99","辛德拉苟莎之怒","","3","667","666","-1","0","12"
"100","饑荒使者","","4","658","0","-1","0","16"
"101","疫病信使","","3","661","0","-1","0","16"
"102","穢邪之戰","","2","659","0","-1","0","16"
"103","亡骨鉤鐮","","6","660","0","-1","1","16"
"104","伊利達瑞紋章","","2","901","902","-1","0","60"
"105","恐懼之骨","","4","903","904","-1","0","60"
"106","驚懼領主之噬","","3","905","906","-1","0","60"
"107","鋼鐵看守者","","6","907","908","-1","1","60"
"108","戈德林使者","","2","831","0","-1","0","59"
"109","月喚","","3","832","0","-1","0","59"
"110","守日者之擊","","6","834","0","-1","1","59"
"111","夢魘腐化","","4","833","0","-1","0","59"
"112","自然之怒","","2","636","637","-1","0","58"
"113","原始潛獵者","","3","636","637","-1","0","58"
"114","獸母之魂","","5","636","637","-1","0","58"
"115","夢魘化身","","4","636","637","-1","0","58"
"116","泰坦之擊","","1","754","0","-1","0","56"
"117","鷹眼絕射","","2","789","0","-1","0","56"
"118","野豬火砲","","4","791","0","-1","0","56"
"119","伊萊克之雷","","3","790","0","-1","0","56"
"120","毒蛇之噬","","5","792","0","-1","0","56"
"121","神鷹重生","","2","715","0","-1","0","34"
"122","狼王之矛","","3","717","0","-1","0","34"
"123","毒蛇之擊","","4","716","0","-1","0","34"
"124","巨熊之韌","","6","718","0","-1","1","34"
"125","逐日者之傲","","2","838","937","-1","0","54"
"126","鳳凰重生","","3","840","940","-1","0","54"
"127","熔岩火刃","","4","839","939","-1","0","54"
"128","曲時之劍","","5","841","941","-1","0","54"
"129","福山之杖
漫行者之伴","","1","710","0","-1","0","52"
"130","美猴王的重擔","","2","711","0","-1","0","52"
"131","龍焰之握","","4","713","0","-1","0","52"
"132","玄牛之心","","3","712","0","-1","0","52"
"133","迷霧使者","","5","714","0","-1","0","52"
"134","濛霧響鐘","","2","845","0","-1","0","51"
"135","不朽龍息","","6","846","0","-1","1","51"
"136","煞化絕刑","","4","847","0","-1","0","51"
"137","赤吉之靈","","3","848","0","-1","0","51"
"138","蒼天之拳","","1","629","630","-1","0","50"
"139","奧拉基爾之觸","","2","691","692","-1","0","50"
"140","魂靈之擊","","3","694","693","-1","0","50"
"141","影潘傳承","","4","696","695","-1","0","50"
"142","風暴之拳","","6","698","697","-1","1","50"
"143","墮落看守者之拳","","2","785","199","-1","0","48"
"144","正義之火","","5","788","199","-1","0","48"
"145","守墓者","","4","786","199","-1","0","48"
"146","守護者的審判","","3","787","199","-1","0","48"
"147","真理之盾","","1","756","755","-1","0","49"
"148","泰坦之光","","2","777","945","-1","0","49"
"149","黑暗守衛者","","4","780","943","-1","0","49"
"150","聖火紋章","","5","778","944","-1","0","49"
"151","復仇者的壁壘","","6","779","946","-1","1","49"
"152","聖光之怒","","1","705","0","-1","0","46"
"153","救贖紋章","","2","706","0","-1","0","46"
"154","聖典守衛者之杖","","6","709","0","-1","1","46"
"155","永恆之惕","","4","708","0","-1","0","46"
"156","聖光之杯","","3","707","0","-1","0","46"
"157","純淨旌旗","","2","950","0","-1","0","45"
"158","光之守衛者","","3","948","0","-1","0","45"
"159","阿古斯的記憶","","5","949","0","-1","0","45"
"160","虛無之擁","","4","951","0","-1","0","45"
"161","驚懼雙刀","","1","757","758","-1","0","44"
"162","海上煞星的承諾","","2","868","873","-1","0","44"
"163","火吻","","3","869","874","-1","0","44"
"164","劍士之擊","","5","870","875","-1","0","44"
"165","惡棍遺言","","4","871","876","-1","0","44"
"166","風暴守護者","","2","880","885","-1","0","40"
"167","語地者","","3","881","886","-1","0","40"
"168","雷加的傳承","","5","882","887","-1","0","40"
"169","墮落薩滿之拳","","4","883","888","-1","0","40"
"170","風暴使者","","2","632","0","-1","0","41"
"171","燃燒軍團的末日","","3","633","0","-1","0","41"
"172","黑手的命運","","4","634","0","-1","0","41"
"173","颱風","","5","635","0","-1","0","41"
"174","深淵權杖","","2","801","963","-1","0","42"
"175","泰坦後裔","","3","802","961","-1","0","42"
"176","圖騰使者","","4","803","962","-1","0","42"
"177","冰封運命","","5","804","959","-1","0","42"
"178","逆風收割者","","1","646","0","-1","0","39"
"179","苦難之手","","2","647","0","-1","0","39"
"180","靈魂虹吸","","3","648","0","-1","0","39"
"181","命運終結","","6","649","0","-1","1","39"
"182","死神之手","","4","650","0","-1","0","39"
"183","曼那瑞之顱","","1","760","922","20","0","37"
"184","初代召喚師的凝視","","2","781","927","20","0","37"
"185","深淵領主之傲","","3","782","926","20","0","37"
"186","燃燒殘怨","","4","783","923","20","0","37"
"187","遺忘之魂","","5","784","925","20","0","37"
"188","斯托姆卡，破戰巨劍","","1","641","0","-1","0","36"
"189","亡者的復仇","","2","749","0","-1","0","36"
"190","憤怒之刃","","4","752","0","-1","0","36"
"191","奪焰者","","3","750","0","-1","0","36"
"192","天空勇者之劍","","5","751","0","-1","0","36"
"193","華爾拉亞戰劍","","1","639","640","-1","0","35"
"194","龍騎兵武裝","","2","761","765","-1","0","35"
"195","風暴吐息","","4","764","768","-1","0","35"
"196","黑爾雅之視","","5","763","767","-1","0","35"
"197","勇氣之喉","","3","762","766","-1","0","35"
"200","野地行者","","5","934","0","-1","0","55"
"203","月梟之靈","","6","636","637","-1","1","58"
"206","灰燼使者","","1","62","0","-1","0","80"
"207","灰燼使者","","1","62","0","-1","0","81"
"208","灰燼使者","","1","62","0","-1","0","80"
"211","粼光釣竿","","1","818","0","1","0","73"
"212","毛卜師之杖","","6","825","0","-1","1","4"
"213","不死之觸","","6","826","0","-1","1","15"
"214","黑暗符文刃","","6","827","828","-1","1","12"
"215","死亡判決","","5","829","0","-1","0","16"
"216","死亡行者","","6","830","932","-1","1","3"
"217","幽暗之翼","","5","909","910","-1","0","60"
"218","法力鐮刀","","5","835","0","-1","0","59"
"219","灰喉之力","","5","188","638","-1","0","57"
"220","長夜警醒","","5","67","0","-1","0","13"
"221","泰坦機弓","","6","836","0","-1","1","56"
"222","森林守護者","","5","837","0","-1","0","34"
"223","星辰圖譜","","6","842","938","-1","1","54"
"224","精英魔導師","","5","843","0","-1","0","53"
"225","遠古釀酒大師","","6","844","0","-1","1","52"
"226","寧神之華","","5","849","0","-1","0","51"
"227","雪怒執法者","","5","850","851","-1","0","50"
"228","看守者的武裝","","6","852","199","-1","1","48"
"229","神性保衛者","","3","853","942","-1","0","49"
