Id,Name,Filename,NameMale,NameFemale,PetNameToken,CreateScreenFileDataId,SelectScreenFileDataId,IconFileDataId,LowResScreenFileDataId,StartingLevel,SpellTextureFileDataId,Flags,CinematicSequenceId,DefaultSpec,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet
"1","戰士","WARRIOR","戰士","戰士","PET","0","0","626008","0","1","791568","5170","0","71","5","1","0","0","1","4"
"2","聖騎士","PALADIN","聖騎士","聖騎士","PET","0","0","626003","0","1","791563","4154","0","70","5","0","0","0","1","10"
"3","獵人","HUNTER","獵人","獵人","PET","0","0","626000","0","1","791560","406","0","253","2","2","1","1","0","9"
"4","盜賊","ROGUE","盜賊","盜賊","PET","0","0","626005","0","1","791565","4098","0","259","3","3","1","1","0","8"
"5","牧師","PRIEST","牧師","牧師","PET","0","0","626004","0","1","791564","2","0","256","0","0","0","0","0","6"
"6","死亡騎士","DEATHKNIGHT","死亡騎士","死亡騎士","PET","236082","236082","135771","1560617","55","791558","9338","165","251","5","6","0","0","1","15"
"7","薩滿","SHAMAN","薩滿","薩滿","PET","0","0","626006","0","1","791566","26","0","262","0","0","0","1","0","11"
"8","法師","MAGE","法師","法師","PET","0","0","626001","0","1","791561","4098","0","62","0","0","0","0","0","3"
"9","術士","WARLOCK","術士","術士","DEMON","0","0","626007","0","1","791567","134","0","265","0","0","0","0","0","5"
"10","武僧","MONK","武僧","武僧","PET","0","0","626002","0","1","791562","1538","0","268","2","3","0","1","0","53"
"11","德魯伊","DRUID","德魯伊","德魯伊","PET","0","0","625999","0","1","791559","10","0","102","0","0","0","1","0","7"
"12","惡魔獵人","DEMONHUNTER","惡魔獵人","惡魔獵人","PET","1305036","1305036","236415","1560446","98","1004940","75","0","577","3","17","0","1","0","107"
