Id,ClientPrefix,ClientFileString,Name,NameFemale,NameLowercase,NameFemaleLowercase,Flags,MaleDisplayId,FemaleDisplayId,HighResMaleDisplayId,HighResFemaleDisplayId,CreateScreenFileDataId,SelectScreenFileDataId,MaleCustomizeOffset0,MaleCustomizeOffset1,MaleCustomizeOffset2,FemaleCustomizeOffset0,FemaleCustomizeOffset1,FemaleCustomizeOffset2,LowResScreenFileDataId,AlteredFormStartVisualKitId0,AlteredFormStartVisualKitId1,AlteredFormStartVisualKitId2,AlteredFormFinishVisualKitId0,AlteredFormFinishVisualKitId1,AlteredFormFinishVisualKitId2,HeritageArmorAchievementId,StartingLevel,UiDisplayOrder,FemaleSkeletonFileDataId,MaleSkeletonFileDataId,HelmVisFallbackRaceId,FactionId,CinematicSequenceId,ResSicknessSpellId,SplashSoundId,BaseLanguage,CreatureType,Alliance,RaceRelated,UnalteredVisualRaceId,CharComponentTextureLayoutId,CharComponentTexLayoutHiResId,DefaultClassId,NeutralRaceId,MaleModelFallbackRaceId,MaleModelFallbackSex,FemaleModelFallbackRaceId,FemaleModelFallbackSex,MaleTextureFallbackRaceId,MaleTextureFallbackSex,FemaleTextureFallbackRaceId,FemaleTextureFallbackSex
"1","Hu","Human","人類","人類","人類","人類","6292620","49","50","57899","56658","623712","131948","5","0","0.4","5","0","0.4","651555","0","0","0","0","0","0","0","1","0","199670","199671","0","0","0","1","81","159","58","72","4","7","7","0","2","0","1","2","5","0","0","-1","0","-1"
"2","Or","Orc","獸人","獸人","獸人","獸人","6291596","51","52","51894","53762","623714","132003","6","0","0.3","5","0","0.3","651558","0","0","0","0","0","0","0","1","0","199674","199675","0","0","0","2","21","159","58","72","4","1","7","1","1","0","1","2","1","0","0","-1","0","-1"
"3","Dw","Dwarf","矮人","矮人","矮人","矮人","6291596","53","54","49242","53768","623712","131940","5","0","0.17","5","0","0.12","651555","0","0","0","0","0","0","0","1","0","199666","199667","0","0","0","3","41","159","58","66","4","7","7","0","8","0","1","2","3","0","0","-1","0","-1"
"4","Ni","NightElf","夜精靈","夜精靈","夜精靈","夜精靈","6291588","55","56","54918","54439","623712","131993","5.6","0","0.4","5.6","0","0.4","651555","0","0","0","0","0","0","0","1","0","199672","199673","0","0","0","4","61","159","58","72","4","7","7","0","5","0","1","2","11","0","0","-1","0","-1"
"5","Sc","Scourge","不死族","不死族","不死族","不死族","6291596","57","58","54041","56327","623714","132035","5","0","0.6","5","0","0.46","651558","0","0","0","0","0","0","0","1","0","199676","199677","0","0","0","5","2","159","58","72","4","1","7","1","4","0","1","2","9","0","0","-1","0","-1"
"6","Ta","Tauren","牛頭人","牛頭人","牛頭人","牛頭人","6291590","59","60","55077","56316","623714","132046","5","0","0.26","5","0","0.26","651558","0","0","0","0","0","0","0","1","0","199678","199679","0","0","0","6","141","159","58","72","4","1","7","1","7","0","1","2","7","0","0","-1","0","-1"
"7","Gn","Gnome","地精","地精","地精","地精","6291596","1563","1564","51877","53291","623712","430171","4","0","-0.1","4","0","-0.1","651555","0","0","0","0","0","0","0","1","0","199668","199669","0","0","0","115","101","159","58","72","4","7","7","0","6","0","1","2","9","0","0","-1","0","-1"
"8","Tr","Troll","食人妖","食人妖","食人妖","食人妖","6291598","1478","1479","59071","59223","623714","429097","5.51","0","0.96","5.5","0","0.46","651558","0","0","0","0","0","0","0","1","0","199680","199681","0","0","0","116","121","159","58","72","4","1","7","1","3","0","1","2","7","0","0","-1","0","-1"
"9","Go","Goblin","哥布林","哥布林","哥布林","哥布林","6291716","6894","6895","0","0","623714","319097","5","0","0.06","5","0","0.06","651558","0","0","0","0","0","0","0","1","10","323069","323070","0","0","0","2204","172","159","58","72","4","1","7","1","22","0","2","0","4","0","0","-1","0","-1"
"10","Be","BloodElf","血精靈","血精靈","血精靈","血精靈","6291596","15476","15475","62127","62128","623714","131921","5","0","0.5","5","0","0.5","651558","0","0","0","0","0","0","0","1","9","199660","199661","0","0","0","1610","162","159","58","72","4","1","7","1","11","0","1","2","8","0","0","-1","0","-1"
