Id,Name,Description,CategoryId,InventoryIconFileId,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Flags,Quality,FactionId,ItemGroupSoundsId,XpQuestDifficulty,AwardConditionId
"1","Currency Token Test Token 4","本物品之敘述在此","1","133792","1","0","0","0","71682","1","0","0","0","0"
"2","Currency Token Test Token 2","","1","132092","1","2","0","0","12289","1","0","0","0","0"
"4","Currency Token Test Token 5","","1","133790","4","3","0","0","0","1","0","0","0","0"
"22","Birmingham Test Item 3","","41","132373","0","0","0","0","0","1","0","0","0","0"
"42","正義徽章","","1","135884","0","0","0","0","0","1","0","0","0","0"
"61","達拉然珠寶匠徽章","蒂芬妮‧卡地亞位於達拉然的商店相當願意用獨特的珠寶設計圖來交換這些徽章。","21","134138","0","0","0","0","0","1","0","0","0","0"
"81","美食主義者的獎勵","拜訪主城與北裂境達拉然中的特殊烹飪供應商來購買特殊烹飪食譜及香料，甚至是一頂不錯的帽子!","1","134411","0","0","0","0","0","1","0","0","0","0"
"101","英雄紋章","","22","135947","0","0","0","0","0","1","0","0","0","0"
"102","勇氣紋章","","22","237547","0","0","0","0","0","1","0","0","0","0"
"103","競技場點數","","2","135884","0","0","0","0","0","1","0","0","0","0"
"104","榮譽點數DEPRECATED","如果你讀到這個，就是發現了BUG!回報它!","2","135884","0","0","0","0","0","1","0","0","0","0"
"121","奧特蘭克山谷榮譽獎章","","2","133308","0","0","0","0","0","1","0","0","0","0"
"122","阿拉希盆地榮譽獎章","","2","133282","0","0","0","0","0","1","0","0","0","0"
"123","暴風之眼榮譽獎章","","2","136032","0","0","0","0","0","1","0","0","0","0"
"124","遠祖灘頭榮譽獎章","","2","133276","0","0","0","0","0","1","0","0","0","0"
"125","戰歌峽谷榮譽獎章","","2","134420","0","0","0","0","0","1","0","0","0","0"
"126","冬握湖榮譽獎章","","2","133408","0","0","0","0","0","1","0","0","0","0"
"161","石之守衛者裂片","","2","134375","0","0","0","0","0","1","0","0","0","0"
"181","榮譽點數DEPRECATED2","如果你讀到這個，就是發現了BUG!回報它!","2","132484","0","0","0","0","0","1","0","0","0","0"
"201","風險硬幣","","2","133799","0","0","0","0","0","1","0","0","0","0"
"221","征服紋章","","22","135885","0","0","0","0","0","1","0","0","0","0"
"241","勇士徽印","為表彰你在十字軍大競技場的驍士行為。","21","236246","0","0","0","0","2","1","0","0","0","0"
"301","凱旋紋章","","22","135979","0","0","0","0","0","1","0","0","0","0"
"321","征服之島榮譽獎章","","2","133314","0","0","0","0","0","1","0","0","0","0"
"341","冰霜紋章","","22","334365","0","0","0","0","0","1","0","0","0","0"
"361","大宗師級珠寶匠徽章","為表彰你在珠寶設計領域的卓越技巧，可以用這些徽章來換取獨特的珠寶設計圖和品質極佳的奇美拉之瞳。","81","134501","0","0","0","0","0","1","0","0","0","0"
"384","矮人考古學碎片","","82","441144","1","5","200","0","34","1","0","0","0","0"
"385","食人妖考古學碎片","","82","441149","1","4","200","0","34","1","0","0","0","0"
"391","托巴拉德表揚徽章","為表彰你在托巴拉德的英勇行徑。","2","409548","0","0","0","0","2","1","0","0","0","0"
"393","化石考古學碎片","","82","442734","1","8","200","0","34","1","0","0","0","0"
"394","夜精靈考古學碎片","","82","441146","1","9","200","0","34","1","0","0","0","0"
"395","正義點數","用來購買次強的護甲與武器。","142","463446","0","0","1","0","8280","1","0","0","0","0"
"396","勇氣點數","用來購買較強的PvE護甲與武器。","142","463447","0","0","300099","100000","8264","4","0","0","0","0"
"397","獸人考古學碎片","","82","442738","1","10","200","0","34","1","0","0","0","0"
"398","德萊尼考古學碎片","","82","442731","1","11","200","0","34","1","0","0","0","0"
"399","維酷考古學碎片","","82","442742","1","12","200","0","34","1","0","0","0","0"
"400","奈幽考古學碎片","","82","442736","1","13","200","0","34","1","0","0","0","0"
"401","托維爾考古學碎片","","82","442739","1","14","200","0","34","1","0","0","0","0"
