Id,Directory,MapName,MapDescription0,MapDescription1,PvpShortDescription,PvpLongDescription,Corpse0,Corpse1,MapType,InstanceType,ExpansionId,AreaTableId,LoadingScreenId,TimeOfDayOverride,ParentMapId,CosmeticParentMapId,TimeOffset,MinimapIconScale,CorpseMapId,MaxPlayers,WindSettingsId,ZmpFileDataId,WdtFileDataId,Flags0,Flags1
"0","Azeroth","東部王國","","","","","0","0","1","0","0","0","4","-1","-1","-1","0","1","-1","0","17","804940","775971","159399517","262160"
"1","Kalimdor","卡林多","","","","","0","0","1","0","0","0","3","-1","-1","-1","0","1","-1","0","17","804935","782779","159399517","262160"
"13","test","Art Team Map","","","","","0","0","2","0","0","3817","0","-1","-1","-1","0","1","-1","0","0","0","857697","1555","263192"
"25","ScottTest","Scott Test","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863335","1555","262152"
"30","PVPZone01","奧特蘭克山谷","在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。","在奧特蘭克山脈深處的奧特蘭克山谷，是霜狼氏族的家園。矮人中的雷矛氏族在這裡建造了一座要塞，並試圖深入山谷尋找寶藏，還有關於他們起源的線索。

在這個大規模戰場之中，雙方都企圖瓦解敵人哨塔的防禦，並擊敗敵方將軍(范達爾‧雷矛或德雷克塔爾)。","擊殺敵方首領","- 搶奪敵方哨塔和碉堡
- 擊殺敵方首領
- 將敵方援軍數降至0","0","0","1","3","0","0","104","-1","-1","-1","0","1","-1","0","0","0","790112","1553","786440"
"33","Shadowfang","影牙城堡","","","","","-230.989","1571.57","1","1","0","0","204","-1","-1","-1","0","1","0","10","0","0","790796","1565","262152"
"34","StormwindJail","暴風城監獄","","","","","-8762.379","848.0103","2","1","0","717","194","-1","-1","-1","0","1","0","10","0","0","791060","1553","262152"
"35","StormwindPrison","<unused>StormwindPrison","","","","","-8762.477","848.0491","2","0","0","717","23","-1","-1","-1","0","1","0","0","0","0","870849","1555","262152"
"36","DeadminesInstance","死亡礦坑","","","","","-11207.8","1681.15","1","1","0","0","142","-1","-1","-1","0","1","0","10","0","0","780605","1553","262152"
"37","PVPZone02","艾薩拉盆地","摧毀聯盟!","抵禦部落的攻擊!","","","0","0","1","0","0","0","25","-1","-1","-1","0","1","-1","0","0","0","861092","1555","262152"
"42","Collin","科林的考驗","","","","","0","0","2","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","863984","1555","262152"
"43","WailingCaverns","哀嚎洞穴","","","","","-751.1312","-2209.24","2","1","0","718","143","-1","-1","-1","0","1","1","10","0","0","791429","1553","262152"
"44","Monastery","<unused> Monastery","","","","","2892.413","-811.2413","2","1","0","0","42","-1","-1","-1","0","1","0","10","0","0","865519","1555","262152"
"47","RazorfenKraulInstance","剃刀沼澤","","","","","-4459.449","-1660.212","1","1","0","0","188","-1","-1","-1","0","1","1","10","0","0","790640","1553","262152"
"48","Blackfathom","黑澗深淵","","","","","4249.121","748.3871","2","1","0","719","196","-1","-1","-1","0","1","1","10","0","0","780169","1553","262152"
"70","Uldaman","奧達曼","","","","","-6060.182","-2954.997","2","1","0","1337","144","-1","-1","-1","0","1","0","10","0","0","791372","1553","262152"
"90","GnomeragonInstance","諾姆瑞根","","","","","-5162.662","931.5988","2","1","0","721","193","-1","-1","-1","0","1","0","10","0","0","782773","1553","262152"
"109","SunkenTemple","沉沒的神廟","","","","","-10291.7","-3987.63","2","1","0","1477","191","-1","-1","-1","0","1","0","10","0","0","791166","1553","262152"
"129","RazorfenDowns","剃刀高地","","","","","-4662.883","-2535.872","1","1","0","0","145","-1","-1","-1","0","1","1","10","0","0","790517","1553","262152"
"169","EmeraldDream","翡翠夢境","","","","","0","0","1","2","0","0","0","-1","-1","-1","0","1","-1","40","0","0","780817","1553","262152"
"189","MonasteryInstances","Scarlet Monastery of Old","","","","","2892.235","-811.2637","1","1","0","0","190","-1","-1","-1","0","1","0","10","0","0","788662","1553","262152"
"209","TanarisInstance","祖爾法拉克","","","","","-6790.577","-2891.278","1","1","0","0","146","-1","-1","-1","0","1","1","10","0","0","791169","1553","262152"
"229","BlackRockSpire","黑石塔下層","","","","","-7522.527","-1233.042","2","1","0","1583","189","-1","-1","-1","0","1","0","10","0","0","780175","1537","262152"
"230","BlackrockDepths","黑石深淵","","","","","-7178.095","-928.6395","2","1","0","1584","103","-1","-1","-1","0","1","0","5","0","0","780172","1553","262152"
"249","OnyxiaLairInstance","奧妮克希亞的巢穴","","","","","-4753.313","-3752.421","2","2","0","2159","61","-1","-1","-1","0","1","1","40","0","0","789922","34305","262152"
"269","CavernsOfTime","開啟黑暗之門","","","","","-8750.827","-4193.513","1","1","1","0","212","-1","-1","-1","0","1","1","5","0","0","829736","1553","262152"
"289","SchoolofNecromancy","Scholomance OLD","","","","","1274.781","-2552.564","1","1","0","0","102","-1","-1","-1","0","1","0","5","0","0","790713","1553","262152"
"309","Zul'gurub","古祖爾格拉布","","","","","-11916.06","-1224.577","1","1","0","1977","161","-1","-1","-1","0","1","0","20","0","0","791432","525841","262152"
"329","Stratholme","斯坦索姆","","","","","3392.317","-3378.483","1","1","0","0","101","-1","-1","-1","0","1","0","5","0","0","791063","1553","262152"
"349","Mauradon","瑪拉頓","","","","","-1432.697","2924.978","2","1","0","2100","81","-1","-1","-1","0","1","1","10","0","0","788656","1553","262152"
"369","DeeprunTram","礦道地鐵","","","","","-8349.224","517.348","2","0","0","2257","205","-1","-1","-1","0","1","0","0","0","0","780788","268437009","262656"
"389","OrgrimmarInstance","怒焰裂谷","","","","","1816.756","-4423.372","2","1","0","2437","195","-1","-1","-1","0","1","1","10","0","0","789981","1553","262152"
