Id,Description,Title,Reward,InstanceId,Faction,Supercedes,Category,MinimumCriteria,Points,Flags,UiOrder,IconFileId,RewardItemId,CriteriaTree,SharesCriteria,CovenantId
"6","Reach level 10.","Level 10","","-1","-1","0","92","0","10","2097156","1","236562","0","2050","0","0"
"7","Reach level 20.","Level 20","","-1","-1","6","92","0","10","2097156","2","236563","0","2683","0","0"
"8","Reach level 30.","Level 30","","-1","-1","7","92","0","10","2097156","3","236564","0","1289","0","0"
"9","Reach level 40.","Level 40","","-1","-1","8","92","0","10","2097156","4","236565","0","942","0","0"
"10","Reached level 50 prior to the Shadowlands expansion.","Level 50 (Legacy)","","-1","-1","0","15446","0","0","2103300","1","236566","0","0","0","0"
"11","Reached level 60 prior to the Shadowlands expansion.","Level 60 (Legacy)","","-1","-1","10","15446","0","0","2103300","2","236567","0","0","0","0"
"12","Reached level 70 prior to the Shadowlands expansion.","Level 70 (Legacy)","","-1","-1","11","15446","0","0","2103300","3","236568","0","0","0","0"
"13","Reached level 80 prior to the Shadowlands expansion.","Level 80 (Legacy)","","-1","-1","12","15446","0","0","2103300","4","236569","0","0","0","0"
"15","Collect 15 unique pets.","Plenty of Pets","","-1","-1","1017","15118","0","10","131072","3","132599","0","22152","0","0"
"16","Raise your unarmed skill to 400.","Did Somebody Order a Knuckle Sandwich?","","-1","-1","0","15446","0","0","2048","24","132356","0","6318","0","0"
"31","Complete a daily quest every day for five consecutive days.","A Simple Re-Quest","","-1","-1","0","96","0","10","0","25","236680","0","2807","0","0"
"32","Complete 2000 quests.","2000 Quests Completed","","-1","-1","508","96","0","10","0","8","236670","0","2810","0","0"
"33","Complete the Borean Tundra storylines listed below.","Nothing Boring About Borean","","-1","1","0","14863","0","10","0","1","236728","0","1741","0","0"
"34","Complete the Howling Fjord storylines listed below.","I've Toured the Fjord","","-1","1","0","14863","0","10","0","3","236787","0","5287","0","0"
"35","Complete the Dragonblight storylines listed below.","Might of Dragonblight","","-1","1","0","14863","0","10","0","5","236749","0","1745","0","0"
"36","Complete the Zul'Drak storylines listed below.","The Empire of Zul'Drak","","-1","-1","0","14863","0","10","0","9","236862","0","1881","0","0"
"37","Complete the Grizzly Hills storylines listed below.","Fo' Grizzle My Shizzle","","-1","1","0","14863","0","10","0","7","236772","0","5284","0","0"
"38","Complete the Storm Peaks storylines listed below.","The Summit of Storm Peaks","","-1","-1","0","14863","0","10","0","11","236838","0","1884","0","0"
"39","Complete the Sholazar Basin storylines listed below.","Into the Basin","","-1","-1","0","14863","0","10","0","10","236823","0","1887","0","0"
"40","Complete the Icecrown storylines listed below.","Icecrown: The Final Goal","","-1","-1","0","14863","0","10","0","12","236799","0","3375","0","0"
"41","Complete the Northrend quest achievements listed below.","Loremaster of Northrend","","-1","-1","0","14863","0","10","131072","21","236812","0","5756","0","0"
"42","Explore the regions of Eastern Kingdoms.","Eastern Kingdoms Explorer","","-1","-1","0","97","0","25","131072","1","236759","0","2402","0","0"
"43","Explore the regions of Kalimdor.","Kalimdor Explorer","","-1","-1","0","97","0","25","131072","2","236807","0","3317","0","0"
"44","Explore the regions of Outland.","Outland Explorer","","-1","-1","0","97","0","25","131072","3","236813","0","3340","0","0"
"45","Explore the regions of Northrend.","Northrend Explorer","Reward: Tabard of the Explorer","-1","-1","0","97","0","25","131072","4","236812","0","12064","0","0"
