Id,AreaName,OrderIndex,PlayerConditionId,AreaId
"1","Chamber of Lost Light","0","68604","9994"
"2","Terrace of Crafters","1","63282","8670"
"3","Anchors Down","0","63448","9401"
"4","The Drunk Tank","0","63426","9617"
"5","Sink n' Swim","0","5703","9617"
"6","Heyman's Hideaway","0","63291","8502"
"7","The Sand Bar","0","63292","8733"
"8","The Screaming Pit","0","5703","9698"
"9","Torga's Tavern","0","63306","8502"
"10","The Whale's Belly","0","63374","8567"
"11","Peon Hideout","0","65214","5484"
"12","Grong's Grotto","0","65990","9420"
"13","Grong's Grotto","0","65990","8731"
"15","Safe House","0","67602","9979"
"16","Safe House","0","67602","8717"
"17","Anduin's Wrath","0","67138","10454"
"18","Dawnsailor","0","67139","10454"
"19","Tiffin's Melody","0","67140","10454"
"20","The Lionheart","0","67141","10454"
"21","The Lionheart","0","67141","10455"
"22","Tiffin's Melody","0","67140","10455"
"23","Dawnsailor","0","67139","10455"
"24","Anduin's Wrath","0","67138","10455"
"25","Light of the Loa","0","68603","9994"
"27","Mad Duke's Parlor","0","73061","10985"
"28","Costel's Hideout","0","73506","10985"
"29","Manor of Minions","1","76787","10985"
"30","Seat of the Primus","0","78035","11466"
"31","Citadel of Doubt","0","0","13311"
"42","Zerekriss","0","85380","11462"
"43","The Stitchwerks","0","86352","13473"
"44","Zolramus","0","86354","13473"
"45","Arkoban Hall","0","87430","13400"
"46","Torment Chamber: Jaina","0","87491","13404"
"47","Torment Chamber: Thrall","0","87550","13413"
"48","Ring of Dance","0","88819","11510"
"49","Ring of Dance","0","88819","12244"
"50","Ring of Dance","0","88819","12243"
"51","Ossuary of the Banished","0","89786","13575"
"52","Temple of Devotion","0","91076","11379"
"53","The Rift","0","91308","13196"
"54","The Rift","0","91308","11524"
"55","The Rift","0","91308","11528"
"56","The Rift","0","91308","11530"
"57","The Rift","0","91308","11400"
"58","The Rift","0","91308","13217"
"59","The Rift","0","91308","13216"
"60","The Rift","0","91308","13560"
"61","The Rift","0","91308","11526"
"62","The Rift","0","91308","13215"
"63","Hollow of the Insolent","0","91308","13432"
"64","The Rift","0","91308","11525"
"65","The Rift","0","91308","13222"
"66","The Rift","0","91308","11529"
"67","The Rift","0","91308","13223"
"68","The Rift","0","91308","13437"
"69","The Rift","0","91308","13218"
"70","The Rift","0","91308","13491"
"71","The Rift","0","91308","13492"
"72","The Rift","0","91308","11527"
"73","The Rift","0","91308","13219"
"74","The Rift","0","91308","13221"
"75","The Rift","0","91308","13570"
"76","The Rift","0","91308","13624"
"77","The Rift","0","91308","13625"
"78","The Rift","0","91308","13626"
"79","The Rift","0","91308","13627"
"80","The Rift","0","91308","13628"
"81","The Rift","0","91308","13629"
"82","The Rift","0","91308","13630"
"83","The Rift","0","91308","13631"
"84","The Rift","0","91308","13666"
"85","The Rift","0","91308","13673"
"86","The Rift","0","91308","13677"
"87","The Rift","0","91308","13538"
"88","Penance of the Fallen King","0","92820","13561"
"89","The Eye's Overlook","3","92897","13561"
