Id,Name,UiTextureKitId,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationId,Flags,ArtifactCategoryId,UiModelSceneId,SpellVisualKitId
"1","Dandor's Fury","207","-11776","-382936","-2816","0","0","1","0","0"
"2","Ashbringer","207","-11776","16765504","4006400","70","0","1","28","82183"
"3","Twinblades of the Deceiver","206","-2200833","16122111","8650889","577","0","1","23","82147"
"4","Aluneth, Greatstaff of the Magna","208","-1267719","6343151","8615067","62","0","1","26","82174"
"11","Scale of the Earth-Warder","215","-44766","11010048","3276800","73","0","1","20","82029"
"12","Blades of the Fallen Prince","214","-3804673","9152481","1447762","251","0","1","22","82144"
"13","G'Hanir, the Mother Tree","217","-2031755","-5579161","-16291053","105","0","1","24","82149"
"15","Maw of the Damned","214","-3804673","-1494733","-12778752","250","0","1","22","82144"
"16","Apocalypse","214","-3804673","-12517523","-16761586","252","0","1","22","82144"
"17","Fangs of the Devourer","216","-45544","-1278118","-6935508","261","0","1","21","82029"
"34","Talonclaw, Spear of the Wild Gods","226","-2031755","-13053570","-16760525","255","0","1","46","82153"
"35","Warswords of the Valarjar","215","-44766","11010048","3276800","72","0","1","20","82029"
"36","Strom'kar, the Warbreaker","215","-44766","11010048","3276800","71","0","1","20","82029"
"37","Skull of the Man'ari","229","-4163342","-11204234","-16121829","266","2","1","32","82197"
"38","Scepter of Sargeras","229","-4163342","-7319653","-13500291","267","0","1","32","82197"
"39","Ulthalesh, the Deadwind Harvester","229","-4163342","-6665828","-11199626","265","0","1","32","82197"
"40","The Fist of Ra-den","225","-9057793","-11808266","-16711616","262","0","1","31","82193"
"41","Doomhammer","225","-9057793","-11806981","-13022058","263","2","1","31","82193"
"42","Sharas'dal, Scepter of Tides","225","-9057793","-16473972","-16753298","264","0","1","31","82193"
"43","The Kingslayers","216","-45544","-2522525","-9889768","259","0","1","21","82029"
"44","The Dreadblades","216","-45544","-1589760","0","260","0","1","21","82029"
"45","T'uure, Beacon of the Naaru","227","-8851726","-9699335","-16766881","257","0","1","29","82184"
"46","Light's Wrath","227","-8851726","-10424321","-16739937","256","0","1","29","82184"
"47","Xal'atath, Blade of the Black Empire","241","-4163342","-7580513","-11986828","258","2","1","30","82190"
"48","The Silver Hand","207","-11776","16765504","4006400","65","0","1","28","82183"
"49","Truthguard","207","-11776","16765504","4006400","66","0","1","28","82183"
"50","Fists of the Heavens","228","-9044026","-12779585","-15226471","269","0","1","27","82181"
"51","Sheilun, Staff of the Mists","228","-9044026","-11733812","-16755897","270","0","1","27","82181"
"52","Fu Zan, the Wanderer's Companion","228","-9044026","-12452628","-16083317","268","0","1","27","82181"
"53","Ebonchill, Greatstaff of Alodi","208","-1267719","6343151","8615067","64","0","1","26","82174"
"54","Felo'melorn","208","-1267719","-1065376","-6281667","63","2","1","26","82174"
"55","Thas'dorah, Legacy of the Windrunners","226","-2031755","-526230","-12430833","254","0","1","46","82153"
"56","Titanstrike","226","-2031755","-143103","0","253","0","1","46","82153"
"57","Claws of Ursoc","217","-2031755","-5579161","-16291053","104","0","1","24","82149"
"58","Fangs of Ashamane","217","-2031755","-5579161","-16291053","103","0","1","24","82149"
"59","Scythe of Elune","217","-2031755","-5579161","-16291053","102","0","1","24","82149"
"60","The Aldrachi Warblades","206","-2200833","16122111","8650889","581","0","1","23","82147"
"73","Underlight Angler","227","-1","-10976565","-16772353","0","0","2","0","0"
"74","Oakbringer","207","-11776","16765504","4006400","70","0","1","0","0"
"80","Test Artifact 2","207","-11776","16765504","4006400","70","0","1","18","23596"
"81","Test Artifact","207","-11776","16765504","4006400","65","0","1","0","0"
"82","Test Artifact 3","207","-11776","16765504","4006400","66","0","1","0","0"
"89","Owen Test Artifact","0","-16777216","-1732055","0","0","0","1","0","0"
