Id,Text,Text1,LanguageId,ConditionId,EmotesId,Flags,ChatBubbleDurationMs,SoundEntriesId0,SoundEntriesId1,EmoteId0,EmoteId1,EmoteId2,EmoteDelay0,EmoteDelay1,EmoteDelay2
"1","Help help!  I'm being repressed!","","0","0","0","70","0","0","0","0","0","0","0","0","0"
"3927","Self-destruct sequence activated.","","0","0","0","69","0","0","0","0","0","0","0","0","0"
"9426","BY FIRE BE PURGED!","","0","0","0","71","0","8046","0","0","0","0","0","0","0"
"15708","","Come on. This way.","7","0","0","68","0","0","44118","0","0","0","0","0","0"
"33630","That's far enough, orc! Dismount and submit or die!","That's far enough, orc! Dismount and submit or die!","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33631","","Out of our way, fools!","0","8193","0","69","0","0","0","0","0","0","0","0","0"
"33996","Loss of life unavoidable.","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"33997","I do what I must.","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34001","You are out of time.","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"34012","Perhaps it is your imperfections... that which grants you free will... that allows you to persevere against all cosmically calculated odds. You prevail where the Titan's own perfect creations have failed.","","0","0","0","65","0","0","0","0","0","0","0","0","0"
"39672","","Captain! Shipwreck off the starboard bow! There appear to be survivors!","0","0","0","71","0","0","20916","0","0","0","0","0","0"
"41964","Now get your minds right! We'll be killing orcs within the hour.","","0","0","1","71","0","21208","0","0","0","0","0","0","0"
"41984","Fall in!","","0","0","22","71","0","21205","0","0","0","0","0","0","0"
"42092","That island on the horizon is our destination.","","0","0","1","71","0","21185","0","0","0","0","0","0","0"
"42093","It's where we will do our duty, for our king, for Stormwind and for her people...","","0","0","1","71","0","21186","0","0","0","0","0","0","0"
"42095","Hellscream has sent his best to take this island. We shall see to it that none return home...","","0","0","1","71","0","21188","0","0","0","0","0","0","0"
"42097","Stormwind shall never fall!","","0","0","53","71","0","21190","0","0","0","0","0","0","0"
"42407","","Go, my naga! Welcome the mighty Tidehunter to Azeroth!","0","0","1","118","0","0","18874","0","0","0","0","0","0"
"42434","You and your scaly worms are no match for me...","","0","0","0","118","0","19457","0","0","0","0","0","0","0"
"42435","","You fool! This day shall be your last!","0","0","15","118","0","0","18875","0","0","0","0","0","0"
"42518","You've reached too far, serpent. You shall suffer greatly for your trespass!","","0","0","0","118","0","19463","0","0","0","0","0","0","0"
"42545","","To me, my minions! Strike now!","0","0","15","118","0","0","18876","0","0","0","0","0","0"
"44211","","Now! Unleash the kraken!","0","0","15","118","0","0","18877","0","0","0","0","0","0"
"44212","Aaaaaahhh...","","0","0","0","118","0","19464","0","0","0","0","0","0","0"
"44213","","Follow me, my pets! The realm of the mighty Neptulon is ours at last!","0","0","15","118","0","0","18878","0","0","0","0","0","0"
"44214","What now, old friend?","","0","0","1","118","0","21217","0","0","0","0","0","0","0"
"44215","We have suffered a tragic defeat.","","0","0","396","118","0","19526","0","0","0","0","0","0","0"
"44216","Any hope for the future of our world has grown much bleaker.","","0","0","396","118","0","19527","0","0","0","0","0","0","0"
"44217","Thrall must be told of this day's events.","","0","0","396","118","0","19528","0","0","0","0","0","0","0"
"44218","He will guide our next steps...","","0","0","396","118","0","19529","0","0","0","0","0","0","0"
"44219","Erunak! Noooo!","","0","0","1","118","0","21218","0","0","0","0","0","0","0"
"44220","Graaaahahhhh!","","0","0","396","118","0","19530","0","0","0","0","0","0","0"
"44223","","You were a true man of the people, Liam.  Unlike any Royal I ever met.  We'll make them pay for this.","0","0","0","71","0","0","19686","66","0","0","0","0","0"
"44225","Well, shaman, what now?","","0","0","1","118","0","21319","0","0","0","0","0","0","0"
"44226","Erunak! Behind you!","","0","0","1","118","0","21320","0","0","0","0","0","0","0"
"50471","May the Light bless the spirits of our ancestors, for they've chosen to allow my son to rest upon this holy ground.","","0","0","1","71","0","19713","0","0","0","0","0","0","0"
"50472","It is here, surrounded by the heroes and patriots of Gilneas where he belongs.","","0","0","1","71","0","19714","0","0","0","0","0","0","0"
"50473","We'll return, Liam.  I swear this to you.","","0","0","66","71","0","19715","0","0","0","0","0","0","0"
"50477","Gilneas will remember your courage forever, Liam.","","0","0","66","71","0","19497","0","0","0","0","0","0","0"
"56129","I apologize for the deception, but it was necessary.","","0","0","0","71","0","28571","0","0","0","0","0","0","0"
"56130","In thousands of years, we have never seen one of your kind.","","0","13211","0","71","0","28572","0","0","0","0","0","0","0"
"56131","It was imperative that I first measure the bearing of your heart.","","0","0","0","71","0","28573","0","0","0","0","0","0","0"
"56154","Come ride with me, little one. There is something I wish you to see.","","0","0","0","71","0","28574","0","0","0","0","0","0","0"
"57715","We're gonna turn this place into a sinkhole, heh.","","0","0","0","71","0","30625","0","5","0","0","0","0","0"
"57899","[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.]","","0","0","0","71","0","0","0","0","0","0","0","0","0"
"58170","Run, slicky! I dook up your like fer breakfast!","","0","0","0","71","0","0","0","0","0","0","0","0","0"
"58171","I am Anduin Wrynn, Prince of Stormwind. I won't die here. Not like this!","","0","0","0","71","0","27577","0","0","0","0","0","0","0"
"59411","For Pandaria!","","0","15760","4","71","0","31905","0","0","0","0","0","0","0"
"60365","","It's working! The wound is closing!","0","0","1","69","0","0","27417","0","0","0","0","0","0"
"60627","","We risked everything, but we did it. Shen-zin Su will be okay.","0","0","1","69","0","0","27418","0","0","0","0","0","0"
"61462","Our story begins long ago in the days of the monstrous Emperor Tian.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61463","The Emperor was in need of trusted messengers and deliverymen.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61464","So he took a strange, diminutive cave creature he found and warped it with the powers of the Vale.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61465","What he created, was the ""grummle.""","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61470","Let us talk about the nature of power. In my hands I hold a sword. I ask you: Who wields the power?","","0","0","0","69","0","30130","0","1","0","0","0","0","0"
"61471","I do, for I wield the sword!","","0","0","0","69","0","30131","0","1","0","0","0","0","0"
"61495","A grummle can carry five times their own weight. They never sweat. They have an outstanding sense of smell.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61496","And their skulls are harder than granite. Curiously, they all appear to be related.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61497","Ancient Pandaren heroes freed the grummles from slavery.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
"61567","The Yaungol warlord shows his face! Come, let's finish this!","","0","0","0","71","0","29776","0","0","0","0","0","0","0"
"61643","Today they still act as traders, messengers, guides, and pack bearers for expeditions high up in Kun-Lai summit.","","0","0","0","69","0","0","0","1","0","0","0","0","0"
