Id,PlayerConditionId,OrderIndex,CampaignId
"15","258","62173","1"
"16","346","62174","1"
"17","427","62175","1"
"23","515","62184","2"
"24","604","62185","2"
"25","684","62186","2"
"29","773","62523","1"
"30","857","62524","2"
"147","937","69018","2"
"152","995","72028","1"
"153","1075","72029","2"
"155","1155","76937","111"
"156","1207","77905","114"
"157","152","78570","118"
"160","1231","88028","125"
"161","136","85644","126"
"167","1264","87109","111"
"168","1297","86968","113"
"170","1329","86971","113"
"171","1361","87660","113"
"172","1394","87664","113"
"174","1427","87668","113"
"175","1460","87672","113"
"176","1493","87676","113"
"177","1526","87254","114"
"178","1518","87384","124"
"184","1547","88026","113"
"185","1600","86469","125"
"186","1670","88058","119"
"187","1730","88059","115"
"188","1793","88060","117"
"189","1856","88061","113"
