Id,Name,Shortcut,Flags,FactionGroup,Ruleset
"1","General - %s","General","1572875","0","0"
"2","Trade - %s","Trade","1048635","0","0"
"22","LocalDefense - %s","LocalDefense","1114123","0","0"
"26","LookingForGroup","LookingForGroup","262152","0","0"
"27","BigfootWorldChannel","BigfootWorldChannel","8","0","0"
"28","MeetingStone","MeetingStone","8","0","0"
"32","Newcomer Chat","NewcomerChat","2097160","0","1"
"33","zzOLD Shadowlands Beta Discussion","ShadowlandsBetaDiscussion","2097160","0","0"
"34","zzOLD Shadowlands PTR Discussion","ShadowlandsPTRDiscussion","2097160","0","2"
"35","Shadowlands Test Discussion","ShadowlandsTestDiscussion","2097160","0","0"
