Id,ClientPrefix,ClientFileString,Name,NameFemale,NameLowercase,NameFemaleLowercase,Flags,MaleDisplayId,FemaleDisplayId,HighResMaleDisplayId,HighResFemaleDisplayId,CreateScreenFileDataId,SelectScreenFileDataId,MaleCustomizeOffset0,MaleCustomizeOffset1,MaleCustomizeOffset2,FemaleCustomizeOffset0,FemaleCustomizeOffset1,FemaleCustomizeOffset2,LowResScreenFileDataId,AlteredFormStartVisualKitId0,AlteredFormStartVisualKitId1,AlteredFormStartVisualKitId2,AlteredFormFinishVisualKitId0,AlteredFormFinishVisualKitId1,AlteredFormFinishVisualKitId2,HeritageArmorAchievementId,StartingLevel,UiDisplayOrder,FemaleSkeletonFileDataId,MaleSkeletonFileDataId,HelmVisFallbackRaceId,FactionId,CinematicSequenceId,ResSicknessSpellId,SplashSoundId,BaseLanguage,CreatureType,Alliance,RaceRelated,UnalteredVisualRaceId,CharComponentTextureLayoutId,CharComponentTexLayoutHiResId,DefaultClassId,NeutralRaceId,MaleModelFallbackRaceId,MaleModelFallbackSex,FemaleModelFallbackRaceId,FemaleModelFallbackSex,MaleTextureFallbackRaceId,MaleTextureFallbackSex,FemaleTextureFallbackRaceId,FemaleTextureFallbackSex
"1","Hu","Human","Human","","human","","6292620","49","50","57899","56658","623712","131948","5","0","0.4","5","0","0.4","651555","0","0","0","0","0","0","0","1","0","199670","199671","0","0","0","1","81","159","58","72","4","7","7","0","2","0","1","2","5","0","0","-1","0","-1"
"2","Or","Orc","Orc","","orc","","6291596","51","52","51894","53762","623714","132003","6","0","0.3","5","0","0.3","651558","0","0","0","0","0","0","0","1","0","199674","199675","0","0","0","2","21","159","58","72","4","1","7","1","1","0","1","2","1","0","0","-1","0","-1"
"3","Dw","Dwarf","Dwarf","","dwarf","","6291596","53","54","49242","53768","623712","131940","5","0","0.17","5","0","0.12","651555","0","0","0","0","0","0","0","1","0","199666","199667","0","0","0","3","41","159","58","66","4","7","7","0","8","0","1","2","3","0","0","-1","0","-1"
"4","Ni","NightElf","Night Elf","","night elf","","6291588","55","56","54918","54439","623712","131993","5.6","0","0.4","5.6","0","0.4","651555","0","0","0","0","0","0","0","1","0","199672","199673","0","0","0","4","61","159","58","72","4","7","7","0","5","0","1","2","11","0","0","-1","0","-1"
"5","Sc","Scourge","Undead","","undead","","6291596","57","58","54041","56327","623714","132035","5","0","0.6","5","0","0.46","651558","0","0","0","0","0","0","0","1","0","199676","199677","0","0","0","5","2","159","58","72","4","1","7","1","4","0","1","2","9","0","0","-1","0","-1"
"6","Ta","Tauren","Tauren","","tauren","","6291590","59","60","55077","56316","623714","132046","5","0","0.26","5","0","0.26","651558","0","0","0","0","0","0","0","1","0","199678","199679","0","0","0","6","141","159","58","72","4","1","7","1","7","0","1","2","7","0","0","-1","0","-1"
"7","Gn","Gnome","Gnome","","gnome","","6291596","1563","1564","51877","53291","623712","430171","4","0","-0.1","4","0","-0.1","651555","0","0","0","0","0","0","0","1","0","199668","199669","0","0","0","115","101","159","58","72","4","7","7","0","6","0","1","2","9","0","0","-1","0","-1"
"8","Tr","Troll","Troll","","troll","","6291598","1478","1479","59071","59223","623714","429097","5.51","0","0.96","5.5","0","0.46","651558","0","0","0","0","0","0","0","1","0","199680","199681","0","0","0","116","121","159","58","72","4","1","7","1","3","0","1","2","7","0","0","-1","0","-1"
"9","Go","Goblin","Goblin","","goblin","","6291716","6894","6895","0","0","623714","319097","5","0","0.06","5","0","0.06","651558","0","0","0","0","0","0","0","1","10","323069","323070","0","0","0","2204","172","159","58","72","4","1","7","1","22","0","2","0","4","0","0","-1","0","-1"
"10","Be","BloodElf","Blood Elf","","blood elf","","6291596","15476","15475","62127","62128","623714","131921","5","0","0.5","5","0","0.5","651558","0","0","0","0","0","0","0","1","9","199660","199661","0","0","0","1610","162","159","58","72","4","1","7","1","11","0","1","2","8","0","0","-1","0","-1"
"11","Dr","Draenei","Draenei","","draenei","","6291598","16125","16126","57027","58232","623712","131934","5","0","0.5","5","0","0.5","651555","0","0","0","0","0","0","0","1","0","199664","199665","0","0","0","1629","163","159","58","72","4","7","7","0","10","0","1","2","2","0","0","-1","0","-1"
"12","Fo","FelOrc","Fel Orc","","fel orc","","262149","16981","16980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"13","Na","Naga_","Naga","","naga","","1","17402","17403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","2","0","0","0","0","-1","0","-1"
"14","Br","Broken","Broken","","broken","","5","17576","17577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"15","Sk","Skeleton","Skeleton","","skeleton","","1","17578","17579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","5","0","5","1"
"16","Vr","Vrykul","Vrykul","","vrykul","","9","21685","21686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","199682","0","0","0","1","0","159","58","72","4","7","7","2","0","0","2","0","0","0","0","-1","0","-1"
