Id,Name,FemaleName,Description,ClassId,OrderIndex,PetTalentType,Role,Flags,SpellIconFileId,PrimaryStatPriority,AnimReplacements,MasterySpellId0,MasterySpellId1
"62","Arcane","Arcane","Manipulates raw Arcane magic, destroying enemies with overwhelming power.

Preferred Weapon: Staff, Wand, Dagger, Sword","8","0","0","2","3","135932","0","362","190740","0"
"63","Fire","Fire","Focuses the pure essence of Fire magic, assaulting enemies with combustive flames.

Preferred Weapon: Staff, Wand, Dagger, Sword","8","1","0","2","3","135810","0","362","12846","0"
"64","Frost","Frost","Freezes enemies in their tracks and shatters them with Frost magic.

Preferred Weapon: Staff, Wand, Dagger, Sword","8","2","0","2","67","135846","0","362","76613","0"
"65","Holy","Holy","Invokes the power of the Light to heal and protect allies and vanquish evil from the darkest corners of the world.

Preferred Weapon: Sword, Mace, and Shield","2","0","0","1","5","135920","1","0","183997","0"
"66","Protection","Protection","Uses Holy magic to shield $Ghimself:herself; and defend allies from attackers.

Preferred Weapon: Sword, Mace, Axe, and Shield","2","1","0","0","4","236264","5","0","76671","0"
"70","Retribution","Retribution","A righteous crusader who judges and punishes opponents with weapons and Holy magic.

Preferred Weapon: Two-Handed Sword, Mace, Axe","2","2","0","2","68","135873","5","0","267316","0"
"71","Arms","Arms","A battle-hardened master of weapons, using mobility and overpowering attacks to strike $Ghis:her; opponents down.

Preferred Weapon: Two-Handed Axe, Mace, Sword","1","0","0","2","68","132355","5","0","262111","0"
"72","Fury","Fury","A furious berserker unleashing a flurry of attacks to carve $Ghis:her; opponents to pieces.

Preferred Weapons: Dual Two-Handed Axes, Maces, Swords","1","1","0","2","20","132347","5","0","76856","0"
"73","Protection","Protection","A stalwart protector who uses a shield to safeguard $Ghimself:herself; and $Ghis:her; allies.

Preferred Weapon: Axe, Mace, Sword, and Shield","1","2","0","0","4","132341","5","0","76857","0"
"74","Ferocity","Ferocity","Driven by a frenzied persistence to pursue prey, these beasts stop at nothing to achieve victory; even death is temporary for these predators.","0","0","0","2","0","236159","0","0","0","0"
"79","Cunning","Cunning","Guileful creatures capable of skillfully mitigating lethal blows dealt to themselves and their allies.","0","2","2","2","0","132150","0","0","0","0"
"81","Tenacity","Tenacity","Stalwart and veteran defenders who unquestionably place their thick hides and protective exteriors in harm's way for their allies.","0","1","1","0","0","132121","0","0","0","0"
"102","Balance","Balance","Can shapeshift into a powerful Moonkin, balancing the power of Arcane and Nature magic to destroy enemies.

Preferred Weapon: Staff, Dagger, Mace","11","0","0","2","331","136096","0","363","77492","0"
"103","Feral","Feral","Takes on the form of a great cat to deal damage with bleeds and bites.

Preferred Weapon: Staff, Polearm","11","1","0","2","260","132115","3","363","77493","0"
"104","Guardian","Guardian","Takes on the form of a mighty bear to absorb damage and protect allies.

Preferred Weapon: Staff, Polearm","11","2","0","0","4","132276","3","363","155783","0"
"105","Restoration","Restoration","Channels powerful Nature magic to regenerate and revitalize allies.

Preferred Weapon: Staff, Dagger, Mace","11","3","0","1","3","136041","0","363","77495","0"
"250","Blood","Blood","A dark guardian who manipulates and corrupts life energy to sustain $Ghimself:herself; in the face of an enemy onslaught.

Preferred Weapon: Two-Handed Axe, Mace, Sword","6","0","0","0","4","135770","5","0","77513","0"
"251","Frost","Frost","An icy harbinger of doom, channeling runic power and delivering vicious weapon strikes.

Preferred Weapons: Dual Axes, Maces, Swords","6","1","0","2","4","135773","5","0","77514","0"
"252","Unholy","Unholy","A master of death and decay, spreading infection and controlling undead minions to do $Ghis:her; bidding.

Preferred Weapon: Two-Handed Axe, Mace, Sword","6","2","0","2","68","135775","5","0","77515","0"
"253","Beast Mastery","Beast Mastery","A master of the wild who can tame a wide variety of beasts to assist $Ghim:her; in combat.

Preferred Weapon: Bow, Crossbow, Gun","3","0","0","2","66","461112","2","0","76657","0"
