Id,Name,Description,Filedataid
"1","Overflowing","Healing in excess of a target's maximum health is instead converted to a heal absorption effect.","463570"
"2","Skittish","Enemies pay far less attention to threat generated by tanks.","135994"
"3","Volcanic","While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players.","451169"
"4","Necrotic","All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.","1029009"
"5","Teeming","Additional non-boss enemies are present throughout the dungeon.","136054"
"6","Raging","Non-boss enemies enrage at 30% health remaining, dealing 100% increased damage until defeated.","132345"
"7","Bolstering","When any non-boss enemy dies, its death cry empowers nearby allies, increasing their maximum health and damage by 20%.","132333"
"8","Sanguine","When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players.","136124"
"9","Tyrannical","Bosses have 30% more health. Bosses and their minions inflict up to 15% increased damage.","236401"
"10","Fortified","Non-boss enemies have 20% more health and inflict up to 30% increased damage.","463829"
"11","Bursting","When slain, non-boss enemies explode, causing all players to suffer damage over 4 sec. This effect stacks.","1035055"
"12","Grievous","Injured players suffer increasing damage over time until healed.","132090"
"13","Explosive","While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed.","2175503"
"14","Quaking","Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies.","136025"
"16","Infested","Some non-boss enemies have been infested with a Spawn of G'huun.","2032223"
"117","Reaping","Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.","2446016"
"119","Beguiling","Azshara's Emissaries are present throughout the dungeon.","237565"
"120","Awakened","Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter.","442737"
"121","Prideful","Players overflow with pride as they defeat non-boss enemies, eventually forming a Manifestation of Pride. Defeating this Manifestation greatly empowers players.","3528307"
"122","Inspiring","Some non-boss enemies have an inspiring presence that strengthens their allies.","135946"
"123","Spiteful","Fiends rise from the corpses of non-boss enemies and pursue random players.","135945"
"124","Storming","While in combat, enemies periodically summon damaging whirlwinds.","136018"
