Id,Name,ResourceName,Verb,CursorName
"1","Lockpicking","Locked Items","Pick","PickLock"
"2","Herbalism","Herbs","Gather","GatherHerbs"
"3","Mining","Ore Deposits","Mine","Mine"
"4","Disarm Trap","Trap","Disarm",""
"5","Open","Unlocked Items","Open",""
"6","Treasure (DND)","Treasure","",""
"7","Calcified Elven Gems (DND)","Calcified Elven Gems","",""
"8","Close","Unlocked Items","Close",""
"9","Arm Trap","Trap","Arm",""
"10","Quick Open","Unlocked Items","Open",""
"11","Quick Close","Unlocked Items","Close",""
"12","Open Tinkering","Unlocked Items","Open",""
"13","Open Kneeling","Unlocked Items","Open",""
"14","Open Attacking","Unlocked Items","Open",""
"15","Gahz'ridian (DND)","Gahz'ridian","",""
"16","Blasting","Locked Items","Blast",""
"17","PvP Open","Unlocked Items","Open",""
"18","PvP Close","Unlocked Items","Close",""
"19","Fishing (DND)","Fish","Fish","FishingCursor"
"20","Inscription","Tomes","Decipher",""
"21","Open From Vehicle","Unlocked Items","Open",""
"22","Archaeology","Fragments","Survey",""
"23","PvP Open Fast","Unlocked Items","Open",""
"28","Lumber Mill","Timber","Harvest","HarvestTimber"
"29","Skinning","Leather","Skin","skin"
"30","Ancient Mana","Mana Deposits","Extract","Extract"
"31","Warboard","Warboards","Inspect",""
"32","Herbalism","Herbs","Gather","GatherHerbs"
"33","Herbalism","Herbs","Gather","GatherHerbs"
"34","Herbalism","Herbs","Gather","GatherHerbs"
"35","Herbalism","Herbs","Gather","GatherHerbs"
"36","Herbalism","Herbs","Gather","GatherHerbs"
"37","Herbalism","Herbs","Gather","GatherHerbs"
"38","Herbalism","Herbs","Gather","GatherHerbs"
"39","Herbalism","Herbs","Gather","GatherHerbs"
"40","Mining","Ore Deposits","Mine","Mine"
"41","Mining","Ore Deposits","Mine","Mine"
"42","Mining","Ore Deposits","Mine","Mine"
"43","Mining","Ore Deposits","Mine","Mine"
"44","Mining","Ore Deposits","Mine","Mine"
"45","Mining","Ore Deposits","Mine","Mine"
"46","Mining","Ore Deposits","Mine","Mine"
"47","Mining","Ore Deposits","Mine","Mine"
"48","Skinning","Leather","Skin","skin"
"149","Open (Locked Inventory Item Opening)","Unlocked Items","Open",""
"150","Foraging","Forage","Forage","ForagePlants"
"152","Jelly Deposit","Jelly","Gather",""
